Place Name,State,Frequency
Aaron,Alabama,4
Aarons,Alabama,1
Aaronsburg,Alabama,2
Aasu,Alabama,1
Abadyl,Alabama,1
Abanaka,Alabama,1
Abarr,Alabama,1
Abattis,Alabama,1
Abba,Alabama,1
Abbato,Alabama,1
Abbeville,Alabama,4
Abbey,Alabama,1
Abbeyville,Alabama,2
Abbot,Alabama,1
Abbotsford,Alabama,1
Abbott,Alabama,11
Abbotts,Alabama,1
Abbottsburg,Alabama,1
Abbottsford,Alabama,2
Abbottstown,Alabama,1
Abbottsville,Alabama,1
Abbyville,Alabama,1
Abco,Alabama,1
Abdal,Alabama,1
Abdan,Alabama,1
Abdera,Alabama,1
Abe,Alabama,2
Abecrumby,Alabama,1
Abel,Alabama,1
Abeles,Alabama,1
Abell,Alabama,3
Aben,Alabama,1
Abercrombie,Alabama,2
Aberdeen,Alabama,18
Aberdeen Junction,Alabama,3
Aberfoyle,Alabama,1
Abernathy,Alabama,3
Abert,Alabama,1
Abertown,Alabama,1
Abesville,Alabama,1
Abeyta,Alabama,1
Abeytas,Alabama,1
Abie,Alabama,1
Abiff,Alabama,1
Abigail,Alabama,1
Abilene,Alabama,5
Abingdon,Alabama,6
Abington,Alabama,7
Abiquiu,Alabama,1
Able,Alabama,1
Abledell,Alabama,1
Abner,Alabama,3
Abney,Alabama,2
Abo,Alabama,2
Aboite,Alabama,1
Abra,Alabama,1
Abraham,Alabama,2
Abrahams,Alabama,1
Abrahamsville,Alabama,1
Abram,Alabama,1
Abrams,Alabama,2
Absalom,Alabama,1
Absaraka,Alabama,1
Absarokee,Alabama,1
Absecon,Alabama,1
Absher,Alabama,2
Abshers,Alabama,1
Abuelo,Alabama,1
Abydel,Alabama,1
Academia,Alabama,2
Academie,Alabama,1
Academy,Alabama,6
Academy Park,Alabama,3
Academyville,Alabama,1
Acadia,Alabama,2
Acadiana,Alabama,1
Acala,Alabama,1
Acampo,Alabama,2
Acapesket,Alabama,1
Acapulco,Alabama,1
Acasto,Alabama,1
Acca,Alabama,1
Access,Alabama,1
Accident,Alabama,2
Accokeek,Alabama,1
Accola,Alabama,1
Accomac,Alabama,2
Accord,Alabama,2
Accotink,Alabama,1
Accoville,Alabama,1
Ace,Alabama,1
Acebedo,Alabama,1
Aceitunas,Alabama,1
Acequia,Alabama,2
Acevedo,Alabama,1
Achackwaithle,Alabama,1
Achan,Alabama,1
Achash,Alabama,1
Achenbach,Alabama,1
Acheson,Alabama,1
Achi,Alabama,1
Achille,Alabama,1
Achilles,Alabama,2
Achor,Alabama,1
Achord,Alabama,1
Acidalia,Alabama,1
Acker,Alabama,2
Ackerly,Alabama,1
Ackerman,Alabama,2
Ackermanville,Alabama,1
Ackerson,Alabama,1
Ackerville,Alabama,1
Acklena,Alabama,1
Ackley,Alabama,1
Acklocknayke,Alabama,1
Ackworth,Alabama,2
Acline,Alabama,1
Acme,Alabama,18
Acmetonia,Alabama,1
Acoaxet,Alabama,1
Acodale,Alabama,1
Acolita,Alabama,1
Acoma,Alabama,1
Acomita,Alabama,1
Acona,Alabama,1
Acorn,Alabama,6
Acorn Acres,Alabama,3
Acosta,Alabama,1
Acquidaneck,Alabama,1
Acra,Alabama,1
Acredale,Alabama,2
Acree,Alabama,1
Acresville,Alabama,1
Acropolis,Alabama,1
Actis,Alabama,1
Acton,Alabama,12
Acuff,Alabama,2
Acup,Alabama,2
Acushnet,Alabama,1
Acworth,Alabama,3
Acy,Alabama,1
Ada,Alabama,12
Adabelle,Alabama,1
Adaburg,Alabama,1
Adacao,Alabama,1
Adah,Alabama,1
Adair,Alabama,11
Adairsville,Alabama,1
Adairville,Alabama,1
Adak,Alabama,1
Adako,Alabama,1
Adaland,Alabama,1
Adaline,Alabama,2
Adam,Alabama,2
Adamana,Alabama,1
Adamant,Alabama,1
Adamdell,Alabama,1
Adams,Alabama,24
Adams Corner,Alabama,4
Adams Crossroads,Alabama,3
Adams Landing,Alabama,3
Adams Park,Alabama,3
Adamsboro,Alabama,1
Adamsburg,Alabama,2
Adamsdale,Alabama,2
Adamson,Alabama,3
Adamston,Alabama,2
Adamstown,Alabama,2
Adamsville,Alabama,19
Adario,Alabama,1
Adasburg,Alabama,1
Adaton,Alabama,2
Adaven,Alabama,1
Adaville,Alabama,1
Adaza,Alabama,1
Adco,Alabama,1
Addicks,Alabama,1
Addie,Alabama,4
Addielee,Alabama,1
Addielou,Alabama,1
Addieville,Alabama,1
Addingham,Alabama,1
Addington,Alabama,2
Addis,Alabama,1
Addison,Alabama,13
Addor,Alabama,1
Addran,Alabama,1
Addy,Alabama,1
Addyston,Alabama,1
Ade,Alabama,1
Adel,Alabama,8
Adela,Alabama,1
Adelaida,Alabama,1
Adelaide,Alabama,7
Adelanto,Alabama,1
Adelbert,Alabama,1
Adele,Alabama,2
Adelina,Alabama,1
Adeline,Alabama,3
Adelino,Alabama,1
Adell,Alabama,2
Adelle,Alabama,1
Adelphi,Alabama,5
Adelphia,Alabama,1
Adelup,Alabama,1
Aden,Alabama,5
Adena,Alabama,2
Adenmoor,Alabama,1
Adgateville,Alabama,1
Adger,Alabama,1
Adial,Alabama,1
Adin,Alabama,1
Adina,Alabama,1
Adirondack,Alabama,1
Adjett,Alabama,1
Adjuntas,Alabama,1
Adkins,Alabama,2
Adlai,Alabama,1
Adley,Alabama,1
Adma,Alabama,1
Admah,Alabama,1
Admiral,Alabama,3
Admire,Alabama,2
Adna,Alabama,2
Adner,Alabama,2
Adobe,Alabama,2
Adobes,Alabama,1
Adois,Alabama,1
Adolph,Alabama,2
Adolphus,Alabama,2
Adon,Alabama,1
Adona,Alabama,1
Adonijah,Alabama,1
Adonis,Alabama,2
Adria,Alabama,1
Adrian,Alabama,15
Adsit,Alabama,1
Adsul,Alabama,1
Advance,Alabama,11
Advent,Alabama,1
Adventure,Alabama,1
Adverse,Alabama,1
Adwolf,Alabama,1
Ady,Alabama,2
Adyeville,Alabama,1
Aeneas,Alabama,1
Aerial,Alabama,1
Aethra,Alabama,1
Aetna,Alabama,5
Aetnaville,Alabama,2
Afami,Alabama,1
Afao,Alabama,1
Afeman,Alabama,1
Afetna,Alabama,1
Affinity,Alabama,1
Affton,Alabama,1
Aflex,Alabama,1
Afognak,Alabama,1
Afolkey,Alabama,1
Afredton,Alabama,1
Africa,Alabama,3
Afton,Alabama,20
Afulei,Alabama,1
Aganoa,Alabama,1
Agar,Alabama,1
Agat,Alabama,1
Agate,Alabama,6
Agatha,Alabama,1
Agawam,Alabama,4
Agee,Alabama,1
Agency,Alabama,3
Agenda,Alabama,1
Ager,Alabama,1
Ages,Alabama,1
Aggregates,Alabama,1
Agner,Alabama,1
Agnes,Alabama,4
Agness,Alabama,1
Agnew,Alabama,6
Agnewville,Alabama,1
Agnos,Alabama,1
Agoura,Alabama,1
Agra,Alabama,3
Agreeable,Alabama,1
Agricola,Alabama,6
Agua,Alabama,1
Agua Fria,Alabama,3
Aguacate,Alabama,1
Aguada,Alabama,1
Aguadilla,Alabama,1
Aguanga,Alabama,1
Agudo,Alabama,1
Agugulu,Alabama,1
Aguikchuk,Alabama,1
Aguila,Alabama,1
Aguilar,Alabama,1
Aguilares,Alabama,1
Aguilita,Alabama,1
Ah-gwah-ching,Alabama,1
Ahaluna,Alabama,1
Ahern,Alabama,1
Ahgosatown,Alabama,1
Ahles,Alabama,1
Ahloso,Alabama,1
Ahmeek,Alabama,1
Ahnberg,Alabama,1
Aho,Alabama,1
Aholt,Alabama,1
Ahoskie,Alabama,1
Ahosulga,Alabama,1
Ahrensville,Alabama,1
Ahsahka,Alabama,1
Ahtanum,Alabama,1
Ahwahnee,Alabama,1
Ahwatukee,Alabama,1
Ahwin,Alabama,1
Ai,Alabama,3
Aiaktalik,Alabama,1
Aibonito,Alabama,1
Aid,Alabama,2
Aievak,Alabama,1
Aiken,Alabama,6
Aikenton,Alabama,1
Aikin,Alabama,1
Aikins,Alabama,1
Aikinsville,Alabama,1
Aikman,Alabama,2
Ailey,Alabama,1
Ailor,Alabama,1
Ailsa,Alabama,1
Ailston,Alabama,1
Aily,Alabama,1
Aimar,Alabama,1
Aims,Alabama,1
Aimwell,Alabama,1
Ain,Alabama,1
Ainger,Alabama,2
Ainslie,Alabama,1
Ainsworth,Alabama,4
Airboro,Alabama,1
Airedale,Alabama,1
Airedele,Alabama,1
Airey,Alabama,2
Airhill,Alabama,1
Airington,Alabama,1
Airlee,Alabama,1
Airlie,Alabama,4
Airmont,Alabama,2
Airpoint,Alabama,1
Airport Village,Alabama,4
Airstream,Alabama,1
Airville,Alabama,2
Airydale,Alabama,1
Aitch,Alabama,1
Aitkin,Alabama,1
Aix,Alabama,2
Ajax,Alabama,5
Ajlune,Alabama,1
Ajo,Alabama,1
Akaska,Alabama,1
Akela,Alabama,1
Akeley,Alabama,2
Akerly,Alabama,1
Akers,Alabama,3
Akersville,Alabama,2
Akerville,Alabama,1
Akes,Alabama,1
Akhiok,Alabama,1
Akiachak,Alabama,1
Akiak,Alabama,1
Akin,Alabama,3
Akins,Alabama,2
Aklut,Alabama,1
Akmiut,Alabama,1
Akokpak,Alabama,1
Akona,Alabama,1
Akpaliut,Alabama,1
Akra,Alabama,1
Akridge,Alabama,1
Akron,Alabama,15
Akshadak,Alabama,1
Akulga,Alabama,1
Akuliukpak,Alabama,1
Akulivikchuk,Alabama,1
Akulurak,Alabama,1
Akumsuk,Alabama,1
Akupu,Alabama,1
Akutan,Alabama,1
Al-Mar,Alabama,1
Alabam,Alabama,1
Alabama,Alabama,2
Alabama Hill,Alabama,3
Alabaster,Alabama,1
Alachua,Alabama,1
Alaculsy,Alabama,1
Aladdin,Alabama,4
Alafaya,Alabama,1
Alaganik,Alabama,1
Alakanuk,Alabama,1
Alamana,Alabama,1
Alamance,Alabama,1
Alamando,Alabama,1
Alamar,Alabama,1
Alameda,Alabama,6
Alamillo,Alabama,1
Alamito,Alabama,1
Alamitos,Alabama,1
Alamo,Alabama,11
Alamode,Alabama,1
Alamogordo,Alabama,1
Alamorio,Alabama,1
Alamorosa,Alabama,1
Alamosa,Alabama,1
Alamota,Alabama,1
Alamucha,Alabama,1
Alandale,Alabama,3
Alander,Alabama,1
Alanreed,Alabama,1
Alanson,Alabama,1
Alanthus,Alabama,2
Alanton,Alabama,1
Alao,Alabama,1
Alapaha,Alabama,2
Alapocas,Alabama,1
Alarka,Alabama,1
Alaska,Alabama,6
Alatna,Alabama,1
Alaufau,Alabama,1
Alavista,Alabama,1
Alazan,Alabama,1
Alazon,Alabama,1
Alba,Alabama,4
Alban,Alabama,1
Albano,Alabama,1
Albantown,Alabama,1
Albany,Alabama,21
Albaton,Alabama,1
Albatross,Alabama,1
Albaugh,Alabama,1
Albee,Alabama,2
Albeison,Alabama,1
Albemarle,Alabama,2
Alberene,Alabama,1
Alberhill,Alabama,1
Albers,Alabama,1
Albert,Alabama,7
Alberta,Alabama,6
Alberton,Alabama,3
Albertson,Alabama,3
Albertville,Alabama,2
Albia,Alabama,3
Albin,Alabama,3
Albina,Alabama,1
Albion,Alabama,23
Alborn,Alabama,1
Albrae,Alabama,1
Albright,Alabama,3
Albrights,Alabama,1
Albrightsville,Alabama,1
Albritton,Alabama,1
Albrittons,Alabama,1
Albuquerque,Alabama,1
Alburg,Alabama,1
Alburgh,Alabama,1
Alburnett,Alabama,1
Alburtis,Alabama,1
Alcalde,Alabama,2
Alcan,Alabama,1
Alcantavilla,Alabama,1
Alcatraz,Alabama,1
Alcester,Alabama,1
Alchie,Alabama,1
Alco,Alabama,3
Alcoa,Alabama,2
Alcola,Alabama,1
Alcolu,Alabama,1
Alcoma,Alabama,2
Alcona,Alabama,1
Alcony,Alabama,1
Alcorn,Alabama,3
Alcorns,Alabama,1
Alcot,Alabama,1
Alcova,Alabama,1
Alcove,Alabama,1
Alcovy,Alabama,1
Alda,Alabama,2
Aldan,Alabama,1
Alden,Alabama,12
Aldene,Alabama,1
Aldens,Alabama,1
Aldenville,Alabama,2
Alder,Alabama,7
Alder Creek,Alabama,4
Alderbranch,Alabama,1
Alderbrook,Alabama,1
Alderdale,Alabama,1
Alderhvile,Alabama,1
Alderley,Alabama,1
Alderman,Alabama,1
Alderpoint,Alabama,1
Aldersgate,Alabama,1
Alderson,Alabama,2
Alderton,Alabama,1
Aldervale,Alabama,1
Alderwood,Alabama,1
Aldham,Alabama,1
Aldie,Alabama,1
Aldine,Alabama,3
Aldino,Alabama,1
Aldora,Alabama,1
Aldovin,Alabama,1
Aldreds,Alabama,1
Aldrich,Alabama,3
Aldridge,Alabama,4
Aldwyck,Alabama,1
Ale,Alabama,1
Aledo,Alabama,3
Alegría,Alabama,1
Alejandrenas,Alabama,1
Aleknagik,Alabama,1
