Place Name,State,Frequency
Aaron,American Samoa,4
Aarons,American Samoa,1
Aaronsburg,American Samoa,2
Abadyl,American Samoa,1
Abanaka,American Samoa,1
Abanda,American Samoa,1
Abarr,American Samoa,1
Abattis,American Samoa,1
Abba,American Samoa,1
Abbato,American Samoa,1
Abbeville,American Samoa,5
Abbey,American Samoa,1
Abbeyville,American Samoa,2
Abbot,American Samoa,1
Abbotsford,American Samoa,1
Abbott,American Samoa,11
Abbotts,American Samoa,1
Abbottsburg,American Samoa,1
Abbottsford,American Samoa,2
Abbottstown,American Samoa,1
Abbottsville,American Samoa,1
Abbyville,American Samoa,1
Abco,American Samoa,1
Abdal,American Samoa,1
Abdan,American Samoa,1
Abdera,American Samoa,1
Abe,American Samoa,2
Abecrumby,American Samoa,1
Abel,American Samoa,2
Abeles,American Samoa,1
Abell,American Samoa,3
Aben,American Samoa,1
Abercrombie,American Samoa,3
Aberdeen,American Samoa,18
Aberdeen Junction,American Samoa,3
Aberfoil,American Samoa,1
Aberfoyle,American Samoa,1
Abernant,American Samoa,1
Abernathy,American Samoa,4
Abert,American Samoa,1
Abertown,American Samoa,1
Abesville,American Samoa,1
Abeyta,American Samoa,1
Abeytas,American Samoa,1
Abie,American Samoa,1
Abiff,American Samoa,1
Abigail,American Samoa,1
Abihka,American Samoa,1
Abilene,American Samoa,5
Abingdon,American Samoa,6
Abington,American Samoa,7
Abiquiu,American Samoa,1
Able,American Samoa,1
Abledell,American Samoa,1
Abner,American Samoa,4
Abney,American Samoa,2
Abo,American Samoa,2
Aboite,American Samoa,1
Abra,American Samoa,1
Abraham,American Samoa,2
Abrahams,American Samoa,1
Abrahamsville,American Samoa,1
Abram,American Samoa,1
Abrams,American Samoa,2
Absalom,American Samoa,1
Absaraka,American Samoa,1
Absarokee,American Samoa,1
Absecon,American Samoa,1
Absher,American Samoa,2
Abshers,American Samoa,1
Abuelo,American Samoa,1
Abydel,American Samoa,1
Academia,American Samoa,2
Academie,American Samoa,1
Academy,American Samoa,6
Academy Park,American Samoa,4
Academyville,American Samoa,1
Acadia,American Samoa,2
Acadiana,American Samoa,1
Acala,American Samoa,1
Acampo,American Samoa,2
Acapesket,American Samoa,1
Acapulco,American Samoa,1
Acasto,American Samoa,1
Acca,American Samoa,1
Access,American Samoa,1
Accident,American Samoa,2
Accokeek,American Samoa,1
Accola,American Samoa,1
Accomac,American Samoa,2
Accord,American Samoa,2
Accotink,American Samoa,1
Accoville,American Samoa,1
Ace,American Samoa,1
Acebedo,American Samoa,1
Aceitunas,American Samoa,1
Acequia,American Samoa,2
Acevedo,American Samoa,1
Achackwaithle,American Samoa,1
Achan,American Samoa,1
Achash,American Samoa,1
Achenbach,American Samoa,1
Acheson,American Samoa,1
Achi,American Samoa,1
Achille,American Samoa,1
Achilles,American Samoa,2
Achor,American Samoa,1
Achord,American Samoa,1
Acidalia,American Samoa,1
Acipcoville,American Samoa,1
Acker,American Samoa,2
Ackerly,American Samoa,1
Ackerman,American Samoa,2
Ackermanville,American Samoa,1
Ackerson,American Samoa,1
Ackerville,American Samoa,2
Acklena,American Samoa,1
Ackley,American Samoa,1
Acklocknayke,American Samoa,1
Ackworth,American Samoa,2
Acline,American Samoa,1
Acmar,American Samoa,1
Acme,American Samoa,18
Acmetonia,American Samoa,1
Acoaxet,American Samoa,1
Acodale,American Samoa,1
Acolita,American Samoa,1
Acoma,American Samoa,1
Acomita,American Samoa,1
Acona,American Samoa,1
Acorn,American Samoa,6
Acorn Acres,American Samoa,3
Acosta,American Samoa,1
Acquidaneck,American Samoa,1
Acra,American Samoa,1
Acredale,American Samoa,2
Acree,American Samoa,1
Acresville,American Samoa,1
Acropolis,American Samoa,1
Actis,American Samoa,1
Active,American Samoa,1
Acton,American Samoa,13
Acuff,American Samoa,2
Acup,American Samoa,2
Acushnet,American Samoa,1
Acworth,American Samoa,3
Acy,American Samoa,1
Ada,American Samoa,13
Adabelle,American Samoa,1
Adaburg,American Samoa,1
Adacao,American Samoa,1
Adah,American Samoa,1
Adair,American Samoa,11
Adairsville,American Samoa,1
Adairville,American Samoa,1
Adak,American Samoa,1
Adako,American Samoa,1
Adaland,American Samoa,1
Adaline,American Samoa,2
Adam,American Samoa,2
Adamana,American Samoa,1
Adamant,American Samoa,1
Adamdell,American Samoa,1
Adams,American Samoa,25
Adams Corner,American Samoa,4
Adams Crossroads,American Samoa,4
Adams Landing,American Samoa,3
Adams Park,American Samoa,3
Adamsboro,American Samoa,1
Adamsburg,American Samoa,3
Adamsdale,American Samoa,2
Adamson,American Samoa,3
Adamston,American Samoa,2
Adamstown,American Samoa,2
Adamsville,American Samoa,20
Adario,American Samoa,1
Adasburg,American Samoa,1
Adaton,American Samoa,2
Adaven,American Samoa,1
Adaville,American Samoa,1
Adaza,American Samoa,1
Adco,American Samoa,1
Addicks,American Samoa,1
Addie,American Samoa,4
Addielee,American Samoa,1
Addielou,American Samoa,1
Addieville,American Samoa,1
Addingham,American Samoa,1
Addington,American Samoa,2
Addis,American Samoa,1
Addison,American Samoa,14
Addor,American Samoa,1
Addran,American Samoa,1
Addy,American Samoa,1
Addyston,American Samoa,1
Ade,American Samoa,1
Adel,American Samoa,8
Adela,American Samoa,1
Adelaida,American Samoa,1
Adelaide,American Samoa,7
Adelanto,American Samoa,1
Adelbert,American Samoa,1
Adele,American Samoa,2
Adelia,American Samoa,1
Adelina,American Samoa,1
Adeline,American Samoa,3
Adelino,American Samoa,1
Adell,American Samoa,2
Adelle,American Samoa,1
Adelphi,American Samoa,5
Adelphia,American Samoa,1
Adelup,American Samoa,1
Aden,American Samoa,6
Adena,American Samoa,2
Adenmoor,American Samoa,1
Adgateville,American Samoa,1
