Place Name,State,Frequency
Aaron,California,4
Aarons,California,1
Aaronsburg,California,2
Aasu,California,1
Abadyl,California,1
Abanaka,California,1
Abanda,California,1
Abarr,California,1
Abattis,California,1
Abba,California,1
Abbeville,California,5
Abbey,California,1
Abbeyville,California,2
Abbot,California,1
Abbotsford,California,1
Abbotts,California,1
Abbottsburg,California,1
Abbottsford,California,2
Abbottstown,California,1
Abbottsville,California,1
Abbyville,California,1
Abco,California,1
Abdal,California,1
Abdan,California,1
Abdera,California,1
Abe,California,2
Abecrumby,California,1
Abel,California,2
Abeles,California,1
Abell,California,3
Aben,California,1
Abercrombie,California,3
Aberdeen Junction,California,3
Aberfoil,California,1
Aberfoyle,California,1
Abernant,California,1
Abernathy,California,4
Abert,California,1
Abertown,California,1
Abesville,California,1
Abeyta,California,1
Abeytas,California,1
Abie,California,1
Abiff,California,1
Abigail,California,1
Abihka,California,1
Abingdon,California,6
Abington,California,7
Abiquiu,California,1
Able,California,1
Abledell,California,1
Abner,California,4
Abney,California,2
Abo,California,2
Aboite,California,1
Abra,California,1
Abraham,California,2
Abrahams,California,1
Abrahamsville,California,1
Abram,California,1
Abrams,California,2
Absalom,California,1
Absaraka,California,1
Absarokee,California,1
Absecon,California,1
Absher,California,2
Abshers,California,1
Abuelo,California,1
Abydel,California,1
Academia,California,2
Academie,California,1
Academy,California,6
Academy Park,California,4
Academyville,California,1
Acadia,California,2
Acadiana,California,1
Acala,California,1
Acapesket,California,1
Acapulco,California,1
Acasto,California,1
Acca,California,1
Access,California,1
Accident,California,2
Accokeek,California,1
Accola,California,1
Accomac,California,2
Accord,California,2
Accotink,California,1
Accoville,California,1
Ace,California,1
Aceitunas,California,1
Acequia,California,2
Acevedo,California,1
Achackwaithle,California,1
Achan,California,1
Achash,California,1
Achenbach,California,1
Acheson,California,1
Achi,California,1
Achille,California,1
Achilles,California,2
Achor,California,1
Achord,California,1
Acidalia,California,1
Acipcoville,California,1
Acker,California,2
Ackerly,California,1
Ackerman,California,2
Ackermanville,California,1
Ackerson,California,1
Ackerville,California,2
Acklena,California,1
Ackley,California,1
Acklocknayke,California,1
Ackworth,California,2
Acline,California,1
Acmar,California,1
Acmetonia,California,1
Acoaxet,California,1
Acodale,California,1
Acoma,California,1
Acomita,California,1
Acona,California,1
Acorn Acres,California,3
Acosta,California,1
Acquidaneck,California,1
Acra,California,1
Acredale,California,2
Acree,California,1
Acresville,California,1
Acropolis,California,1
Active,California,1
Acuff,California,2
Acup,California,2
Acushnet,California,1
Acworth,California,3
Acy,California,1
Ada,California,13
Adabelle,California,1
Adaburg,California,1
Adacao,California,1
Adah,California,1
Adair,California,11
Adairsville,California,1
Adairville,California,1
Adak,California,1
Adako,California,1
Adaland,California,1
Adaline,California,2
Adam,California,2
Adamana,California,1
Adamant,California,1
Adamdell,California,1
Adams Corner,California,4
Adams Crossroads,California,4
Adams Landing,California,3
Adams Park,California,3
Adamsboro,California,1
Adamsburg,California,3
Adamsdale,California,2
Adamson,California,3
Adamston,California,2
Adamstown,California,2
Adamsville,California,20
Adario,California,1
Adasburg,California,1
Adaton,California,2
Adaven,California,1
Adaville,California,1
Adaza,California,1
Adco,California,1
Addicks,California,1
Addie,California,4
Addielee,California,1
Addielou,California,1
Addieville,California,1
Addingham,California,1
Addington,California,2
Addis,California,1
Addison,California,14
Addor,California,1
Addran,California,1
Addy,California,1
Addyston,California,1
Ade,California,1
Adel,California,8
Adelaide,California,7
Adelbert,California,1
Adele,California,2
Adelia,California,1
Adelina,California,1
Adeline,California,3
Adelino,California,1
Adell,California,2
Adelle,California,1
Adelphi,California,5
Adelphia,California,1
Adelup,California,1
Aden,California,6
Adena,California,2
Adenmoor,California,1
Adgateville,California,1
Adger,California,2
Adial,California,1
Adina,California,1
Adirondack,California,1
Adjett,California,1
Adjuntas,California,1
Adkins,California,2
Adlai,California,1
Adler,California,1
Adley,California,1
Adma,California,1
Admah,California,1
Admiral,California,3
Admire,California,2
Adna,California,2
Adner,California,2
Adobe,California,2
Adobes,California,1
Adois,California,1
Adolph,California,2
Adolphus,California,2
Adon,California,1
Adona,California,1
Adonijah,California,1
Adonis,California,2
Adria,California,1
Adrian,California,15
Adsit,California,1
Adsul,California,1
Advent,California,1
Adventure,California,1
Adverse,California,1
Adville,California,1
Adwolf,California,1
Ady,California,2
Adyeville,California,1
Aeneas,California,1
Aerial,California,1
Aethra,California,1
Aetna,California,5
Aetnaville,California,2
Afami,California,1
Afao,California,1
Afeman,California,1
Afetna,California,1
Affinity,California,1
Affton,California,1
Aflex,California,1
Afognak,California,1
Afolkey,California,1
Afredton,California,1
Africa,California,3
Afulei,California,1
Aganoa,California,1
Agar,California,1
Agat,California,1
Agate,California,6
Agatha,California,1
Agawam,California,4
Agee,California,1
Agency,California,3
Agenda,California,1
Ages,California,1
Aggregates,California,1
Agner,California,1
Agnes,California,4
Agness,California,1
Agnewville,California,1
Agnos,California,1
Agreeable,California,1
Agricola,California,7
Agua,California,1
Aguacate,California,1
Aguada,California,1
Aguadilla,California,1
Agudo,California,1
Agugulu,California,1
Aguikchuk,California,1
Aguila,California,1
Aguilar,California,1
Aguilares,California,1
Aguilita,California,1
Ah-gwah-ching,California,1
Ahaluna,California,1
Ahern,California,1
Ahgosatown,California,1
Ahles,California,1
Ahloso,California,1
Ahmeek,California,1
Ahnberg,California,1
Aho,California,1
Aholt,California,1
Ahoskie,California,1
Ahosulga,California,1
Ahrensville,California,1
Ahsahka,California,1
Ahtanum,California,1
Ahwatukee,California,1
Ai,California,4
Aiaktalik,California,1
Aibonito,California,1
Aid,California,2
Aievak,California,1
Aiken,California,6
Aikenton,California,1
Aikin,California,1
Aikins,California,1
Aikinsville,California,1
Aikman,California,2
Ailey,California,1
Ailor,California,1
Ailston,California,1
Aily,California,1
Aimar,California,1
Aims,California,1
Aimwell,California,2
Ain,California,1
Ainger,California,2
Ainslie,California,1
Ainsworth,California,4
Airboro,California,1
Airedale,California,1
Airedele,California,1
Airey,California,2
Airhill,California,1
Airington,California,1
Airlee,California,1
Airlie,California,4
Airmont,California,2
Airpoint,California,1
Airport Village,California,4
Airstream,California,1
Airville,California,2
Airydale,California,1
Aitch,California,1
Aitkin,California,1
Aix,California,2
Ajax,California,5
Ajlune,California,1
Ajo,California,1
Akaska,California,1
Akela,California,1
Akeley,California,2
Akerly,California,1
Akersville,California,2
Akerville,California,1
Akes,California,1
Akhiok,California,1
Akiachak,California,1
Akiak,California,1
Akin,California,3
Akins,California,2
Akinsville,California,1
Akka,California,1
Aklut,California,1
Akmiut,California,1
Akokpak,California,1
Akona,California,1
Akpaliut,California,1
Akra,California,1
Akridge,California,1
Akron,California,16
Akshadak,California,1
Akulga,California,1
Akuliukpak,California,1
Akulivikchuk,California,1
Akulurak,California,1
Akumsuk,California,1
Akupu,California,1
Akutan,California,1
Al-Mar,California,1
Alabam,California,1
Alabama,California,2
Alabaster,California,2
Alachua,California,1
Alaculsy,California,1
Aladdin,California,4
Alafaya,California,1
Alaga,California,1
Alaganik,California,1
Alakanuk,California,1
Alamana,California,1
Alamance,California,1
Alamando,California,1
Alamar,California,1
Alamillo,California,1
Alamito,California,1
Alamode,California,1
Alamogordo,California,1
Alamorosa,California,1
Alamosa,California,1
Alamota,California,1
Alamucha,California,1
Alandale,California,3
Alander,California,1
Alanreed,California,1
Alanson,California,1
Alanthus,California,2
Alanton,California,1
Alao,California,1
Alapaha,California,2
Alapocas,California,1
Alarka,California,1
Alaska,California,6
Alatna,California,1
Alaufau,California,1
Alavista,California,1
Alazan,California,1
Alazon,California,1
Alba,California,4
Alban,California,1
Albano,California,1
Albantown,California,1
Albaton,California,1
Albatross,California,1
Albaugh,California,1
Albee,California,2
Albeison,California,1
Albemarle,California,2
Alberene,California,1
Albers,California,1
Albert,California,7
Alberta,California,7
Alberton,California,4
Albertson,California,3
Albertville,California,3
Albia,California,3
Albin,California,3
Albina,California,1
Alborn,California,1
Albright,California,3
Albrights,California,1
Albrightsville,California,1
Albritton,California,1
Albrittons,California,1
Albuquerque,California,1
Alburg,California,1
Alburgh,California,1
Alburnett,California,1
Alburtis,California,1
Alcalde,California,2
Alcan,California,1
Alcantavilla,California,1
Alcatraz,California,1
Alcester,California,1
Alchie,California,1
Alco,California,3
Alcoa,California,2
Alcola,California,1
Alcolu,California,1
Alcoma,California,2
Alcona,California,1
Alcony,California,1
Alcorn,California,3
Alcorns,California,1
Alcot,California,1
Alcova,California,1
Alcove,California,1
Alcovy,California,1
Alda,California,2
Aldan,California,1
Alden,California,13
Aldene,California,1
Aldens,California,1
Aldenville,California,2
Alder,California,7
Alderbranch,California,1
Alderbrook,California,2
Alderdale,California,1
Alderhvile,California,1
Alderley,California,1
Alderman,California,1
Aldersgate,California,1
Alderson,California,2
Alderton,California,1
Aldervale,California,1
Alderwood,California,1
Aldham,California,1
Aldie,California,1
Aldine,California,3
Aldino,California,1
Aldora,California,1
Aldovin,California,1
Aldreds,California,1
Aldrich,California,4
Aldridge,California,5
Aldwyck,California,1
Ale,California,1
Aledo,California,3
Alegría,California,1
Alejandrenas,California,1
Aleknagik,California,1
Aleksashkina,California,1
Aleman,California,1
Alembic,California,1
Alena,California,1
Alene,California,1
Aleneva,California,1
Aleppo,California,1
Alert,California,3
Ales,California,1
Alesia,California,1
Alesville,California,1
Alewife,California,1
Alex,California,1
Alexander,California,16
Alexander Springs,California,3
Alexandria,California,13
Alexauken,California,1
Alexeiev,California,1
Alexis,California,5
Aley,California,1
Alf,California,1
Alfalfa,California,6
Alfarata,California,1
Alfmil,California,1
Alfonso,California,1
Alfont,California,1
Alford,California,5
Alfords,California,2
Alfordsville,California,2
Alfrecha,California,1
Alfred,California,6
Alfrey,California,1
Algansee,California,1
Algarrobo,California,1
Algary,California,1
Alger,California,5
Algeria,California,1
Algerita,California,1
Algernon,California,1
Algiers,California,3
Algoa,California,2
Algodones,California,1
Algoma,California,6
Algona,California,2
Algonac,California,1
Algonquin,California,3
Algood,California,1
Algren,California,1
Alianza,California,1
Alica,California,1
Alice,California,13
Alicel,California,1
Aliceton,California,1
Aliceville,California,3
Alida,California,3
Alief,California,1
Alikanna,California,1
Alikchi,California,1
Alinda,California,1
Aline,California,4
Alinnak,California,1
Aliquippa,California,1
Alire,California,1
Alivio,California,1
Alix,California,1
Alka,California,1
Alkabo,California,1
Alkali,California,1
Alkehatchee,California,1
Alki,California,1
Alkol,California,1
All,California,1
Allaben,California,1
Allagash,California,1
Allah,California,1
Allaire,California,1
Allais,California,1
Allakaket,California,1
Allamoore,California,1
Allamuchy,California,1
Allandale,California,5
Allanton,California,1
Allanwood,California,1
Allapattah,California,1
Allard,California,1
Allardt,California,1
Allatoona,California,1
Allbright,California,1
Allbrook,California,1
Alldredge,California,1
Alledonia,California,1
Allee,California,1
Alleene,California,1
Allegan,California,1
Allegany,California,2
Allegheny,California,3
Alleghenyville,California,1
Allegiance,California,1
Allegre,California,1
Alleman,California,1
Allemand,California,1
Allemania,California,1
Allemans,California,1
Allenbridge,California,1
Allenbrook,California,1
Allencrest,California,1
Allende,California,1
Allendorf,California,1
Allendorph,California,1
Allenfarm,California,1
Allenford,California,1
Allenhurst,California,4
Allenport,California,1
Allens,California,3
Allens Crossroads,California,3
Allens Mills,California,4
Allensburg,California,1
Allenslevel,California,1
Allenspark,California,1
Allenstand,California,1
Allensville,California,7
Allenton,California,6
Allentown,California,16
Allenvale,California,1
Allenview,California,1
Allenville,California,8
Allenwood,California,3
Allerton,California,4
Alley,California,1
Alleyton,California,2
Allfriend,California,1
Allgates,California,1
Allgood,California,1
Allibone,California,1
Allie,California,1
Allied,California,1
Alligator,California,2
Alligerville,California,1
Alligood,California,1
Alligoods,California,1
Allin,California,1
Allingdale,California,1
Allingham,California,1
Allingtown,California,1
Allis,California,1
Allison,California,13
Allisona,California,1
Allisonia,California,1
Allisonville,California,1
Allister,California,1
Allman,California,1
Allmon,California,1
Allmondsville,California,1
Allnut,California,1
Allock,California,1
Allon,California,2
Allons,California,1
Allouez,California,2
Alloway,California,4
Alloy,California,1
Allport,California,2
Allred,California,5
Allreds,California,1
Allright,California,1
Allsboro,California,1
Allsbrook,California,1
Allsop,California,1
Allston,California,1
Alluvium,California,1
Alluwe,California,1
Allwood,California,3
Allyn,California,1
Almadane,California,1
Almaden,California,1
Almagro,California,1
Almartha,California,1
Almaville,California,1
Almeda,California,2
Almedia,California,2
Almelund,California,1
Almena,California,3
Almeria,California,2
Almima,California,1
Almira,California,5
Almo,California,2
Almon,California,3
Almonesson,California,1
Almont,California,7
Almora,California,2
Almoral,California,1
Almota,California,1
Almy,California,2
Almyra,California,1
Almyville,California,1
Alna,California,1
Alnwick,California,2
Aloe,California,2
Alofau,California,1
Aloha,California,4
Aloma,California,1
Alonzaville,California,1
Alonzo,California,4
Aloquin,California,1
Alorton,California,1
Aloys,California,1
Alpena,California,4
Alpers,California,1
Alphaba,California,1
Alphano,California,1
Alpharetta,California,1
Alpharette,California,1
Alpheus,California,1
Alphoretta,California,1
Alpina,California,1
Alplaus,California,1
Alpoca,California,1
Alpowa,California,1
Alps,California,1
Alpsville,California,1
Alquina,California,1
Alread,California,1
Alridge,California,1
Alrion,California,1
Alsa,California,1
Alsatia,California,1
Alsdorf,California,1
Alsea,California,1
Alsen,California,4
Alsey,California,1
Alsip,California,1
Alsop,California,1
Alspaugh,California,1
Alstead,California,1
Alston,California,6
Alstown,California,1
Alsuma,California,1
Alsup,California,1
Alsville,California,1
Altagracia,California,1
Altair,California,1
Altamaha,California,1
Altamahaw,California,1
Altamesa,California,1
Altamira,California,1
Altapass,California,1
Altavilla,California,1
Altavista,California,2
Altawood,California,1
Altay,California,1
Altenburg,California,1
Altenwald,California,1
Altha,California,1
Altharp,California,1
Althea,California,2
Altheim,California,1
Altheimer,California,1
Althom,California,1
Althouse,California,2
Altitude,California,2
Altizer,California,1
Altman,California,4
Altmar,California,2
Altoga,California,1
Altogether,California,1
Altona,California,10
Altonah,California,2
Altonville,California,1
Altoona,California,9
Altorf,California,1
Altro,California,1
Altuda,California,1
Altura,California,3
Altus,California,4
Altvan,California,1
Altyn,California,1
Alum,California,3
Alum Creek,California,3
Alum Springs,California,3
Alumbaugh,California,1
Alumwell,California,1
Alunite,California,1
Aluta,California,1
Alva,California,5
Alvada,California,1
Alvadore,California,1
Alvan,California,1
Alvarado,California,5
Alvaton,California,2
Alverda,California,1
Alverno,California,2
Alverson,California,1
Alverton,California,1
Alville,California,1
Alvin,California,7
Alvira,California,1
Alvis,California,1
Alvo,California,1
Alvon,California,1
Alvord,California,4
Alvordton,California,1
Alvwood,California,1
Alwington,California,1
Alworth,California,1
Aly,California,1
Alyeska,California,1
Alzada,California,1
Ama,California,1
Amabel,California,1
Amado,California,1
Amador,California,3
Amadore,California,1
Amagansett,California,1
Amagon,California,1
Amalau,California,1
Amalga,California,3
Amalia,California,1
Amaluia,California,1
Aman,California,1
Amana,California,1
Amanca,California,1
Amanda,California,4
Amandaville,California,3
Amantha,California,1
Amaranth,California,2
Amargo,California,1
Amargosa,California,1
Amarillo,California,1
Amasa,California,1
Amateur,California,1
Amatus,California,1
Amaua,California,1
Amawalk,California,1
Amazon,California,1
Amazonia,California,1
Amba,California,1
Ambar,California,1
Ambau,California,1
Amber,California,7
Amberfield,California,1
Amberg,California,1
Amberley,California,1
Amberly,California,1
Amberson,California,1
Amberwood,California,1
Ambia,California,2
Amble,California,1
Amblersburg,California,1
Amblerville,California,1
Ambleside,California,1
Ambridge,California,2
Ambro,California,1
Ambrosia,California,2
Amburg,California,1
Amburgey,California,1
Amcelle,California,1
Amchitka,California,1
Ameagle,California,1
Ameera,California,1
Amehe,California,1
Amelia,California,9
Amend,California,1
Amenia,California,3
Amerene,California,1
America,California,4
Americana,California,1
Americus,California,5
Amersham,California,1
Amery,California,1
Ames,California,13
Amesbury,California,1
Amesville,California,3
Amherst,California,16
Amherstdale,California,1
Amhurst,California,1
Amicalola,California,1
Amicus,California,1
Amidon,California,1
Amigo,California,1
Amiret,California,1
Amis,California,1
Amish,California,1
Amissville,California,1
Amistad,California,1
Amite,California,1
Amity,California,11
Amityville,California,2
Amlin,California,1
Amma,California,1
Ammannsville,California,1
Ammendale,California,1
Ammie,California,1
Ammon,California,4
Ammons,California,1
Amo,California,1
Amonate,California,1
