Place Name,State,Frequency
Aaron,Colorado,4
Aarons,Colorado,1
Aaronsburg,Colorado,2
Aasu,Colorado,1
Abadyl,Colorado,1
Abanaka,Colorado,1
Abanda,Colorado,1
Abattis,Colorado,1
Abba,Colorado,1
Abbato,Colorado,1
Abbeville,Colorado,5
Abbey,Colorado,1
Abbeyville,Colorado,1
Abbot,Colorado,1
Abbotsford,Colorado,1
Abbott,Colorado,11
Abbotts,Colorado,1
Abbottsburg,Colorado,1
Abbottsford,Colorado,2
Abbottstown,Colorado,1
Abbottsville,Colorado,1
Abbyville,Colorado,1
Abco,Colorado,1
Abdal,Colorado,1
Abdan,Colorado,1
Abdera,Colorado,1
Abe,Colorado,2
Abecrumby,Colorado,1
Abel,Colorado,2
Abeles,Colorado,1
Abell,Colorado,3
Aben,Colorado,1
Abercrombie,Colorado,3
Aberdeen,Colorado,18
Aberdeen Junction,Colorado,3
Aberfoil,Colorado,1
Aberfoyle,Colorado,1
Abernant,Colorado,1
Abernathy,Colorado,4
Abert,Colorado,1
Abertown,Colorado,1
Abesville,Colorado,1
Abeytas,Colorado,1
Abie,Colorado,1
Abiff,Colorado,1
Abigail,Colorado,1
Abihka,Colorado,1
Abilene,Colorado,5
Abingdon,Colorado,6
Abington,Colorado,7
Abiquiu,Colorado,1
Abledell,Colorado,1
Abner,Colorado,4
Abney,Colorado,2
Abo,Colorado,2
Aboite,Colorado,1
Abra,Colorado,1
Abraham,Colorado,2
Abrahams,Colorado,1
Abrahamsville,Colorado,1
Abram,Colorado,1
Abrams,Colorado,2
Absalom,Colorado,1
Absaraka,Colorado,1
Absarokee,Colorado,1
Absecon,Colorado,1
Absher,Colorado,2
Abshers,Colorado,1
Abuelo,Colorado,1
Abydel,Colorado,1
Academia,Colorado,2
Academie,Colorado,1
Academy,Colorado,6
Academy Park,Colorado,4
Academyville,Colorado,1
Acadia,Colorado,2
Acadiana,Colorado,1
Acala,Colorado,1
Acampo,Colorado,2
Acapesket,Colorado,1
Acapulco,Colorado,1
Acasto,Colorado,1
Acca,Colorado,1
Access,Colorado,1
Accident,Colorado,2
Accokeek,Colorado,1
Accola,Colorado,1
Accomac,Colorado,2
Accord,Colorado,2
Accotink,Colorado,1
Accoville,Colorado,1
Ace,Colorado,1
Acebedo,Colorado,1
Aceitunas,Colorado,1
Acequia,Colorado,1
Acevedo,Colorado,1
Achackwaithle,Colorado,1
Achan,Colorado,1
Achash,Colorado,1
Achenbach,Colorado,1
Acheson,Colorado,1
Achi,Colorado,1
Achille,Colorado,1
Achilles,Colorado,2
Achor,Colorado,1
Achord,Colorado,1
Acidalia,Colorado,1
Acipcoville,Colorado,1
Acker,Colorado,2
Ackerly,Colorado,1
Ackerman,Colorado,2
Ackermanville,Colorado,1
Ackerson,Colorado,1
Ackerville,Colorado,2
Acklena,Colorado,1
Ackley,Colorado,1
Acklocknayke,Colorado,1
Ackworth,Colorado,2
Acline,Colorado,1
Acmar,Colorado,1
Acme,Colorado,18
Acmetonia,Colorado,1
Acoaxet,Colorado,1
Acodale,Colorado,1
Acolita,Colorado,1
Acoma,Colorado,1
Acomita,Colorado,1
Acona,Colorado,1
Acorn,Colorado,6
Acorn Acres,Colorado,3
Acosta,Colorado,1
Acquidaneck,Colorado,1
Acra,Colorado,1
Acredale,Colorado,2
Acree,Colorado,1
Acresville,Colorado,1
Acropolis,Colorado,1
Actis,Colorado,1
Active,Colorado,1
Acton,Colorado,13
Acuff,Colorado,2
Acup,Colorado,2
Acushnet,Colorado,1
Acworth,Colorado,3
Acy,Colorado,1
Ada,Colorado,13
Adabelle,Colorado,1
Adaburg,Colorado,1
Adacao,Colorado,1
Adah,Colorado,1
Adair,Colorado,11
Adairsville,Colorado,1
Adairville,Colorado,1
Adak,Colorado,1
Adako,Colorado,1
Adaland,Colorado,1
Adaline,Colorado,2
Adam,Colorado,2
