Place Name,State,Frequency
Aaron,Commonwealth of the Northern Mariana Islands,4
Aarons,Commonwealth of the Northern Mariana Islands,1
Aaronsburg,Commonwealth of the Northern Mariana Islands,2
Aasu,Commonwealth of the Northern Mariana Islands,1
Abadyl,Commonwealth of the Northern Mariana Islands,1
Abanaka,Commonwealth of the Northern Mariana Islands,1
Abanda,Commonwealth of the Northern Mariana Islands,1
Abarr,Commonwealth of the Northern Mariana Islands,1
Abattis,Commonwealth of the Northern Mariana Islands,1
Abba,Commonwealth of the Northern Mariana Islands,1
Abbato,Commonwealth of the Northern Mariana Islands,1
Abbeville,Commonwealth of the Northern Mariana Islands,5
Abbey,Commonwealth of the Northern Mariana Islands,1
Abbeyville,Commonwealth of the Northern Mariana Islands,2
Abbot,Commonwealth of the Northern Mariana Islands,1
Abbotsford,Commonwealth of the Northern Mariana Islands,1
Abbott,Commonwealth of the Northern Mariana Islands,11
Abbotts,Commonwealth of the Northern Mariana Islands,1
Abbottsburg,Commonwealth of the Northern Mariana Islands,1
Abbottsford,Commonwealth of the Northern Mariana Islands,2
Abbottstown,Commonwealth of the Northern Mariana Islands,1
Abbottsville,Commonwealth of the Northern Mariana Islands,1
Abbyville,Commonwealth of the Northern Mariana Islands,1
Abco,Commonwealth of the Northern Mariana Islands,1
Abdal,Commonwealth of the Northern Mariana Islands,1
Abdan,Commonwealth of the Northern Mariana Islands,1
Abdera,Commonwealth of the Northern Mariana Islands,1
Abe,Commonwealth of the Northern Mariana Islands,2
Abecrumby,Commonwealth of the Northern Mariana Islands,1
Abel,Commonwealth of the Northern Mariana Islands,2
Abeles,Commonwealth of the Northern Mariana Islands,1
Abell,Commonwealth of the Northern Mariana Islands,3
Aben,Commonwealth of the Northern Mariana Islands,1
Abercrombie,Commonwealth of the Northern Mariana Islands,3
Aberdeen,Commonwealth of the Northern Mariana Islands,18
Aberdeen Junction,Commonwealth of the Northern Mariana Islands,3
Aberfoil,Commonwealth of the Northern Mariana Islands,1
Aberfoyle,Commonwealth of the Northern Mariana Islands,1
Abernant,Commonwealth of the Northern Mariana Islands,1
Abernathy,Commonwealth of the Northern Mariana Islands,4
Abert,Commonwealth of the Northern Mariana Islands,1
Abertown,Commonwealth of the Northern Mariana Islands,1
Abesville,Commonwealth of the Northern Mariana Islands,1
Abeyta,Commonwealth of the Northern Mariana Islands,1
Abeytas,Commonwealth of the Northern Mariana Islands,1
Abie,Commonwealth of the Northern Mariana Islands,1
Abiff,Commonwealth of the Northern Mariana Islands,1
Abigail,Commonwealth of the Northern Mariana Islands,1
Abihka,Commonwealth of the Northern Mariana Islands,1
Abilene,Commonwealth of the Northern Mariana Islands,5
Abingdon,Commonwealth of the Northern Mariana Islands,6
Abington,Commonwealth of the Northern Mariana Islands,7
Abiquiu,Commonwealth of the Northern Mariana Islands,1
Able,Commonwealth of the Northern Mariana Islands,1
Abledell,Commonwealth of the Northern Mariana Islands,1
Abner,Commonwealth of the Northern Mariana Islands,4
