Place Name,State,Frequency
Aaron,Connecticut,4
Aarons,Connecticut,1
Aaronsburg,Connecticut,2
Aasu,Connecticut,1
Abadyl,Connecticut,1
Abanaka,Connecticut,1
Abanda,Connecticut,1
Abarr,Connecticut,1
Abattis,Connecticut,1
Abba,Connecticut,1
Abbato,Connecticut,1
Abbeville,Connecticut,5
Abbey,Connecticut,1
Abbeyville,Connecticut,2
Abbot,Connecticut,1
Abbotsford,Connecticut,1
Abbott,Connecticut,11
Abbotts,Connecticut,1
Abbottsburg,Connecticut,1
Abbottsford,Connecticut,2
Abbottstown,Connecticut,1
Abbottsville,Connecticut,1
Abbyville,Connecticut,1
Abco,Connecticut,1
Abdal,Connecticut,1
Abdan,Connecticut,1
Abdera,Connecticut,1
Abe,Connecticut,2
Abecrumby,Connecticut,1
Abel,Connecticut,2
Abeles,Connecticut,1
Abell,Connecticut,3
Aben,Connecticut,1
Abercrombie,Connecticut,3
Aberdeen,Connecticut,18
Aberdeen Junction,Connecticut,3
Aberfoil,Connecticut,1
Aberfoyle,Connecticut,1
Abernant,Connecticut,1
Abernathy,Connecticut,4
Abert,Connecticut,1
Abertown,Connecticut,1
Abesville,Connecticut,1
Abeyta,Connecticut,1
Abeytas,Connecticut,1
Abie,Connecticut,1
Abiff,Connecticut,1
Abigail,Connecticut,1
Abihka,Connecticut,1
Abilene,Connecticut,5
Abingdon,Connecticut,6
Abington,Connecticut,6
Abiquiu,Connecticut,1
Able,Connecticut,1
Abledell,Connecticut,1
Abner,Connecticut,4
Abney,Connecticut,2
Abo,Connecticut,2
Aboite,Connecticut,1
Abra,Connecticut,1
Abraham,Connecticut,2
Abrahams,Connecticut,1
Abrahamsville,Connecticut,1
Abram,Connecticut,1
Abrams,Connecticut,2
Absalom,Connecticut,1
Absaraka,Connecticut,1
Absarokee,Connecticut,1
Absecon,Connecticut,1
Absher,Connecticut,2
Abshers,Connecticut,1
Abuelo,Connecticut,1
Abydel,Connecticut,1
Academia,Connecticut,2
Academie,Connecticut,1
Academy,Connecticut,6
Academy Park,Connecticut,4
Academyville,Connecticut,1
Acadia,Connecticut,2
Acadiana,Connecticut,1
Acala,Connecticut,1
Acampo,Connecticut,2
Acapesket,Connecticut,1
Acapulco,Connecticut,1
Acasto,Connecticut,1
Acca,Connecticut,1
Access,Connecticut,1
Accident,Connecticut,2
Accokeek,Connecticut,1
Accola,Connecticut,1
Accomac,Connecticut,2
Accord,Connecticut,2
Accotink,Connecticut,1
Accoville,Connecticut,1
Ace,Connecticut,1
Acebedo,Connecticut,1
Aceitunas,Connecticut,1
Acequia,Connecticut,2
Acevedo,Connecticut,1
Achackwaithle,Connecticut,1
Achan,Connecticut,1
Achash,Connecticut,1
Acheson,Connecticut,1
Achi,Connecticut,1
Achille,Connecticut,1
Achilles,Connecticut,2
Achor,Connecticut,1
Achord,Connecticut,1
Acidalia,Connecticut,1
Acipcoville,Connecticut,1
Acker,Connecticut,2
Ackerly,Connecticut,1
Ackerman,Connecticut,2
Ackermanville,Connecticut,1
Ackerson,Connecticut,1
Ackerville,Connecticut,2
Acklena,Connecticut,1
Ackley,Connecticut,1
Acklocknayke,Connecticut,1
Ackworth,Connecticut,2
Acline,Connecticut,1
Acmar,Connecticut,1
Acme,Connecticut,18
Acmetonia,Connecticut,1
Acoaxet,Connecticut,1
Acodale,Connecticut,1
Acolita,Connecticut,1
Acoma,Connecticut,1
Acomita,Connecticut,1
Acona,Connecticut,1
Acorn,Connecticut,6
Acorn Acres,Connecticut,3
Acosta,Connecticut,1
Acra,Connecticut,1
Acredale,Connecticut,2
Acree,Connecticut,1
Acresville,Connecticut,1
Actis,Connecticut,1
Active,Connecticut,1
Acton,Connecticut,13
Acuff,Connecticut,2
Acup,Connecticut,2
Acushnet,Connecticut,1
Acworth,Connecticut,3
Acy,Connecticut,1
Ada,Connecticut,13
Adabelle,Connecticut,1
Adaburg,Connecticut,1
Adacao,Connecticut,1
