Place Name,State,Frequency
Aaron,Delaware,4
Aarons,Delaware,1
Aaronsburg,Delaware,2
Aasu,Delaware,1
Abadyl,Delaware,1
Abanaka,Delaware,1
Abanda,Delaware,1
Abarr,Delaware,1
Abattis,Delaware,1
Abba,Delaware,1
Abbato,Delaware,1
Abbeville,Delaware,5
Abbey,Delaware,1
Abbeyville,Delaware,2
Abbot,Delaware,1
Abbotsford,Delaware,1
Abbott,Delaware,11
Abbotts,Delaware,1
Abbottsburg,Delaware,1
Abbottsford,Delaware,2
Abbottstown,Delaware,1
Abbottsville,Delaware,1
Abbyville,Delaware,1
Abco,Delaware,1
Abdal,Delaware,1
Abdan,Delaware,1
Abdera,Delaware,1
Abe,Delaware,2
Abecrumby,Delaware,1
Abel,Delaware,2
Abeles,Delaware,1
Abell,Delaware,3
Aben,Delaware,1
Abercrombie,Delaware,3
Aberdeen,Delaware,18
Aberdeen Junction,Delaware,3
Aberfoil,Delaware,1
Aberfoyle,Delaware,1
Abernant,Delaware,1
Abernathy,Delaware,4
Abert,Delaware,1
Abertown,Delaware,1
Abesville,Delaware,1
Abeyta,Delaware,1
Abeytas,Delaware,1
Abie,Delaware,1
Abiff,Delaware,1
Abigail,Delaware,1
Abihka,Delaware,1
Abilene,Delaware,5
Abingdon,Delaware,6
Abington,Delaware,7
Abiquiu,Delaware,1
Able,Delaware,1
Abledell,Delaware,1
Abner,Delaware,4
Abney,Delaware,2
Abo,Delaware,2
Aboite,Delaware,1
Abra,Delaware,1
Abraham,Delaware,2
Abrahams,Delaware,1
Abrahamsville,Delaware,1
Abram,Delaware,1
Abrams,Delaware,2
Absalom,Delaware,1
Absaraka,Delaware,1
Absarokee,Delaware,1
Absecon,Delaware,1
Absher,Delaware,2
Abshers,Delaware,1
Abuelo,Delaware,1
Abydel,Delaware,1
Academia,Delaware,2
Academie,Delaware,1
Academy,Delaware,6
Academy Park,Delaware,4
Academyville,Delaware,1
Acadia,Delaware,2
Acadiana,Delaware,1
Acala,Delaware,1
Acampo,Delaware,2
Acapesket,Delaware,1
Acapulco,Delaware,1
Acasto,Delaware,1
Acca,Delaware,1
Access,Delaware,1
Accident,Delaware,2
Accokeek,Delaware,1
Accola,Delaware,1
Accomac,Delaware,2
Accord,Delaware,2
Accotink,Delaware,1
Accoville,Delaware,1
Ace,Delaware,1
Acebedo,Delaware,1
Aceitunas,Delaware,1
Acequia,Delaware,2
Acevedo,Delaware,1
Achackwaithle,Delaware,1
Achan,Delaware,1
Achash,Delaware,1
Achenbach,Delaware,1
Acheson,Delaware,1
Achi,Delaware,1
Achille,Delaware,1
Achilles,Delaware,2
Achor,Delaware,1
Achord,Delaware,1
Acidalia,Delaware,1
Acipcoville,Delaware,1
Acker,Delaware,2
Ackerly,Delaware,1
Ackerman,Delaware,2
Ackermanville,Delaware,1
Ackerson,Delaware,1
Ackerville,Delaware,2
Acklena,Delaware,1
Ackley,Delaware,1
Acklocknayke,Delaware,1
Ackworth,Delaware,2
Acline,Delaware,1
Acmar,Delaware,1
Acme,Delaware,18
Acmetonia,Delaware,1
Acoaxet,Delaware,1
Acodale,Delaware,1
Acolita,Delaware,1
Acoma,Delaware,1
Acomita,Delaware,1
Acona,Delaware,1
Acorn,Delaware,6
Acorn Acres,Delaware,3
Acosta,Delaware,1
Acquidaneck,Delaware,1
Acra,Delaware,1
Acredale,Delaware,2
Acree,Delaware,1
Acresville,Delaware,1
Acropolis,Delaware,1
Actis,Delaware,1
Active,Delaware,1
Acton,Delaware,13
Acuff,Delaware,2
Acup,Delaware,2
Acushnet,Delaware,1
Acworth,Delaware,3
Acy,Delaware,1
Ada,Delaware,13
Adabelle,Delaware,1
Adaburg,Delaware,1
Adacao,Delaware,1
Adah,Delaware,1
Adair,Delaware,11
Adairsville,Delaware,1
Adairville,Delaware,1
Adak,Delaware,1
Adako,Delaware,1
Adaland,Delaware,1
Adaline,Delaware,2
Adam,Delaware,2
Adamana,Delaware,1
Adamant,Delaware,1
Adamdell,Delaware,1
Adams,Delaware,25
Adams Corner,Delaware,4
Adams Landing,Delaware,3
Adams Park,Delaware,3
Adamsboro,Delaware,1
Adamsburg,Delaware,3
Adamsdale,Delaware,2
Adamson,Delaware,3
Adamston,Delaware,2
Adamstown,Delaware,2
Adario,Delaware,1
Adasburg,Delaware,1
Adaton,Delaware,2
Adaven,Delaware,1
Adaville,Delaware,1
Adaza,Delaware,1
Adco,Delaware,1
Addicks,Delaware,1
Addie,Delaware,4
Addielee,Delaware,1
Addielou,Delaware,1
Addieville,Delaware,1
Addingham,Delaware,1
Addington,Delaware,2
Addis,Delaware,1
Addison,Delaware,14
Addor,Delaware,1
Addran,Delaware,1
Addy,Delaware,1
Addyston,Delaware,1
Ade,Delaware,1
Adel,Delaware,8
Adela,Delaware,1
Adelaida,Delaware,1
Adelaide,Delaware,7
Adelanto,Delaware,1
Adelbert,Delaware,1
Adele,Delaware,2
Adelia,Delaware,1
Adelina,Delaware,1
Adeline,Delaware,3
Adelino,Delaware,1
Adell,Delaware,2
Adelle,Delaware,1
Adelphi,Delaware,5
Adelphia,Delaware,1
Adelup,Delaware,1
Aden,Delaware,6
Adena,Delaware,2
Adenmoor,Delaware,1
Adgateville,Delaware,1
Adger,Delaware,2
Adial,Delaware,1
Adin,Delaware,1
Adina,Delaware,1
Adirondack,Delaware,1
Adjett,Delaware,1
Adjuntas,Delaware,1
Adkins,Delaware,2
Adlai,Delaware,1
Adler,Delaware,1
Adley,Delaware,1
Adma,Delaware,1
Admah,Delaware,1
Admiral,Delaware,3
Admire,Delaware,2
Adna,Delaware,2
Adner,Delaware,2
Adobe,Delaware,2
Adobes,Delaware,1
Adois,Delaware,1
Adolph,Delaware,2
Adolphus,Delaware,2
Adon,Delaware,1
Adona,Delaware,1
Adonijah,Delaware,1
Adonis,Delaware,2
Adria,Delaware,1
Adrian,Delaware,15
Adsit,Delaware,1
Adsul,Delaware,1
Advance,Delaware,11
Advent,Delaware,1
Adventure,Delaware,1
Adverse,Delaware,1
Adville,Delaware,1
Adwolf,Delaware,1
Ady,Delaware,2
Adyeville,Delaware,1
Aeneas,Delaware,1
Aerial,Delaware,1
Aethra,Delaware,1
Aetna,Delaware,5
Aetnaville,Delaware,2
Afami,Delaware,1
Afao,Delaware,1
Afeman,Delaware,1
Afetna,Delaware,1
Affinity,Delaware,1
Affton,Delaware,1
Aflex,Delaware,1
Afognak,Delaware,1
Afolkey,Delaware,1
Afredton,Delaware,1
Africa,Delaware,3
Afulei,Delaware,1
Aganoa,Delaware,1
Agar,Delaware,1
Agat,Delaware,1
Agate,Delaware,6
Agatha,Delaware,1
Agawam,Delaware,4
Agee,Delaware,1
Agency,Delaware,3
Agenda,Delaware,1
Ager,Delaware,1
Ages,Delaware,1
Aggregates,Delaware,1
Agner,Delaware,1
Agnes,Delaware,4
Agness,Delaware,1
Agnew,Delaware,6
Agnewville,Delaware,1
Agnos,Delaware,1
Agoura,Delaware,1
Agra,Delaware,3
Agreeable,Delaware,1
Agricola,Delaware,7
Agua,Delaware,1
Agua Fria,Delaware,3
Aguacate,Delaware,1
Aguada,Delaware,1
Aguadilla,Delaware,1
Aguanga,Delaware,1
Agudo,Delaware,1
Agugulu,Delaware,1
Aguikchuk,Delaware,1
Aguila,Delaware,1
Aguilar,Delaware,1
Aguilares,Delaware,1
Aguilita,Delaware,1
Ah-gwah-ching,Delaware,1
Ahaluna,Delaware,1
Ahern,Delaware,1
Ahgosatown,Delaware,1
Ahles,Delaware,1
Ahloso,Delaware,1
Ahmeek,Delaware,1
Ahnberg,Delaware,1
Aho,Delaware,1
Aholt,Delaware,1
Ahoskie,Delaware,1
Ahosulga,Delaware,1
Ahrensville,Delaware,1
Ahsahka,Delaware,1
Ahtanum,Delaware,1
Ahwahnee,Delaware,1
Ahwatukee,Delaware,1
Ahwin,Delaware,1
Ai,Delaware,4
Aiaktalik,Delaware,1
Aibonito,Delaware,1
Aid,Delaware,2
Aievak,Delaware,1
Aiken,Delaware,6
Aikenton,Delaware,1
Aikin,Delaware,1
Aikins,Delaware,1
Aikinsville,Delaware,1
Aikman,Delaware,2
Ailey,Delaware,1
Ailor,Delaware,1
Ailsa,Delaware,1
Ailston,Delaware,1
Aily,Delaware,1
Aimar,Delaware,1
Aims,Delaware,1
Aimwell,Delaware,2
Ain,Delaware,1
Ainger,Delaware,2
Ainslie,Delaware,1
Ainsworth,Delaware,4
Airboro,Delaware,1
Airedale,Delaware,1
Airedele,Delaware,1
Airey,Delaware,2
Airhill,Delaware,1
Airington,Delaware,1
Airlee,Delaware,1
Airlie,Delaware,4
Airmont,Delaware,2
Airpoint,Delaware,1
Airport Village,Delaware,4
Airstream,Delaware,1
Airville,Delaware,2
Airydale,Delaware,1
Aitch,Delaware,1
Aitkin,Delaware,1
Aix,Delaware,2
Ajax,Delaware,5
Ajlune,Delaware,1
Ajo,Delaware,1
Akaska,Delaware,1
Akela,Delaware,1
Akeley,Delaware,2
Akerly,Delaware,1
Akers,Delaware,3
Akersville,Delaware,2
Akerville,Delaware,1
Akes,Delaware,1
Akhiok,Delaware,1
Akiachak,Delaware,1
Akiak,Delaware,1
Akin,Delaware,3
Akins,Delaware,2
Akinsville,Delaware,1
Akka,Delaware,1
Aklut,Delaware,1
Akmiut,Delaware,1
Akokpak,Delaware,1
