Place Name,State,Frequency
Aaron,District of Columbia,4
Aarons,District of Columbia,1
Aaronsburg,District of Columbia,2
Aasu,District of Columbia,1
Abadyl,District of Columbia,1
Abanaka,District of Columbia,1
Abanda,District of Columbia,1
Abarr,District of Columbia,1
Abattis,District of Columbia,1
Abba,District of Columbia,1
Abbato,District of Columbia,1
Abbeville,District of Columbia,5
Abbey,District of Columbia,1
Abbeyville,District of Columbia,2
Abbot,District of Columbia,1
Abbotsford,District of Columbia,1
Abbott,District of Columbia,11
Abbotts,District of Columbia,1
Abbottsburg,District of Columbia,1
Abbottsford,District of Columbia,2
Abbottstown,District of Columbia,1
Abbottsville,District of Columbia,1
Abbyville,District of Columbia,1
Abco,District of Columbia,1
Abdal,District of Columbia,1
Abdan,District of Columbia,1
Abdera,District of Columbia,1
Abe,District of Columbia,2
Abecrumby,District of Columbia,1
Abel,District of Columbia,2
Abeles,District of Columbia,1
Abell,District of Columbia,3
Aben,District of Columbia,1
Abercrombie,District of Columbia,3
Aberdeen,District of Columbia,18
Aberdeen Junction,District of Columbia,3
Aberfoil,District of Columbia,1
Aberfoyle,District of Columbia,1
Abernant,District of Columbia,1
Abernathy,District of Columbia,4
Abert,District of Columbia,1
Abertown,District of Columbia,1
Abesville,District of Columbia,1
Abeyta,District of Columbia,1
Abeytas,District of Columbia,1
Abie,District of Columbia,1
Abiff,District of Columbia,1
Abigail,District of Columbia,1
Abihka,District of Columbia,1
Abilene,District of Columbia,5
Abingdon,District of Columbia,6
Abington,District of Columbia,7
Abiquiu,District of Columbia,1
Able,District of Columbia,1
Abledell,District of Columbia,1
Abner,District of Columbia,4
Abney,District of Columbia,2
Abo,District of Columbia,2
Aboite,District of Columbia,1
Abra,District of Columbia,1
Abraham,District of Columbia,2
Abrahams,District of Columbia,1
Abrahamsville,District of Columbia,1
Abram,District of Columbia,1
Abrams,District of Columbia,2
Absalom,District of Columbia,1
Absaraka,District of Columbia,1
Absarokee,District of Columbia,1
Absecon,District of Columbia,1
Absher,District of Columbia,2
Abshers,District of Columbia,1
Abuelo,District of Columbia,1
Abydel,District of Columbia,1
Academia,District of Columbia,2
Academie,District of Columbia,1
Academy,District of Columbia,6
Academy Park,District of Columbia,4
Academyville,District of Columbia,1
Acadia,District of Columbia,2
Acadiana,District of Columbia,1
Acala,District of Columbia,1
Acampo,District of Columbia,2
Acapesket,District of Columbia,1
Acapulco,District of Columbia,1
Acasto,District of Columbia,1
Acca,District of Columbia,1
Access,District of Columbia,1
Accident,District of Columbia,2
Accokeek,District of Columbia,1
Accola,District of Columbia,1
