Place Name,State,Frequency
Aaron,Florida,4
Aarons,Florida,1
Aaronsburg,Florida,2
Aasu,Florida,1
Abadyl,Florida,1
Abanaka,Florida,1
Abanda,Florida,1
Abarr,Florida,1
Abattis,Florida,1
Abba,Florida,1
Abbato,Florida,1
Abbeville,Florida,5
Abbey,Florida,1
Abbeyville,Florida,2
Abbot,Florida,1
Abbotsford,Florida,1
Abbott,Florida,11
Abbotts,Florida,1
Abbottsburg,Florida,1
Abbottsford,Florida,2
Abbottstown,Florida,1
Abbottsville,Florida,1
Abbyville,Florida,1
Abco,Florida,1
Abdal,Florida,1
Abdan,Florida,1
Abdera,Florida,1
Abe,Florida,2
Abecrumby,Florida,1
Abel,Florida,2
Abeles,Florida,1
Abell,Florida,3
Aben,Florida,1
Abercrombie,Florida,3
Aberdeen,Florida,17
Aberdeen Junction,Florida,3
Aberfoil,Florida,1
Aberfoyle,Florida,1
Abernant,Florida,1
Abernathy,Florida,4
Abert,Florida,1
Abertown,Florida,1
Abesville,Florida,1
Abeyta,Florida,1
Abeytas,Florida,1
Abie,Florida,1
Abiff,Florida,1
Abigail,Florida,1
Abihka,Florida,1
Abilene,Florida,5
Abingdon,Florida,6
Abington,Florida,7
Abiquiu,Florida,1
Able,Florida,1
Abledell,Florida,1
Abner,Florida,4
Abney,Florida,2
Abo,Florida,2
Aboite,Florida,1
Abra,Florida,1
Abraham,Florida,2
Abrahams,Florida,1
Abrahamsville,Florida,1
Abram,Florida,1
Abrams,Florida,2
Absalom,Florida,1
Absaraka,Florida,1
Absarokee,Florida,1
Absecon,Florida,1
Absher,Florida,2
Abshers,Florida,1
Abuelo,Florida,1
Abydel,Florida,1
Academia,Florida,2
Academie,Florida,1
Academy,Florida,6
Academy Park,Florida,4
Academyville,Florida,1
Acadia,Florida,2
Acadiana,Florida,1
Acala,Florida,1
Acampo,Florida,2
Acapesket,Florida,1
Acapulco,Florida,1
Acasto,Florida,1
Acca,Florida,1
Access,Florida,1
Accident,Florida,2
Accokeek,Florida,1
Accola,Florida,1
Accomac,Florida,2
Accord,Florida,2
Accotink,Florida,1
Accoville,Florida,1
Ace,Florida,1
Acebedo,Florida,1
Aceitunas,Florida,1
Acequia,Florida,2
Acevedo,Florida,1
Achash,Florida,1
Achenbach,Florida,1
Acheson,Florida,1
Achi,Florida,1
Achille,Florida,1
Achilles,Florida,2
Achor,Florida,1
Achord,Florida,1
Acidalia,Florida,1
Acipcoville,Florida,1
Acker,Florida,2
Ackerly,Florida,1
Ackerman,Florida,2
Ackermanville,Florida,1
Ackerson,Florida,1
Ackerville,Florida,2
Acklena,Florida,1
Ackley,Florida,1
Ackworth,Florida,2
Acmar,Florida,1
Acme,Florida,18
Acmetonia,Florida,1
Acoaxet,Florida,1
Acodale,Florida,1
Acolita,Florida,1
Acoma,Florida,1
Acomita,Florida,1
Acona,Florida,1
Acorn,Florida,6
Acorn Acres,Florida,3
Acosta,Florida,1
Acquidaneck,Florida,1
Acra,Florida,1
Acredale,Florida,2
Acree,Florida,1
Acresville,Florida,1
Acropolis,Florida,1
Actis,Florida,1
Active,Florida,1
Acton,Florida,13
Acuff,Florida,2
Acup,Florida,2
Acushnet,Florida,1
Acworth,Florida,3
Acy,Florida,1
Ada,Florida,13
Adabelle,Florida,1
Adaburg,Florida,1
Adacao,Florida,1
Adah,Florida,1
Adair,Florida,11
Adairsville,Florida,1
Adairville,Florida,1
Adak,Florida,1
Adako,Florida,1
Adaland,Florida,1
Adaline,Florida,2
Adam,Florida,1
Adamana,Florida,1
Adamant,Florida,1
Adamdell,Florida,1
Adams,Florida,24
Adams Corner,Florida,4
Adams Crossroads,Florida,4
Adams Landing,Florida,3
Adams Park,Florida,3
Adamsboro,Florida,1
Adamsburg,Florida,3
Adamsdale,Florida,2
Adamson,Florida,3
Adamston,Florida,2
Adamstown,Florida,2
Adamsville,Florida,19
Adario,Florida,1
Adasburg,Florida,1
Adaton,Florida,2
Adaven,Florida,1
Adaville,Florida,1
Adaza,Florida,1
Adco,Florida,1
Addicks,Florida,1
Addie,Florida,4
Addielee,Florida,1
Addielou,Florida,1
Addieville,Florida,1
Addingham,Florida,1
Addington,Florida,2
Addis,Florida,1
Addison,Florida,14
Addor,Florida,1
Addran,Florida,1
Addy,Florida,1
Addyston,Florida,1
Ade,Florida,1
Adel,Florida,8
Adela,Florida,1
Adelaida,Florida,1
Adelaide,Florida,7
Adelanto,Florida,1
Adelbert,Florida,1
Adele,Florida,2
Adelia,Florida,1
Adelina,Florida,1
Adeline,Florida,3
Adelino,Florida,1
Adell,Florida,2
Adelle,Florida,1
Adelphi,Florida,5
Adelphia,Florida,1
Adelup,Florida,1
Aden,Florida,6
Adena,Florida,2
Adenmoor,Florida,1
Adgateville,Florida,1
Adger,Florida,2
Adial,Florida,1
Adin,Florida,1
Adina,Florida,1
Adirondack,Florida,1
Adjett,Florida,1
Adjuntas,Florida,1
Adkins,Florida,2
Adlai,Florida,1
Adler,Florida,1
Adley,Florida,1
Adma,Florida,1
Admah,Florida,1
Admiral,Florida,3
Admire,Florida,2
Adna,Florida,2
Adner,Florida,2
Adobe,Florida,2
Adobes,Florida,1
Adois,Florida,1
Adolph,Florida,2
Adolphus,Florida,2
Adon,Florida,1
Adona,Florida,1
Adonijah,Florida,1
Adonis,Florida,2
Adria,Florida,1
Adrian,Florida,15
Adsit,Florida,1
Adsul,Florida,1
Advance,Florida,11
Advent,Florida,1
Adventure,Florida,1
Adverse,Florida,1
Adville,Florida,1
Adwolf,Florida,1
Ady,Florida,2
Adyeville,Florida,1
Aeneas,Florida,1
Aerial,Florida,1
Aethra,Florida,1
Aetna,Florida,5
Aetnaville,Florida,2
Afami,Florida,1
Afao,Florida,1
Afeman,Florida,1
Afetna,Florida,1
Affinity,Florida,1
Affton,Florida,1
Aflex,Florida,1
Afognak,Florida,1
Afolkey,Florida,1
Afredton,Florida,1
Africa,Florida,3
Afton,Florida,20
Afulei,Florida,1
Aganoa,Florida,1
Agar,Florida,1
Agat,Florida,1
Agate,Florida,6
Agatha,Florida,1
Agawam,Florida,4
Agee,Florida,1
Agency,Florida,3
Agenda,Florida,1
Ager,Florida,1
Ages,Florida,1
Aggregates,Florida,1
Agner,Florida,1
Agnes,Florida,4
Agness,Florida,1
Agnew,Florida,6
Agnewville,Florida,1
Agnos,Florida,1
Agoura,Florida,1
Agra,Florida,3
Agreeable,Florida,1
Agricola,Florida,6
Agua,Florida,1
Agua Fria,Florida,3
Aguacate,Florida,1
Aguada,Florida,1
Aguadilla,Florida,1
Aguanga,Florida,1
Agudo,Florida,1
Agugulu,Florida,1
Aguikchuk,Florida,1
Aguila,Florida,1
Aguilar,Florida,1
Aguilares,Florida,1
Aguilita,Florida,1
Ah-gwah-ching,Florida,1
Ahaluna,Florida,1
Ahern,Florida,1
Ahgosatown,Florida,1
Ahles,Florida,1
Ahloso,Florida,1
Ahmeek,Florida,1
Ahnberg,Florida,1
Aho,Florida,1
Aholt,Florida,1
Ahoskie,Florida,1
Ahrensville,Florida,1
Ahsahka,Florida,1
Ahtanum,Florida,1
Ahwahnee,Florida,1
Ahwatukee,Florida,1
Ahwin,Florida,1
Ai,Florida,4
Aiaktalik,Florida,1
Aibonito,Florida,1
Aid,Florida,2
Aievak,Florida,1
Aiken,Florida,6
Aikenton,Florida,1
Aikin,Florida,1
Aikins,Florida,1
Aikinsville,Florida,1
Aikman,Florida,2
Ailey,Florida,1
Ailor,Florida,1
Ailsa,Florida,1
Ailston,Florida,1
Aily,Florida,1
Aimar,Florida,1
Aims,Florida,1
Aimwell,Florida,2
Ain,Florida,1
Ainger,Florida,2
Ainslie,Florida,1
Ainsworth,Florida,4
Airboro,Florida,1
Airedale,Florida,1
Airedele,Florida,1
Airey,Florida,2
Airhill,Florida,1
Airington,Florida,1
Airlee,Florida,1
Airlie,Florida,4
Airmont,Florida,2
Airpoint,Florida,1
Airport Village,Florida,4
Airstream,Florida,1
Airville,Florida,2
Airydale,Florida,1
Aitch,Florida,1
Aitkin,Florida,1
Aix,Florida,2
Ajax,Florida,5
Ajlune,Florida,1
Ajo,Florida,1
Akaska,Florida,1
Akela,Florida,1
Akeley,Florida,2
Akerly,Florida,1
Akers,Florida,3
Akersville,Florida,2
Akerville,Florida,1
Akes,Florida,1
Akhiok,Florida,1
Akiachak,Florida,1
Akiak,Florida,1
Akin,Florida,3
Akins,Florida,2
Akinsville,Florida,1
Akka,Florida,1
Aklut,Florida,1
Akmiut,Florida,1
Akokpak,Florida,1
Akona,Florida,1
Akpaliut,Florida,1
Akra,Florida,1
Akridge,Florida,1
Akron,Florida,16
Akshadak,Florida,1
Akulga,Florida,1
Akuliukpak,Florida,1
Akulivikchuk,Florida,1
Akulurak,Florida,1
Akumsuk,Florida,1
Akupu,Florida,1
Akutan,Florida,1
Al-Mar,Florida,1
Alabam,Florida,1
Alabama,Florida,1
Alabama Hill,Florida,3
Alabaster,Florida,2
Alaculsy,Florida,1
Aladdin,Florida,4
Alaga,Florida,1
Alaganik,Florida,1
Alakanuk,Florida,1
Alamance,Florida,1
Alamando,Florida,1
Alamar,Florida,1
Alameda,Florida,5
Alamillo,Florida,1
Alamito,Florida,1
Alamitos,Florida,1
Alamo,Florida,11
Alamode,Florida,1
Alamogordo,Florida,1
Alamorio,Florida,1
Alamorosa,Florida,1
Alamosa,Florida,1
Alamota,Florida,1
Alamucha,Florida,1
Alandale,Florida,3
Alander,Florida,1
Alanreed,Florida,1
Alanson,Florida,1
Alanthus,Florida,2
Alanton,Florida,1
Alao,Florida,1
Alapaha,Florida,1
Alapocas,Florida,1
Alarka,Florida,1
Alaska,Florida,6
Alatna,Florida,1
Alaufau,Florida,1
Alazan,Florida,1
Alazon,Florida,1
Alba,Florida,4
Alban,Florida,1
Albano,Florida,1
Albantown,Florida,1
Albany,Florida,22
Albaton,Florida,1
Albatross,Florida,1
Albaugh,Florida,1
Albee,Florida,2
Albeison,Florida,1
Albemarle,Florida,2
Alberene,Florida,1
Alberhill,Florida,1
Albers,Florida,1
Albert,Florida,7
Alberta,Florida,7
Alberton,Florida,4
Albertson,Florida,3
Albertville,Florida,3
Albia,Florida,3
Albin,Florida,3
Albina,Florida,1
Albion,Florida,22
Alborn,Florida,1
Albrae,Florida,1
Albright,Florida,3
Albrights,Florida,1
Albrightsville,Florida,1
Albritton,Florida,1
Albrittons,Florida,1
Albuquerque,Florida,1
Alburg,Florida,1
Alburgh,Florida,1
Alburnett,Florida,1
Alburtis,Florida,1
Alcalde,Florida,2
Alcan,Florida,1
Alcantavilla,Florida,1
Alcatraz,Florida,1
Alcester,Florida,1
Alchie,Florida,1
Alco,Florida,3
Alcoa,Florida,2
Alcola,Florida,1
Alcolu,Florida,1
Alcoma,Florida,1
Alcona,Florida,1
Alcony,Florida,1
Alcorn,Florida,3
Alcorns,Florida,1
Alcot,Florida,1
Alcova,Florida,1
Alcove,Florida,1
Alcovy,Florida,1
Alda,Florida,2
Aldan,Florida,1
Alden,Florida,13
Aldene,Florida,1
Aldens,Florida,1
Aldenville,Florida,2
Alder,Florida,7
Alder Creek,Florida,4
Alder Springs,Florida,3
Alderbranch,Florida,1
Alderbrook,Florida,2
Alderdale,Florida,1
Alderhvile,Florida,1
Alderley,Florida,1
Alderpoint,Florida,1
Aldersgate,Florida,1
Alderson,Florida,2
Alderton,Florida,1
Aldervale,Florida,1
Alderwood,Florida,1
Aldham,Florida,1
Aldie,Florida,1
Aldine,Florida,3
Aldino,Florida,1
Aldora,Florida,1
Aldovin,Florida,1
Aldreds,Florida,1
Aldrich,Florida,4
Aldridge,Florida,5
Aldwyck,Florida,1
Ale,Florida,1
Aledo,Florida,3
Alegría,Florida,1
Alejandrenas,Florida,1
Aleknagik,Florida,1
Aleksashkina,Florida,1
Aleman,Florida,1
Alemandra,Florida,1
Alembic,Florida,1
Alena,Florida,1
Alene,Florida,1
Aleneva,Florida,1
Aleppo,Florida,1
Alert,Florida,3
Ales,Florida,1
Alesia,Florida,1
Alessandro,Florida,1
Alesville,Florida,1
Alewife,Florida,1
Alex,Florida,1
Alexander,Florida,16
Alexandria,Florida,13
Alexauken,Florida,1
Alexeiev,Florida,1
Alexis,Florida,5
Aley,Florida,1
Alf,Florida,1
Alfac,Florida,1
Alfalfa,Florida,6
Alfarata,Florida,1
Alfmil,Florida,1
Alfonso,Florida,1
Alfont,Florida,1
Alford,Florida,4
Alfords,Florida,2
Alfordsville,Florida,2
Alfrecha,Florida,1
Alfred,Florida,6
Alfrey,Florida,1
Algansee,Florida,1
Algarrobo,Florida,1
Algary,Florida,1
Alger,Florida,5
Algeria,Florida,1
Algerine,Florida,1
Algerita,Florida,1
Algernon,Florida,1
Algiers,Florida,3
Algoa,Florida,2
Algodon,Florida,1
Algodones,Florida,1
Algoma,Florida,6
Algona,Florida,2
Algonac,Florida,1
Algonquin,Florida,3
Algood,Florida,1
Algoso,Florida,1
Algren,Florida,1
Alhambra,Florida,9
Alianza,Florida,1
Alica,Florida,1
Alice,Florida,13
Alicel,Florida,1
Aliceton,Florida,1
Aliceville,Florida,3
Alicia,Florida,3
Alico,Florida,1
Alida,Florida,3
Alief,Florida,1
Alikanna,Florida,1
Alikchi,Florida,1
Alinda,Florida,1
Aline,Florida,4
Alinnak,Florida,1
Aliquippa,Florida,1
Alire,Florida,1
Alisal,Florida,1
Aliso,Florida,1
Alivio,Florida,1
Alix,Florida,1
Alka,Florida,1
Alkabo,Florida,1
Alkali,Florida,1
Alkehatchee,Florida,1
Alki,Florida,1
Alkol,Florida,1
All,Florida,1
Alla,Florida,1
Allaben,Florida,1
Allagash,Florida,1
Allah,Florida,1
Allaire,Florida,1
Allais,Florida,1
Allakaket,Florida,1
Allamoore,Florida,1
Allamuchy,Florida,1
Allandale,Florida,4
Allanwood,Florida,1
Allard,Florida,1
Allardt,Florida,1
Allatoona,Florida,1
Allbright,Florida,1
Allbrook,Florida,1
Alledonia,Florida,1
Allee,Florida,1
Alleene,Florida,1
Allegan,Florida,1
Allegany,Florida,2
Alleghany,Florida,3
Allegheny,Florida,3
Alleghenyville,Florida,1
Allegiance,Florida,1
Allegre,Florida,1
Alleman,Florida,1
Allemand,Florida,1
Allemania,Florida,1
Allemans,Florida,1
Allen,Florida,25
Allenbridge,Florida,1
Allenbrook,Florida,1
Allencrest,Florida,1
Allendale,Florida,21
Allende,Florida,1
Allendorf,Florida,1
Allendorph,Florida,1
Allenfarm,Florida,1
Allenford,Florida,1
Allenhurst,Florida,3
Allenport,Florida,1
Allens,Florida,2
Allens Crossroads,Florida,3
Allens Mills,Florida,4
Allensburg,Florida,1
Allenslevel,Florida,1
Allenspark,Florida,1
Allenstand,Florida,1
Allensville,Florida,7
Allensworth,Florida,1
Allenton,Florida,6
Allentown,Florida,15
Allenvale,Florida,1
Allenview,Florida,1
Allenville,Florida,8
Allenwood,Florida,3
Allerton,Florida,4
Alley,Florida,1
Alleyton,Florida,2
Allfriend,Florida,1
Allgates,Florida,1
Allgood,Florida,1
Alliance,Florida,11
Allibone,Florida,1
Allie,Florida,1
Allied,Florida,1
Alligator,Florida,2
Alligerville,Florida,1
Alligood,Florida,1
Alligoods,Florida,1
Allin,Florida,1
Allingdale,Florida,1
Allingham,Florida,1
Allingtown,Florida,1
Allis,Florida,1
Allison,Florida,13
Allisona,Florida,1
Allisonia,Florida,1
Allisonville,Florida,1
Allister,Florida,1
Allman,Florida,1
Allmon,Florida,1
Allmondsville,Florida,1
Allnut,Florida,1
Allock,Florida,1
Allon,Florida,2
Allons,Florida,1
Allouez,Florida,2
Alloway,Florida,4
Alloy,Florida,1
Allport,Florida,2
Allred,Florida,5
Allreds,Florida,1
Allright,Florida,1
Allsboro,Florida,1
Allsbrook,Florida,1
Allsop,Florida,1
Allston,Florida,1
Alluvium,Florida,1
Alluwe,Florida,1
Allwood,Florida,3
Allyn,Florida,1
Alma,Florida,21
Almadane,Florida,1
Almaden,Florida,1
Almagro,Florida,1
Almanor,Florida,1
Almartha,Florida,1
Almaville,Florida,1
Almeda,Florida,2
Almedia,Florida,2
Almelund,Florida,1
Almena,Florida,3
Almeria,Florida,2
Almira,Florida,5
Almo,Florida,2
Almon,Florida,3
Almond,Florida,7
Almonesson,Florida,1
Almont,Florida,7
Almonte,Florida,1
Almora,Florida,2
Almoral,Florida,1
Almota,Florida,1
Almy,Florida,2
Almyra,Florida,1
Almyville,Florida,1
Alna,Florida,1
Alnwick,Florida,2
Aloe,Florida,2
Alofau,Florida,1
Aloha,Florida,4
Alonzaville,Florida,1
Alonzo,Florida,4
Aloquin,Florida,1
Alorton,Florida,1
Aloys,Florida,1
Alpaugh,Florida,1
Alpena,Florida,4
Alpers,Florida,1
Alpha,Florida,21
Alphaba,Florida,1
Alphano,Florida,1
Alpharetta,Florida,1
Alpharette,Florida,1
Alpheus,Florida,1
Alphoretta,Florida,1
Alpina,Florida,1
Alpine,Florida,26
Alpine Heights,Florida,4
Alplaus,Florida,1
Alpoca,Florida,1
Alpowa,Florida,1
Alps,Florida,1
Alpsville,Florida,1
Alquina,Florida,1
Alray,Florida,1
Alread,Florida,1
Alridge,Florida,1
Alrion,Florida,1
Alsa,Florida,1
Alsace,Florida,1
Alsatia,Florida,1
Alsdorf,Florida,1
Alsea,Florida,1
Alsen,Florida,4
Alsey,Florida,1
Alsip,Florida,1
Alsop,Florida,1
Alspaugh,Florida,1
Alstead,Florida,1
Alston,Florida,6
Alstown,Florida,1
Alsuma,Florida,1
Alsup,Florida,1
Alsville,Florida,1
Alta,Florida,11
Alta Vista,Florida,13
Altacanyada,Florida,1
Altadena,Florida,1
Altagracia,Florida,1
Altair,Florida,1
Altamaha,Florida,1
Altamahaw,Florida,1
Altamesa,Florida,1
Altamira,Florida,1
Altamont,Florida,15
Altapass,Florida,1
Altavilla,Florida,1
Altaville,Florida,1
Altavista,Florida,2
Altawood,Florida,1
Altay,Florida,1
Alten,Florida,1
Altenburg,Florida,1
Altenwald,Florida,1
Altharp,Florida,1
Althea,Florida,2
Altheim,Florida,1
Altheimer,Florida,1
Althom,Florida,1
Althouse,Florida,2
Altitude,Florida,2
Altizer,Florida,1
Altman,Florida,4
Altmar,Florida,2
Alto,Florida,14
Altoga,Florida,1
Altogether,Florida,1
Alton,Florida,25
Altona,Florida,10
Altonah,Florida,2
Altonville,Florida,1
Altoona,Florida,8
Altorf,Florida,1
Altro,Florida,1
Altuda,Florida,1
Altura,Florida,3
Alturas,Florida,1
Altus,Florida,4
Altvan,Florida,1
Altyn,Florida,1
Alum,Florida,3
Alum Creek,Florida,3
Alum Springs,Florida,3
Alumbaugh,Florida,1
Alumwell,Florida,1
Alunite,Florida,1
Aluta,Florida,1
Alva,Florida,4
Alvada,Florida,1
Alvadore,Florida,1
Alvan,Florida,1
Alvarado,Florida,5
Alvaton,Florida,2
Alverda,Florida,1
Alverno,Florida,2
Alverson,Florida,1
Alverton,Florida,1
Alville,Florida,1
Alvin,Florida,7
Alvira,Florida,1
Alvis,Florida,1
Alviso,Florida,1
Alvo,Florida,1
Alvon,Florida,1
Alvord,Florida,4
Alvordton,Florida,1
Alvwood,Florida,1
Alwington,Florida,1
Alworth,Florida,1
Aly,Florida,1
Alyeska,Florida,1
Alzada,Florida,1
Ama,Florida,1
Amabel,Florida,1
Amado,Florida,1
Amador,Florida,3
Amadore,Florida,1
Amagansett,Florida,1
Amagon,Florida,1
Amalau,Florida,1
Amalga,Florida,3
Amalia,Florida,1
Amaluia,Florida,1
Aman,Florida,1
Amana,Florida,1
Amanca,Florida,1
Amanda,Florida,3
Amandaville,Florida,3
Amantha,Florida,1
Amaranth,Florida,2
Amargo,Florida,1
Amargosa,Florida,1
Amarillo,Florida,1
Amasa,Florida,1
Amateur,Florida,1
Amatus,Florida,1
Amaua,Florida,1
Amawalk,Florida,1
Amazon,Florida,1
Amazonia,Florida,1
Amba,Florida,1
Ambar,Florida,1
Ambau,Florida,1
Amber,Florida,7
Amberfield,Florida,1
Amberg,Florida,1
Amberley,Florida,1
Amberly,Florida,1
Amberson,Florida,1
Amberwood,Florida,1
Ambia,Florida,2
Amble,Florida,1
Ambler,Florida,4
Amblersburg,Florida,1
Amblerville,Florida,1
Ambleside,Florida,1
Amboy,Florida,10
Ambridge,Florida,2
Ambro,Florida,1
