Place Name,State,Frequency
Aaron,Georgia,3
Aarons,Georgia,1
Aaronsburg,Georgia,2
Aasu,Georgia,1
Abadyl,Georgia,1
Abanaka,Georgia,1
Abanda,Georgia,1
Abarr,Georgia,1
Abattis,Georgia,1
Abbato,Georgia,1
Abbeville,Georgia,4
Abbey,Georgia,1
Abbeyville,Georgia,2
Abbot,Georgia,1
Abbotsford,Georgia,1
Abbott,Georgia,11
Abbotts,Georgia,1
Abbottsburg,Georgia,1
Abbottsford,Georgia,1
Abbottstown,Georgia,1
Abbottsville,Georgia,1
Abbyville,Georgia,1
Abco,Georgia,1
Abdal,Georgia,1
Abdan,Georgia,1
Abdera,Georgia,1
Abe,Georgia,2
Abecrumby,Georgia,1
Abel,Georgia,2
Abeles,Georgia,1
Abell,Georgia,3
Aben,Georgia,1
Abercrombie,Georgia,3
Aberdeen,Georgia,17
Aberdeen Junction,Georgia,3
Aberfoil,Georgia,1
Aberfoyle,Georgia,1
Abernant,Georgia,1
Abernathy,Georgia,4
Abert,Georgia,1
Abertown,Georgia,1
Abesville,Georgia,1
Abeyta,Georgia,1
Abeytas,Georgia,1
Abie,Georgia,1
Abiff,Georgia,1
Abigail,Georgia,1
Abihka,Georgia,1
Abilene,Georgia,4
Abingdon,Georgia,6
Abington,Georgia,7
Abiquiu,Georgia,1
Able,Georgia,1
Abledell,Georgia,1
Abner,Georgia,4
Abney,Georgia,2
Abo,Georgia,2
Aboite,Georgia,1
Abra,Georgia,1
Abraham,Georgia,2
Abrahams,Georgia,1
Abrahamsville,Georgia,1
Abram,Georgia,1
Abrams,Georgia,2
Absaraka,Georgia,1
Absarokee,Georgia,1
Absecon,Georgia,1
Absher,Georgia,2
Abshers,Georgia,1
Abuelo,Georgia,1
Abydel,Georgia,1
Academia,Georgia,2
Academie,Georgia,1
Academy,Georgia,6
Academy Park,Georgia,4
Academyville,Georgia,1
Acadia,Georgia,2
Acadiana,Georgia,1
Acala,Georgia,1
Acampo,Georgia,2
Acapesket,Georgia,1
Acapulco,Georgia,1
Acasto,Georgia,1
Acca,Georgia,1
Access,Georgia,1
Accident,Georgia,2
Accokeek,Georgia,1
Accola,Georgia,1
Accomac,Georgia,2
Accord,Georgia,2
Accotink,Georgia,1
Accoville,Georgia,1
Ace,Georgia,1
Acebedo,Georgia,1
Aceitunas,Georgia,1
Acequia,Georgia,2
Acevedo,Georgia,1
Achackwaithle,Georgia,1
Achan,Georgia,1
Achash,Georgia,1
Achenbach,Georgia,1
Acheson,Georgia,1
Achi,Georgia,1
Achille,Georgia,1
Achilles,Georgia,2
Achor,Georgia,1
Acidalia,Georgia,1
Acipcoville,Georgia,1
Acker,Georgia,2
Ackerly,Georgia,1
Ackerman,Georgia,2
Ackermanville,Georgia,1
Ackerson,Georgia,1
Ackerville,Georgia,2
Acklena,Georgia,1
Ackley,Georgia,1
Acklocknayke,Georgia,1
Ackworth,Georgia,2
Acline,Georgia,1
Acmar,Georgia,1
Acme,Georgia,18
Acmetonia,Georgia,1
Acoaxet,Georgia,1
Acodale,Georgia,1
Acolita,Georgia,1
Acoma,Georgia,1
Acomita,Georgia,1
Acona,Georgia,1
Acorn,Georgia,6
Acorn Acres,Georgia,3
Acosta,Georgia,1
Acquidaneck,Georgia,1
Acra,Georgia,1
Acredale,Georgia,2
Acresville,Georgia,1
Acropolis,Georgia,1
Actis,Georgia,1
Active,Georgia,1
Acton,Georgia,12
Acuff,Georgia,2
Acup,Georgia,2
Acushnet,Georgia,1
Acworth,Georgia,2
Acy,Georgia,1
Ada,Georgia,13
Adaburg,Georgia,1
Adacao,Georgia,1
Adah,Georgia,1
Adair,Georgia,11
Adairville,Georgia,1
Adak,Georgia,1
Adako,Georgia,1
Adaland,Georgia,1
Adaline,Georgia,2
Adam,Georgia,2
Adamana,Georgia,1
Adamant,Georgia,1
Adamdell,Georgia,1
Adams,Georgia,24
Adams Corner,Georgia,4
Adams Crossroads,Georgia,3
Adams Landing,Georgia,3
Adamsboro,Georgia,1
Adamsburg,Georgia,3
Adamsdale,Georgia,2
Adamson,Georgia,2
Adamston,Georgia,2
Adamstown,Georgia,2
Adamsville,Georgia,19
Adario,Georgia,1
Adaton,Georgia,2
Adaven,Georgia,1
Adaville,Georgia,1
Adaza,Georgia,1
Adco,Georgia,1
Addicks,Georgia,1
Addie,Georgia,4
Addielee,Georgia,1
Addielou,Georgia,1
Addieville,Georgia,1
Addingham,Georgia,1
Addington,Georgia,2
Addis,Georgia,1
Addison,Georgia,14
Addor,Georgia,1
Addran,Georgia,1
Addy,Georgia,1
Addyston,Georgia,1
Ade,Georgia,1
Adel,Georgia,7
Adela,Georgia,1
Adelaida,Georgia,1
Adelaide,Georgia,6
Adelanto,Georgia,1
Adelbert,Georgia,1
Adele,Georgia,2
Adelia,Georgia,1
Adelina,Georgia,1
Adeline,Georgia,3
Adelino,Georgia,1
Adell,Georgia,2
Adelle,Georgia,1
Adelphi,Georgia,5
Adelphia,Georgia,1
Adelup,Georgia,1
Aden,Georgia,6
Adena,Georgia,2
Adenmoor,Georgia,1
Adger,Georgia,2
Adial,Georgia,1
Adin,Georgia,1
Adina,Georgia,1
Adirondack,Georgia,1
Adjett,Georgia,1
Adjuntas,Georgia,1
Adkins,Georgia,2
Adlai,Georgia,1
Adler,Georgia,1
Adley,Georgia,1
Adma,Georgia,1
Admah,Georgia,1
Admiral,Georgia,3
Admire,Georgia,2
Adna,Georgia,2
Adner,Georgia,2
Adobe,Georgia,2
Adobes,Georgia,1
Adois,Georgia,1
Adolph,Georgia,2
Adolphus,Georgia,2
Adon,Georgia,1
Adona,Georgia,1
Adonijah,Georgia,1
Adonis,Georgia,2
Adria,Georgia,1
Adrian,Georgia,14
Adsit,Georgia,1
Adsul,Georgia,1
Advance,Georgia,11
Advent,Georgia,1
Adverse,Georgia,1
Adville,Georgia,1
Adwolf,Georgia,1
Ady,Georgia,2
Adyeville,Georgia,1
Aeneas,Georgia,1
Aethra,Georgia,1
Aetna,Georgia,5
Aetnaville,Georgia,2
Afami,Georgia,1
Afao,Georgia,1
Afeman,Georgia,1
Afetna,Georgia,1
Affinity,Georgia,1
Affton,Georgia,1
Aflex,Georgia,1
Afognak,Georgia,1
Afolkey,Georgia,1
Afredton,Georgia,1
Africa,Georgia,3
Afton,Georgia,19
Afulei,Georgia,1
Aganoa,Georgia,1
Agar,Georgia,1
Agat,Georgia,1
Agate,Georgia,6
Agatha,Georgia,1
Agawam,Georgia,4
Agee,Georgia,1
Agency,Georgia,3
Agenda,Georgia,1
Ager,Georgia,1
Ages,Georgia,1
Aggregates,Georgia,1
Agner,Georgia,1
Agnes,Georgia,3
Agness,Georgia,1
Agnew,Georgia,6
