Place Name,State,Frequency
Aaron,Guam,4
Aarons,Guam,1
Aaronsburg,Guam,2
Aasu,Guam,1
Abadyl,Guam,1
Abanaka,Guam,1
Abanda,Guam,1
Abarr,Guam,1
Abattis,Guam,1
Abba,Guam,1
Abbato,Guam,1
Abbeville,Guam,5
Abbey,Guam,1
Abbeyville,Guam,2
Abbot,Guam,1
Abbotsford,Guam,1
Abbott,Guam,11
Abbotts,Guam,1
Abbottsburg,Guam,1
Abbottsford,Guam,2
Abbottstown,Guam,1
Abbottsville,Guam,1
Abbyville,Guam,1
Abco,Guam,1
Abdal,Guam,1
Abdan,Guam,1
Abdera,Guam,1
Abe,Guam,2
Abecrumby,Guam,1
Abel,Guam,2
Abeles,Guam,1
Abell,Guam,3
Aben,Guam,1
Abercrombie,Guam,3
Aberdeen,Guam,18
Aberdeen Junction,Guam,3
Aberfoil,Guam,1
Aberfoyle,Guam,1
Abernant,Guam,1
Abernathy,Guam,4
Abert,Guam,1
Abertown,Guam,1
Abesville,Guam,1
Abeyta,Guam,1
Abeytas,Guam,1
Abie,Guam,1
Abiff,Guam,1
Abigail,Guam,1
Abihka,Guam,1
Abilene,Guam,5
Abingdon,Guam,6
Abington,Guam,7
Abiquiu,Guam,1
Able,Guam,1
Abledell,Guam,1
Abner,Guam,4
Abney,Guam,2
Abo,Guam,2
Aboite,Guam,1
Abra,Guam,1
Abraham,Guam,2
Abrahams,Guam,1
Abrahamsville,Guam,1
Abram,Guam,1
Abrams,Guam,2
Absalom,Guam,1
Absaraka,Guam,1
Absarokee,Guam,1
Absecon,Guam,1
Absher,Guam,2
Abshers,Guam,1
Abuelo,Guam,1
Abydel,Guam,1
Academia,Guam,2
Academie,Guam,1
Academy,Guam,6
Academy Park,Guam,4
Academyville,Guam,1
Acadia,Guam,2
Acadiana,Guam,1
Acala,Guam,1
Acampo,Guam,2
Acapesket,Guam,1
Acapulco,Guam,1
Acasto,Guam,1
Acca,Guam,1
Access,Guam,1
Accident,Guam,2
Accokeek,Guam,1
Accola,Guam,1
Accomac,Guam,2
Accord,Guam,2
Accotink,Guam,1
Accoville,Guam,1
Ace,Guam,1
Acebedo,Guam,1
Aceitunas,Guam,1
Acequia,Guam,2
Acevedo,Guam,1
Achackwaithle,Guam,1
Achan,Guam,1
Achash,Guam,1
Achenbach,Guam,1
Acheson,Guam,1
Achi,Guam,1
Achille,Guam,1
Achilles,Guam,2
Achor,Guam,1
Achord,Guam,1
Acidalia,Guam,1
Acipcoville,Guam,1
Acker,Guam,2
Ackerly,Guam,1
Ackerman,Guam,2
Ackermanville,Guam,1
Ackerson,Guam,1
Ackerville,Guam,2
Acklena,Guam,1
Ackley,Guam,1
Acklocknayke,Guam,1
Ackworth,Guam,2
