Place Name,State,Frequency
Aaron,Idaho,4
Aarons,Idaho,1
Aaronsburg,Idaho,2
Aasu,Idaho,1
Abadyl,Idaho,1
Abanaka,Idaho,1
Abanda,Idaho,1
Abarr,Idaho,1
Abattis,Idaho,1
Abba,Idaho,1
Abbato,Idaho,1
Abbeville,Idaho,5
Abbeyville,Idaho,2
Abbot,Idaho,1
Abbotsford,Idaho,1
Abbott,Idaho,11
Abbotts,Idaho,1
Abbottsburg,Idaho,1
Abbottsford,Idaho,2
Abbottstown,Idaho,1
Abbottsville,Idaho,1
Abbyville,Idaho,1
Abco,Idaho,1
Abdal,Idaho,1
Abdan,Idaho,1
Abdera,Idaho,1
Abe,Idaho,2
Abecrumby,Idaho,1
Abel,Idaho,2
Abeles,Idaho,1
Abell,Idaho,3
Aben,Idaho,1
Abercrombie,Idaho,3
Aberdeen,Idaho,17
Aberfoil,Idaho,1
Aberfoyle,Idaho,1
Abernant,Idaho,1
Abernathy,Idaho,4
Abert,Idaho,1
Abertown,Idaho,1
Abesville,Idaho,1
Abeyta,Idaho,1
Abeytas,Idaho,1
Abie,Idaho,1
Abiff,Idaho,1
Abigail,Idaho,1
Abihka,Idaho,1
Abilene,Idaho,5
Abingdon,Idaho,6
Abington,Idaho,7
Abiquiu,Idaho,1
Able,Idaho,1
Abledell,Idaho,1
Abner,Idaho,4
Abney,Idaho,2
Abo,Idaho,2
Aboite,Idaho,1
Abra,Idaho,1
Abraham,Idaho,2
Abrahams,Idaho,1
Abrahamsville,Idaho,1
Abram,Idaho,1
Abrams,Idaho,2
Absalom,Idaho,1
Absaraka,Idaho,1
Absarokee,Idaho,1
Absecon,Idaho,1
Absher,Idaho,2
Abshers,Idaho,1
Abuelo,Idaho,1
Abydel,Idaho,1
Academia,Idaho,2
Academie,Idaho,1
Academy,Idaho,6
Academy Park,Idaho,4
Academyville,Idaho,1
Acadia,Idaho,2
Acadiana,Idaho,1
Acala,Idaho,1
Acampo,Idaho,2
Acapesket,Idaho,1
Acapulco,Idaho,1
Acasto,Idaho,1
Acca,Idaho,1
Access,Idaho,1
Accident,Idaho,2
Accokeek,Idaho,1
Accola,Idaho,1
Accomac,Idaho,2
Accord,Idaho,2
Accotink,Idaho,1
Accoville,Idaho,1
Ace,Idaho,1
Acebedo,Idaho,1
Aceitunas,Idaho,1
Acequia,Idaho,1
Acevedo,Idaho,1
Achackwaithle,Idaho,1
Achan,Idaho,1
Achash,Idaho,1
Achenbach,Idaho,1
Acheson,Idaho,1
Achi,Idaho,1
Achille,Idaho,1
Achilles,Idaho,2
Achor,Idaho,1
Achord,Idaho,1
Acidalia,Idaho,1
Acipcoville,Idaho,1
Acker,Idaho,2
Ackerly,Idaho,1
Ackerman,Idaho,2
Ackermanville,Idaho,1
Ackerson,Idaho,1
Ackerville,Idaho,2
Acklena,Idaho,1
Ackley,Idaho,1
Acklocknayke,Idaho,1
Ackworth,Idaho,2
Acline,Idaho,1
Acmar,Idaho,1
Acme,Idaho,18
Acmetonia,Idaho,1
Acoaxet,Idaho,1
Acodale,Idaho,1
Acolita,Idaho,1
Acoma,Idaho,1
Acomita,Idaho,1
Acona,Idaho,1
Acorn,Idaho,6
Acorn Acres,Idaho,3
Acosta,Idaho,1
Acquidaneck,Idaho,1
Acra,Idaho,1
Acredale,Idaho,2
Acree,Idaho,1
Acresville,Idaho,1
Acropolis,Idaho,1
Actis,Idaho,1
Active,Idaho,1
Acton,Idaho,13
Acuff,Idaho,2
Acup,Idaho,2
Acushnet,Idaho,1
Acworth,Idaho,3
Acy,Idaho,1
Ada,Idaho,13
Adabelle,Idaho,1
Adaburg,Idaho,1
Adacao,Idaho,1
Adah,Idaho,1
Adair,Idaho,10
Adairsville,Idaho,1
Adairville,Idaho,1
Adak,Idaho,1
Adako,Idaho,1
Adaland,Idaho,1
Adaline,Idaho,2
Adam,Idaho,2
Adamana,Idaho,1
Adamant,Idaho,1
Adamdell,Idaho,1
Adams,Idaho,25
Adams Corner,Idaho,4
Adams Crossroads,Idaho,4
Adams Landing,Idaho,3
Adams Park,Idaho,3
Adamsboro,Idaho,1
Adamsburg,Idaho,3
Adamsdale,Idaho,2
Adamson,Idaho,3
Adamston,Idaho,2
Adamstown,Idaho,2
Adamsville,Idaho,20
Adario,Idaho,1
Adasburg,Idaho,1
Adaton,Idaho,2
Adaven,Idaho,1
Adaville,Idaho,1
Adaza,Idaho,1
Adco,Idaho,1
Addicks,Idaho,1
Addie,Idaho,3
Addielee,Idaho,1
Addielou,Idaho,1
Addieville,Idaho,1
Addingham,Idaho,1
Addington,Idaho,2
Addis,Idaho,1
Addison,Idaho,14
Addor,Idaho,1
Addran,Idaho,1
Addy,Idaho,1
Addyston,Idaho,1
Ade,Idaho,1
Adel,Idaho,8
Adela,Idaho,1
Adelaida,Idaho,1
Adelaide,Idaho,6
Adelanto,Idaho,1
Adelbert,Idaho,1
Adele,Idaho,2
Adelia,Idaho,1
Adelina,Idaho,1
Adeline,Idaho,3
Adelino,Idaho,1
Adell,Idaho,2
Adelle,Idaho,1
Adelphi,Idaho,5
Adelphia,Idaho,1
Adelup,Idaho,1
Aden,Idaho,6
Adena,Idaho,2
Adenmoor,Idaho,1
Adgateville,Idaho,1
Adger,Idaho,2
Adial,Idaho,1
Adin,Idaho,1
Adina,Idaho,1
Adirondack,Idaho,1
Adjett,Idaho,1
Adjuntas,Idaho,1
Adkins,Idaho,2
Adlai,Idaho,1
Adler,Idaho,1
Adley,Idaho,1
Adma,Idaho,1
Admah,Idaho,1
Admiral,Idaho,3
Admire,Idaho,2
Adna,Idaho,2
Adner,Idaho,2
Adobe,Idaho,2
Adobes,Idaho,1
Adois,Idaho,1
Adolph,Idaho,2
Adolphus,Idaho,2
Adon,Idaho,1
Adona,Idaho,1
Adonijah,Idaho,1
Adonis,Idaho,2
Adria,Idaho,1
Adrian,Idaho,15
Adsit,Idaho,1
Adsul,Idaho,1
Advance,Idaho,11
Advent,Idaho,1
Adventure,Idaho,1
Adverse,Idaho,1
Adville,Idaho,1
Adwolf,Idaho,1
Ady,Idaho,2
Adyeville,Idaho,1
Aeneas,Idaho,1
Aerial,Idaho,1
Aethra,Idaho,1
Aetna,Idaho,5
Aetnaville,Idaho,2
Afami,Idaho,1
Afao,Idaho,1
Afeman,Idaho,1
Afetna,Idaho,1
Affinity,Idaho,1
Affton,Idaho,1
Aflex,Idaho,1
Afognak,Idaho,1
Afolkey,Idaho,1
Afredton,Idaho,1
Africa,Idaho,3
Afton,Idaho,20
Afulei,Idaho,1
Aganoa,Idaho,1
Agar,Idaho,1
Agat,Idaho,1
Agate,Idaho,6
Agawam,Idaho,4
Agee,Idaho,1
Agency,Idaho,3
Agenda,Idaho,1
Ager,Idaho,1
Ages,Idaho,1
Aggregates,Idaho,1
Agner,Idaho,1
Agnes,Idaho,4
Agness,Idaho,1
Agnew,Idaho,6
Agnewville,Idaho,1
Agnos,Idaho,1
Agoura,Idaho,1
Agra,Idaho,3
Agreeable,Idaho,1
Agricola,Idaho,7
Agua,Idaho,1
Agua Fria,Idaho,3
Aguacate,Idaho,1
Aguada,Idaho,1
Aguadilla,Idaho,1
Aguanga,Idaho,1
Agudo,Idaho,1
Agugulu,Idaho,1
Aguikchuk,Idaho,1
Aguila,Idaho,1
Aguilar,Idaho,1
Aguilares,Idaho,1
Aguilita,Idaho,1
Ah-gwah-ching,Idaho,1
Ahaluna,Idaho,1
Ahern,Idaho,1
Ahgosatown,Idaho,1
Ahles,Idaho,1
Ahloso,Idaho,1
Ahmeek,Idaho,1
Ahnberg,Idaho,1
Aho,Idaho,1
Aholt,Idaho,1
Ahoskie,Idaho,1
Ahosulga,Idaho,1
Ahrensville,Idaho,1
Ahtanum,Idaho,1
Ahwahnee,Idaho,1
Ahwatukee,Idaho,1
Ahwin,Idaho,1
Ai,Idaho,4
Aiaktalik,Idaho,1
Aibonito,Idaho,1
Aid,Idaho,2
Aievak,Idaho,1
Aiken,Idaho,5
Aikenton,Idaho,1
Aikin,Idaho,1
Aikins,Idaho,1
Aikinsville,Idaho,1
Aikman,Idaho,1
Ailey,Idaho,1
Ailor,Idaho,1
Ailsa,Idaho,1
Ailston,Idaho,1
Aily,Idaho,1
Aimar,Idaho,1
Aims,Idaho,1
Aimwell,Idaho,2
Ain,Idaho,1
Ainger,Idaho,2
Ainslie,Idaho,1
Ainsworth,Idaho,4
Airboro,Idaho,1
Airedale,Idaho,1
Airedele,Idaho,1
Airey,Idaho,2
Airhill,Idaho,1
Airington,Idaho,1
Airlee,Idaho,1
Airlie,Idaho,4
Airmont,Idaho,2
Airpoint,Idaho,1
Airport Village,Idaho,4
Airstream,Idaho,1
Airville,Idaho,2
Airydale,Idaho,1
Aitch,Idaho,1
Aitkin,Idaho,1
Aix,Idaho,2
Ajax,Idaho,5
Ajlune,Idaho,1
Ajo,Idaho,1
Akaska,Idaho,1
Akela,Idaho,1
Akeley,Idaho,2
Akerly,Idaho,1
Akers,Idaho,3
Akersville,Idaho,2
Akerville,Idaho,1
Akes,Idaho,1
Akhiok,Idaho,1
Akiachak,Idaho,1
Akiak,Idaho,1
Akin,Idaho,3
Akins,Idaho,2
Akinsville,Idaho,1
Akka,Idaho,1
Aklut,Idaho,1
Akmiut,Idaho,1
Akokpak,Idaho,1
Akona,Idaho,1
Akpaliut,Idaho,1
Akra,Idaho,1
Akridge,Idaho,1
Akron,Idaho,16
Akshadak,Idaho,1
Akulga,Idaho,1
Akuliukpak,Idaho,1
Akulivikchuk,Idaho,1
Akulurak,Idaho,1
Akumsuk,Idaho,1
Akupu,Idaho,1
Akutan,Idaho,1
Al-Mar,Idaho,1
Alabam,Idaho,1
Alabama,Idaho,2
Alabama Hill,Idaho,3
Alabaster,Idaho,2
Alachua,Idaho,1
Alaculsy,Idaho,1
Aladdin,Idaho,4
Alafaya,Idaho,1
Alaga,Idaho,1
Alaganik,Idaho,1
Alakanuk,Idaho,1
Alamana,Idaho,1
Alamance,Idaho,1
Alamando,Idaho,1
Alamar,Idaho,1
Alameda,Idaho,5
Alamillo,Idaho,1
Alamito,Idaho,1
Alamitos,Idaho,1
Alamo,Idaho,11
Alamode,Idaho,1
Alamogordo,Idaho,1
Alamorio,Idaho,1
Alamorosa,Idaho,1
Alamosa,Idaho,1
Alamota,Idaho,1
Alamucha,Idaho,1
Alandale,Idaho,3
Alander,Idaho,1
Alanreed,Idaho,1
Alanson,Idaho,1
Alanthus,Idaho,2
Alanton,Idaho,1
Alao,Idaho,1
Alapaha,Idaho,2
Alapocas,Idaho,1
Alarka,Idaho,1
Alaska,Idaho,6
Alatna,Idaho,1
Alaufau,Idaho,1
Alavista,Idaho,1
Alazan,Idaho,1
Alazon,Idaho,1
Alba,Idaho,4
Alban,Idaho,1
Albano,Idaho,1
Albantown,Idaho,1
Albany,Idaho,22
Albaton,Idaho,1
Albatross,Idaho,1
Albaugh,Idaho,1
Albee,Idaho,2
Albeison,Idaho,1
Albemarle,Idaho,2
Alberene,Idaho,1
Alberhill,Idaho,1
Albers,Idaho,1
Albert,Idaho,7
Alberta,Idaho,7
Alberton,Idaho,4
Albertson,Idaho,3
Albertville,Idaho,3
Albia,Idaho,3
Albin,Idaho,3
Albina,Idaho,1
Albion,Idaho,22
Alborn,Idaho,1
Albrae,Idaho,1
Albright,Idaho,3
Albrights,Idaho,1
Albrightsville,Idaho,1
Albritton,Idaho,1
Albrittons,Idaho,1
Albuquerque,Idaho,1
Alburg,Idaho,1
Alburgh,Idaho,1
Alburnett,Idaho,1
Alburtis,Idaho,1
Alcalde,Idaho,2
Alcan,Idaho,1
Alcantavilla,Idaho,1
Alcatraz,Idaho,1
Alcester,Idaho,1
Alchie,Idaho,1
Alco,Idaho,3
Alcoa,Idaho,2
Alcola,Idaho,1
Alcolu,Idaho,1
Alcoma,Idaho,2
Alcona,Idaho,1
Alcony,Idaho,1
Alcorn,Idaho,3
Alcorns,Idaho,1
Alcot,Idaho,1
Alcova,Idaho,1
Alcove,Idaho,1
Alcovy,Idaho,1
Alda,Idaho,2
Aldan,Idaho,1
Alden,Idaho,13
Aldene,Idaho,1
Aldens,Idaho,1
Aldenville,Idaho,2
Alder,Idaho,7
Alder Creek,Idaho,3
Alder Springs,Idaho,3
Alderbranch,Idaho,1
Alderbrook,Idaho,2
Alderdale,Idaho,1
