Place Name,State,Frequency
Aaron,Indiana,3
Aarons,Indiana,1
Aaronsburg,Indiana,2
Aasu,Indiana,1
Abadyl,Indiana,1
Abanaka,Indiana,1
Abanda,Indiana,1
Abarr,Indiana,1
Abattis,Indiana,1
Abba,Indiana,1
Abbato,Indiana,1
Abbeville,Indiana,5
Abbey,Indiana,1
Abbeyville,Indiana,2
Abbot,Indiana,1
Abbotsford,Indiana,1
Abbott,Indiana,11
Abbotts,Indiana,1
Abbottsburg,Indiana,1
Abbottsford,Indiana,2
Abbottstown,Indiana,1
Abbottsville,Indiana,1
Abbyville,Indiana,1
Abco,Indiana,1
Abdal,Indiana,1
Abdan,Indiana,1
Abdera,Indiana,1
Abe,Indiana,2
Abecrumby,Indiana,1
Abel,Indiana,2
Abeles,Indiana,1
Abell,Indiana,3
Aben,Indiana,1
Abercrombie,Indiana,3
Aberdeen,Indiana,17
Aberdeen Junction,Indiana,3
Aberfoil,Indiana,1
Aberfoyle,Indiana,1
Abernant,Indiana,1
Abernathy,Indiana,4
Abert,Indiana,1
Abertown,Indiana,1
Abesville,Indiana,1
Abeyta,Indiana,1
Abeytas,Indiana,1
Abie,Indiana,1
Abiff,Indiana,1
Abigail,Indiana,1
Abihka,Indiana,1
Abilene,Indiana,5
Abingdon,Indiana,6
Abington,Indiana,6
Abiquiu,Indiana,1
Able,Indiana,1
Abledell,Indiana,1
Abner,Indiana,4
Abney,Indiana,2
Abo,Indiana,2
Abra,Indiana,1
Abraham,Indiana,2
Abrahams,Indiana,1
Abrahamsville,Indiana,1
Abram,Indiana,1
Abrams,Indiana,2
Absalom,Indiana,1
Absaraka,Indiana,1
Absarokee,Indiana,1
Absecon,Indiana,1
Absher,Indiana,2
Abshers,Indiana,1
Abuelo,Indiana,1
Academia,Indiana,2
Academy,Indiana,6
Academy Park,Indiana,4
Academyville,Indiana,1
Acadia,Indiana,2
Acadiana,Indiana,1
Acala,Indiana,1
Acampo,Indiana,2
Acapesket,Indiana,1
Acapulco,Indiana,1
Acasto,Indiana,1
Acca,Indiana,1
Access,Indiana,1
Accident,Indiana,2
Accokeek,Indiana,1
Accola,Indiana,1
Accomac,Indiana,2
Accord,Indiana,2
Accotink,Indiana,1
Accoville,Indiana,1
Ace,Indiana,1
Acebedo,Indiana,1
Aceitunas,Indiana,1
Acequia,Indiana,2
Acevedo,Indiana,1
Achackwaithle,Indiana,1
Achan,Indiana,1
Achash,Indiana,1
Achenbach,Indiana,1
Acheson,Indiana,1
Achi,Indiana,1
Achille,Indiana,1
Achilles,Indiana,2
Achor,Indiana,1
Achord,Indiana,1
Acidalia,Indiana,1
Acipcoville,Indiana,1
Acker,Indiana,2
Ackerly,Indiana,1
Ackerman,Indiana,2
Ackermanville,Indiana,1
Ackerson,Indiana,1
Ackerville,Indiana,2
Acklena,Indiana,1
Ackley,Indiana,1
Acklocknayke,Indiana,1
Ackworth,Indiana,2
Acline,Indiana,1
Acmar,Indiana,1
Acme,Indiana,17
