Place Name,State,Frequency
Aaron,Iowa,4
Aarons,Iowa,1
Aaronsburg,Iowa,2
Aasu,Iowa,1
Abadyl,Iowa,1
Abanaka,Iowa,1
Abanda,Iowa,1
Abarr,Iowa,1
Abattis,Iowa,1
Abba,Iowa,1
Abbato,Iowa,1
Abbeville,Iowa,5
Abbey,Iowa,1
Abbeyville,Iowa,2
Abbot,Iowa,1
Abbotsford,Iowa,1
Abbotts,Iowa,1
Abbottsburg,Iowa,1
Abbottsford,Iowa,2
Abbottstown,Iowa,1
Abbottsville,Iowa,1
Abbyville,Iowa,1
Abco,Iowa,1
Abdal,Iowa,1
Abdan,Iowa,1
Abdera,Iowa,1
Abe,Iowa,2
Abecrumby,Iowa,1
Abel,Iowa,2
Abeles,Iowa,1
Abell,Iowa,3
Aben,Iowa,1
Abercrombie,Iowa,3
Aberdeen,Iowa,18
Aberdeen Junction,Iowa,3
Aberfoil,Iowa,1
Aberfoyle,Iowa,1
Abernant,Iowa,1
Abernathy,Iowa,4
Abert,Iowa,1
Abertown,Iowa,1
Abesville,Iowa,1
Abeyta,Iowa,1
Abeytas,Iowa,1
Abie,Iowa,1
Abiff,Iowa,1
Abigail,Iowa,1
Abihka,Iowa,1
Abilene,Iowa,5
Abington,Iowa,7
Abiquiu,Iowa,1
Able,Iowa,1
Abledell,Iowa,1
Abner,Iowa,4
Abney,Iowa,2
Abo,Iowa,2
Aboite,Iowa,1
Abra,Iowa,1
Abraham,Iowa,2
Abrahams,Iowa,1
Abrahamsville,Iowa,1
Abram,Iowa,1
Abrams,Iowa,2
Absalom,Iowa,1
Absaraka,Iowa,1
Absarokee,Iowa,1
Absecon,Iowa,1
Absher,Iowa,2
Abshers,Iowa,1
Abuelo,Iowa,1
Abydel,Iowa,1
Academia,Iowa,2
Academie,Iowa,1
Academy,Iowa,6
Academy Park,Iowa,4
Academyville,Iowa,1
Acadia,Iowa,2
Acadiana,Iowa,1
Acala,Iowa,1
Acampo,Iowa,2
Acapesket,Iowa,1
Acapulco,Iowa,1
Acasto,Iowa,1
Acca,Iowa,1
Access,Iowa,1
Accident,Iowa,2
Accokeek,Iowa,1
Accola,Iowa,1
Accomac,Iowa,2
Accord,Iowa,2
Accotink,Iowa,1
Accoville,Iowa,1
Ace,Iowa,1
Acebedo,Iowa,1
Aceitunas,Iowa,1
Acequia,Iowa,2
Acevedo,Iowa,1
Achackwaithle,Iowa,1
Achan,Iowa,1
Achash,Iowa,1
Achenbach,Iowa,1
Acheson,Iowa,1
Achi,Iowa,1
Achille,Iowa,1
Achilles,Iowa,2
Achor,Iowa,1
Achord,Iowa,1
Acidalia,Iowa,1
Acipcoville,Iowa,1
Acker,Iowa,2
Ackerly,Iowa,1
Ackerman,Iowa,2
Ackermanville,Iowa,1
Ackerson,Iowa,1
Ackerville,Iowa,2
Acklena,Iowa,1
Acklocknayke,Iowa,1
Acline,Iowa,1
Acmar,Iowa,1
Acme,Iowa,18
Acmetonia,Iowa,1
Acoaxet,Iowa,1
Acodale,Iowa,1
Acolita,Iowa,1
Acoma,Iowa,1
Acomita,Iowa,1
Acona,Iowa,1
Acorn,Iowa,6
Acorn Acres,Iowa,3
Acosta,Iowa,1
Acquidaneck,Iowa,1
Acra,Iowa,1
Acredale,Iowa,2
Acree,Iowa,1
Acresville,Iowa,1
Acropolis,Iowa,1
Actis,Iowa,1
Active,Iowa,1
Acton,Iowa,13
Acuff,Iowa,2
Acup,Iowa,2
Acushnet,Iowa,1
Acworth,Iowa,3
Acy,Iowa,1
Ada,Iowa,13
Adabelle,Iowa,1
Adaburg,Iowa,1
Adacao,Iowa,1
Adah,Iowa,1
Adairsville,Iowa,1
Adairville,Iowa,1
Adak,Iowa,1
Adako,Iowa,1
Adaland,Iowa,1
Adaline,Iowa,2
Adam,Iowa,2
Adamana,Iowa,1
Adamant,Iowa,1
Adamdell,Iowa,1
Adams,Iowa,25
Adams Corner,Iowa,4
Adams Crossroads,Iowa,4
Adams Landing,Iowa,3
Adams Park,Iowa,3
Adamsboro,Iowa,1
Adamsburg,Iowa,3
Adamsdale,Iowa,2
Adamson,Iowa,3
Adamston,Iowa,2
Adamstown,Iowa,2
Adamsville,Iowa,20
Adario,Iowa,1
Adasburg,Iowa,1
Adaton,Iowa,2
Adaven,Iowa,1
Adco,Iowa,1
Addicks,Iowa,1
Addie,Iowa,4
Addielee,Iowa,1
Addielou,Iowa,1
Addieville,Iowa,1
Addingham,Iowa,1
Addington,Iowa,2
Addis,Iowa,1
Addison,Iowa,14
Addor,Iowa,1
Addran,Iowa,1
Addy,Iowa,1
Addyston,Iowa,1
Ade,Iowa,1
Adela,Iowa,1
Adelaida,Iowa,1
Adelaide,Iowa,7
Adelanto,Iowa,1
Adelbert,Iowa,1
Adele,Iowa,2
Adelia,Iowa,1
Adelina,Iowa,1
Adeline,Iowa,3
Adelino,Iowa,1
Adell,Iowa,2
Adelle,Iowa,1
Adelphia,Iowa,1
Adelup,Iowa,1
Aden,Iowa,6
Adena,Iowa,2
Adenmoor,Iowa,1
Adgateville,Iowa,1
Adger,Iowa,2
Adial,Iowa,1
Adin,Iowa,1
Adina,Iowa,1
Adirondack,Iowa,1
Adjett,Iowa,1
Adjuntas,Iowa,1
Adkins,Iowa,2
Adlai,Iowa,1
Adler,Iowa,1
Adley,Iowa,1
Adma,Iowa,1
Admah,Iowa,1
Admiral,Iowa,3
Admire,Iowa,2
Adna,Iowa,2
Adner,Iowa,2
Adobe,Iowa,2
Adobes,Iowa,1
Adois,Iowa,1
Adolph,Iowa,2
Adolphus,Iowa,2
Adon,Iowa,1
Adona,Iowa,1
Adonijah,Iowa,1
Adonis,Iowa,2
Adria,Iowa,1
Adrian,Iowa,15
Adsit,Iowa,1
Adsul,Iowa,1
Advance,Iowa,11
Advent,Iowa,1
Adventure,Iowa,1
Adverse,Iowa,1
Adville,Iowa,1
Adwolf,Iowa,1
Ady,Iowa,2
Adyeville,Iowa,1
Aeneas,Iowa,1
Aerial,Iowa,1
Aethra,Iowa,1
Aetna,Iowa,5
Aetnaville,Iowa,2
Afami,Iowa,1
Afao,Iowa,1
Afeman,Iowa,1
Afetna,Iowa,1
Affinity,Iowa,1
Affton,Iowa,1
Aflex,Iowa,1
Afognak,Iowa,1
Afolkey,Iowa,1
Afredton,Iowa,1
Africa,Iowa,3
Afulei,Iowa,1
Aganoa,Iowa,1
Agar,Iowa,1
Agat,Iowa,1
Agate,Iowa,6
Agatha,Iowa,1
Agawam,Iowa,4
Agee,Iowa,1
Agenda,Iowa,1
Ager,Iowa,1
Ages,Iowa,1
Aggregates,Iowa,1
Agner,Iowa,1
Agnes,Iowa,4
Agness,Iowa,1
Agnew,Iowa,6
Agnewville,Iowa,1
Agnos,Iowa,1
Agoura,Iowa,1
Agra,Iowa,3
Agreeable,Iowa,1
Agua,Iowa,1
Agua Fria,Iowa,3
Aguacate,Iowa,1
Aguada,Iowa,1
Aguadilla,Iowa,1
Aguanga,Iowa,1
Agudo,Iowa,1
Agugulu,Iowa,1
Aguikchuk,Iowa,1
Aguila,Iowa,1
Aguilar,Iowa,1
Aguilares,Iowa,1
Aguilita,Iowa,1
Ah-gwah-ching,Iowa,1
Ahaluna,Iowa,1
Ahern,Iowa,1
Ahgosatown,Iowa,1
Ahles,Iowa,1
Ahloso,Iowa,1
Ahmeek,Iowa,1
Ahnberg,Iowa,1
Aho,Iowa,1
Aholt,Iowa,1
Ahoskie,Iowa,1
Ahosulga,Iowa,1
Ahrensville,Iowa,1
Ahsahka,Iowa,1
Ahtanum,Iowa,1
Ahwahnee,Iowa,1
Ahwatukee,Iowa,1
Ahwin,Iowa,1
Ai,Iowa,4
Aiaktalik,Iowa,1
Aibonito,Iowa,1
Aid,Iowa,2
Aievak,Iowa,1
Aiken,Iowa,6
Aikenton,Iowa,1
Aikin,Iowa,1
Aikins,Iowa,1
Aikinsville,Iowa,1
Aikman,Iowa,2
Ailey,Iowa,1
Ailor,Iowa,1
Ailsa,Iowa,1
Ailston,Iowa,1
Aily,Iowa,1
Aimar,Iowa,1
Aims,Iowa,1
Aimwell,Iowa,2
Ain,Iowa,1
Ainger,Iowa,2
Ainslie,Iowa,1
Airboro,Iowa,1
Airedale,Iowa,1
Airedele,Iowa,1
Airey,Iowa,2
Airhill,Iowa,1
Airington,Iowa,1
Airlee,Iowa,1
Airlie,Iowa,4
Airmont,Iowa,2
Airpoint,Iowa,1
Airport Village,Iowa,4
Airstream,Iowa,1
Airville,Iowa,2
Airydale,Iowa,1
Aitch,Iowa,1
Aitkin,Iowa,1
Aix,Iowa,2
Ajax,Iowa,5
Ajlune,Iowa,1
Ajo,Iowa,1
Akaska,Iowa,1
Akela,Iowa,1
Akeley,Iowa,2
Akerly,Iowa,1
Akers,Iowa,3
Akersville,Iowa,2
Akerville,Iowa,1
Akes,Iowa,1
Akhiok,Iowa,1
Akiachak,Iowa,1
Akiak,Iowa,1
Akin,Iowa,3
Akins,Iowa,2
Akinsville,Iowa,1
Akka,Iowa,1
Aklut,Iowa,1
Akmiut,Iowa,1
Akokpak,Iowa,1
Akona,Iowa,1
Akpaliut,Iowa,1
Akra,Iowa,1
Akridge,Iowa,1
Akshadak,Iowa,1
Akulga,Iowa,1
Akuliukpak,Iowa,1
Akulivikchuk,Iowa,1
Akulurak,Iowa,1
Akumsuk,Iowa,1
Akupu,Iowa,1
Akutan,Iowa,1
Al-Mar,Iowa,1
Alabam,Iowa,1
Alabama,Iowa,2
Alabama Hill,Iowa,3
Alabaster,Iowa,2
Alachua,Iowa,1
Alaculsy,Iowa,1
Aladdin,Iowa,4
Alafaya,Iowa,1
Alaga,Iowa,1
Alaganik,Iowa,1
Alakanuk,Iowa,1
Alamana,Iowa,1
Alamance,Iowa,1
Alamando,Iowa,1
Alamar,Iowa,1
Alameda,Iowa,6
Alamillo,Iowa,1
Alamito,Iowa,1
Alamitos,Iowa,1
Alamo,Iowa,11
Alamode,Iowa,1
Alamogordo,Iowa,1
Alamorio,Iowa,1
Alamorosa,Iowa,1
Alamosa,Iowa,1
Alamota,Iowa,1
Alamucha,Iowa,1
Alandale,Iowa,3
Alander,Iowa,1
Alanreed,Iowa,1
Alanson,Iowa,1
Alanthus,Iowa,2
Alanton,Iowa,1
Alao,Iowa,1
Alapaha,Iowa,2
Alapocas,Iowa,1
Alarka,Iowa,1
Alaska,Iowa,6
Alatna,Iowa,1
Alaufau,Iowa,1
Alavista,Iowa,1
Alazan,Iowa,1
Alazon,Iowa,1
Alba,Iowa,4
Alban,Iowa,1
Albano,Iowa,1
Albantown,Iowa,1
Albatross,Iowa,1
Albaugh,Iowa,1
Albee,Iowa,2
Albeison,Iowa,1
Albemarle,Iowa,2
Alberene,Iowa,1
Alberhill,Iowa,1
Albers,Iowa,1
Albert,Iowa,7
Alberta,Iowa,7
Alberton,Iowa,4
Albertson,Iowa,3
Albertville,Iowa,3
Albin,Iowa,3
Albina,Iowa,1
Alborn,Iowa,1
Albrae,Iowa,1
Albright,Iowa,3
Albrights,Iowa,1
Albrightsville,Iowa,1
Albritton,Iowa,1
Albrittons,Iowa,1
Albuquerque,Iowa,1
Alburg,Iowa,1
Alburgh,Iowa,1
Alburtis,Iowa,1
Alcalde,Iowa,2
Alcan,Iowa,1
Alcantavilla,Iowa,1
Alcatraz,Iowa,1
Alcester,Iowa,1
Alchie,Iowa,1
Alco,Iowa,3
Alcoa,Iowa,2
Alcola,Iowa,1
Alcolu,Iowa,1
Alcoma,Iowa,2
Alcona,Iowa,1
Alcony,Iowa,1
Alcorn,Iowa,3
Alcorns,Iowa,1
Alcot,Iowa,1
Alcova,Iowa,1
Alcove,Iowa,1
Alcovy,Iowa,1
Alda,Iowa,2
Aldan,Iowa,1
Aldene,Iowa,1
Aldens,Iowa,1
Aldenville,Iowa,2
Alder,Iowa,7
Alder Creek,Iowa,4
Alder Springs,Iowa,3
Alderbranch,Iowa,1
Alderbrook,Iowa,2
Alderdale,Iowa,1
Alderhvile,Iowa,1
Alderley,Iowa,1
Alderman,Iowa,1
Alderpoint,Iowa,1
Aldersgate,Iowa,1
Alderson,Iowa,2
Alderton,Iowa,1
Aldervale,Iowa,1
Alderwood,Iowa,1
Aldham,Iowa,1
Aldie,Iowa,1
Aldine,Iowa,3
Aldino,Iowa,1
Aldora,Iowa,1
Aldovin,Iowa,1
Aldreds,Iowa,1
Aldrich,Iowa,4
Aldridge,Iowa,5
Aldwyck,Iowa,1
Ale,Iowa,1
Aledo,Iowa,3
Alegría,Iowa,1
Alejandrenas,Iowa,1
Aleknagik,Iowa,1
Aleksashkina,Iowa,1
Aleman,Iowa,1
Alemandra,Iowa,1
Alembic,Iowa,1
Alena,Iowa,1
Alene,Iowa,1
Aleneva,Iowa,1
Aleppo,Iowa,1
Alert,Iowa,3
Ales,Iowa,1
Alesia,Iowa,1
Alessandro,Iowa,1
Alesville,Iowa,1
Alewife,Iowa,1
Alex,Iowa,1
Alexander Springs,Iowa,3
Alexandria,Iowa,13
Alexauken,Iowa,1
Alexeiev,Iowa,1
Alexis,Iowa,5
Aley,Iowa,1
Alf,Iowa,1
Alfac,Iowa,1
Alfalfa,Iowa,6
Alfarata,Iowa,1
Alfmil,Iowa,1
Alfonso,Iowa,1
Alfont,Iowa,1
Alford,Iowa,5
Alfords,Iowa,2
Alfordsville,Iowa,2
Alfrecha,Iowa,1
Alfred,Iowa,6
Alfrey,Iowa,1
Algansee,Iowa,1
Algarrobo,Iowa,1
Algary,Iowa,1
Alger,Iowa,5
Algeria,Iowa,1
Algerine,Iowa,1
Algerita,Iowa,1
Algernon,Iowa,1
Algiers,Iowa,3
Algoa,Iowa,2
Algodon,Iowa,1
Algodones,Iowa,1
Algoma,Iowa,6
Algonac,Iowa,1
Algonquin,Iowa,3
Algood,Iowa,1
Algoso,Iowa,1
Algren,Iowa,1
Alhambra,Iowa,9
Alianza,Iowa,1
Alica,Iowa,1
Alicel,Iowa,1
Aliceton,Iowa,1
Aliceville,Iowa,3
Alicia,Iowa,3
Alico,Iowa,1
Alida,Iowa,3
Alief,Iowa,1
Alikanna,Iowa,1
Alikchi,Iowa,1
Alinda,Iowa,1
Aline,Iowa,4
Alinnak,Iowa,1
Aliquippa,Iowa,1
Alire,Iowa,1
Alisal,Iowa,1
Aliso,Iowa,1
Alivio,Iowa,1
Alix,Iowa,1
