Place Name,State,Frequency
Aarons,Kentucky,1
Aaronsburg,Kentucky,2
Aasu,Kentucky,1
Abadyl,Kentucky,1
Abanaka,Kentucky,1
Abanda,Kentucky,1
Abarr,Kentucky,1
Abattis,Kentucky,1
Abba,Kentucky,1
Abbato,Kentucky,1
Abbeville,Kentucky,5
Abbey,Kentucky,1
Abbeyville,Kentucky,2
Abbot,Kentucky,1
Abbotsford,Kentucky,1
Abbotts,Kentucky,1
Abbottsburg,Kentucky,1
Abbottsford,Kentucky,2
Abbottstown,Kentucky,1
Abbottsville,Kentucky,1
Abbyville,Kentucky,1
Abco,Kentucky,1
Abdal,Kentucky,1
Abdan,Kentucky,1
Abdera,Kentucky,1
Abe,Kentucky,2
Abecrumby,Kentucky,1
Abel,Kentucky,2
Abeles,Kentucky,1
Abell,Kentucky,3
Aben,Kentucky,1
Abercrombie,Kentucky,3
Aberdeen Junction,Kentucky,3
Aberfoil,Kentucky,1
Aberfoyle,Kentucky,1
Abernant,Kentucky,1
Abernathy,Kentucky,4
Abert,Kentucky,1
Abertown,Kentucky,1
Abesville,Kentucky,1
Abeyta,Kentucky,1
Abeytas,Kentucky,1
Abie,Kentucky,1
Abiff,Kentucky,1
Abihka,Kentucky,1
Abilene,Kentucky,5
Abingdon,Kentucky,6
Abington,Kentucky,7
Abiquiu,Kentucky,1
Able,Kentucky,1
Abledell,Kentucky,1
Abner,Kentucky,4
Abney,Kentucky,2
Abo,Kentucky,2
Aboite,Kentucky,1
Abra,Kentucky,1
Abraham,Kentucky,2
Abrahams,Kentucky,1
Abrahamsville,Kentucky,1
Abram,Kentucky,1
Abrams,Kentucky,2
Absalom,Kentucky,1
Absaraka,Kentucky,1
Absarokee,Kentucky,1
Absecon,Kentucky,1
Abshers,Kentucky,1
Abuelo,Kentucky,1
Abydel,Kentucky,1
Academia,Kentucky,2
Academie,Kentucky,1
Academy,Kentucky,6
Academy Park,Kentucky,4
Academyville,Kentucky,1
Acadia,Kentucky,2
Acadiana,Kentucky,1
Acala,Kentucky,1
Acampo,Kentucky,2
Acapesket,Kentucky,1
Acapulco,Kentucky,1
Acasto,Kentucky,1
Acca,Kentucky,1
Accident,Kentucky,2
Accokeek,Kentucky,1
Accola,Kentucky,1
Accomac,Kentucky,2
Accord,Kentucky,2
Accotink,Kentucky,1
Accoville,Kentucky,1
Ace,Kentucky,1
Acebedo,Kentucky,1
Aceitunas,Kentucky,1
Acequia,Kentucky,2
Acevedo,Kentucky,1
Achackwaithle,Kentucky,1
Achan,Kentucky,1
Achash,Kentucky,1
Achenbach,Kentucky,1
Acheson,Kentucky,1
Achi,Kentucky,1
Achille,Kentucky,1
Achilles,Kentucky,2
Achor,Kentucky,1
Achord,Kentucky,1
Acidalia,Kentucky,1
Acipcoville,Kentucky,1
Acker,Kentucky,2
Ackerly,Kentucky,1
Ackerman,Kentucky,2
Ackermanville,Kentucky,1
Ackerson,Kentucky,1
Ackerville,Kentucky,2
Acklena,Kentucky,1
Ackley,Kentucky,1
Acklocknayke,Kentucky,1
Ackworth,Kentucky,2
Acline,Kentucky,1
Acmar,Kentucky,1
Acme,Kentucky,18
Acmetonia,Kentucky,1
Acoaxet,Kentucky,1
Acodale,Kentucky,1
Acolita,Kentucky,1
Acoma,Kentucky,1
Acomita,Kentucky,1
Acona,Kentucky,1
Acorn Acres,Kentucky,3
Acosta,Kentucky,1
Acquidaneck,Kentucky,1
Acra,Kentucky,1
Acredale,Kentucky,2
Acree,Kentucky,1
Acresville,Kentucky,1
Acropolis,Kentucky,1
Actis,Kentucky,1
Active,Kentucky,1
Acuff,Kentucky,2
Acushnet,Kentucky,1
Acworth,Kentucky,3
Acy,Kentucky,1
Ada,Kentucky,13
Adabelle,Kentucky,1
Adacao,Kentucky,1
Adah,Kentucky,1
Adairsville,Kentucky,1
Adak,Kentucky,1
