Place Name,State,Frequency
Aaron,Louisiana,4
Aarons,Louisiana,1
Aaronsburg,Louisiana,2
Aasu,Louisiana,1
Abadyl,Louisiana,1
Abanaka,Louisiana,1
Abanda,Louisiana,1
Abarr,Louisiana,1
Abattis,Louisiana,1
Abba,Louisiana,1
Abbato,Louisiana,1
Abbeville,Louisiana,4
Abbey,Louisiana,1
Abbeyville,Louisiana,2
Abbot,Louisiana,1
Abbotsford,Louisiana,1
Abbott,Louisiana,11
Abbotts,Louisiana,1
Abbottsburg,Louisiana,1
Abbottsford,Louisiana,2
Abbottstown,Louisiana,1
Abbottsville,Louisiana,1
Abbyville,Louisiana,1
Abco,Louisiana,1
Abdal,Louisiana,1
Abdan,Louisiana,1
Abdera,Louisiana,1
Abe,Louisiana,2
Abecrumby,Louisiana,1
Abel,Louisiana,2
Abeles,Louisiana,1
Abell,Louisiana,3
Abercrombie,Louisiana,3
Aberdeen,Louisiana,18
Aberdeen Junction,Louisiana,3
Aberfoil,Louisiana,1
Aberfoyle,Louisiana,1
Abernant,Louisiana,1
Abernathy,Louisiana,4
Abert,Louisiana,1
Abertown,Louisiana,1
Abesville,Louisiana,1
Abeyta,Louisiana,1
Abeytas,Louisiana,1
Abie,Louisiana,1
Abiff,Louisiana,1
Abigail,Louisiana,1
Abihka,Louisiana,1
Abilene,Louisiana,5
Abingdon,Louisiana,6
Abington,Louisiana,6
Abiquiu,Louisiana,1
Able,Louisiana,1
Abledell,Louisiana,1
Abner,Louisiana,4
Abney,Louisiana,2
Abo,Louisiana,2
Aboite,Louisiana,1
Abra,Louisiana,1
Abraham,Louisiana,2
Abrahams,Louisiana,1
Abrahamsville,Louisiana,1
Abram,Louisiana,1
Abrams,Louisiana,2
Absalom,Louisiana,1
Absaraka,Louisiana,1
Absarokee,Louisiana,1
Absecon,Louisiana,1
Absher,Louisiana,2
Abshers,Louisiana,1
Abuelo,Louisiana,1
Abydel,Louisiana,1
Academia,Louisiana,2
Academie,Louisiana,1
Academy,Louisiana,6
Academy Park,Louisiana,4
Academyville,Louisiana,1
Acadia,Louisiana,1
Acala,Louisiana,1
Acampo,Louisiana,2
Acapesket,Louisiana,1
Acapulco,Louisiana,1
Acasto,Louisiana,1
Acca,Louisiana,1
Access,Louisiana,1
Accident,Louisiana,2
Accokeek,Louisiana,1
Accola,Louisiana,1
Accomac,Louisiana,2
Accord,Louisiana,2
Accotink,Louisiana,1
Accoville,Louisiana,1
Ace,Louisiana,1
Acebedo,Louisiana,1
Aceitunas,Louisiana,1
Acequia,Louisiana,2
Acevedo,Louisiana,1
Achackwaithle,Louisiana,1
Achan,Louisiana,1
Achash,Louisiana,1
Achenbach,Louisiana,1
Acheson,Louisiana,1
Achi,Louisiana,1
Achille,Louisiana,1
Achilles,Louisiana,2
Achor,Louisiana,1
Achord,Louisiana,1
Acidalia,Louisiana,1
Acipcoville,Louisiana,1
Acker,Louisiana,2
Ackerly,Louisiana,1
Ackerman,Louisiana,2
Ackermanville,Louisiana,1
Ackerson,Louisiana,1
Ackerville,Louisiana,2
Acklena,Louisiana,1
Ackley,Louisiana,1
Acklocknayke,Louisiana,1
Ackworth,Louisiana,2
Acline,Louisiana,1
Acmar,Louisiana,1
Acme,Louisiana,17
Acmetonia,Louisiana,1
Acoaxet,Louisiana,1
Acodale,Louisiana,1
Acolita,Louisiana,1
Acoma,Louisiana,1
Acomita,Louisiana,1
Acona,Louisiana,1
Acorn,Louisiana,6
Acorn Acres,Louisiana,3
Acosta,Louisiana,1
Acquidaneck,Louisiana,1
Acra,Louisiana,1
Acredale,Louisiana,2
Acree,Louisiana,1
Acresville,Louisiana,1
Acropolis,Louisiana,1
Actis,Louisiana,1
Active,Louisiana,1
Acton,Louisiana,13
Acuff,Louisiana,2
Acup,Louisiana,2
Acushnet,Louisiana,1
Acworth,Louisiana,3
Ada,Louisiana,12
Adabelle,Louisiana,1
Adaburg,Louisiana,1
Adacao,Louisiana,1
Adah,Louisiana,1
Adair,Louisiana,11
Adairsville,Louisiana,1
Adairville,Louisiana,1
Adak,Louisiana,1
Adako,Louisiana,1
Adaland,Louisiana,1
Adaline,Louisiana,2
Adam,Louisiana,2
Adamana,Louisiana,1
Adamant,Louisiana,1
Adamdell,Louisiana,1
Adams,Louisiana,25
Adams Corner,Louisiana,4
Adams Crossroads,Louisiana,4
Adams Landing,Louisiana,3
Adams Park,Louisiana,3
Adamsboro,Louisiana,1
Adamsburg,Louisiana,3
Adamsdale,Louisiana,2
Adamson,Louisiana,3
Adamston,Louisiana,2
Adamstown,Louisiana,2
Adamsville,Louisiana,20
Adario,Louisiana,1
Adasburg,Louisiana,1
