Place Name,State,Frequency
Aaron,Minnesota,4
Aarons,Minnesota,1
Aaronsburg,Minnesota,2
Aasu,Minnesota,1
Abadyl,Minnesota,1
Abanaka,Minnesota,1
Abanda,Minnesota,1
Abarr,Minnesota,1
Abattis,Minnesota,1
Abba,Minnesota,1
Abbato,Minnesota,1
Abbeville,Minnesota,5
Abbey,Minnesota,1
Abbeyville,Minnesota,2
Abbot,Minnesota,1
Abbotsford,Minnesota,1
Abbott,Minnesota,11
Abbotts,Minnesota,1
Abbottsburg,Minnesota,1
Abbottsford,Minnesota,2
Abbottstown,Minnesota,1
Abbottsville,Minnesota,1
Abbyville,Minnesota,1
Abco,Minnesota,1
Abdal,Minnesota,1
Abdan,Minnesota,1
Abdera,Minnesota,1
Abe,Minnesota,2
Abecrumby,Minnesota,1
Abel,Minnesota,2
Abeles,Minnesota,1
Abell,Minnesota,3
Aben,Minnesota,1
Abercrombie,Minnesota,3
Aberdeen,Minnesota,18
Aberdeen Junction,Minnesota,3
Aberfoil,Minnesota,1
Aberfoyle,Minnesota,1
Abernant,Minnesota,1
Abernathy,Minnesota,4
Abert,Minnesota,1
Abertown,Minnesota,1
Abesville,Minnesota,1
Abeyta,Minnesota,1
Abeytas,Minnesota,1
Abie,Minnesota,1
Abiff,Minnesota,1
Abigail,Minnesota,1
Abihka,Minnesota,1
Abilene,Minnesota,5
Abingdon,Minnesota,6
Abington,Minnesota,7
Abiquiu,Minnesota,1
Able,Minnesota,1
Abledell,Minnesota,1
Abner,Minnesota,4
Abney,Minnesota,2
Abo,Minnesota,2
Aboite,Minnesota,1
Abra,Minnesota,1
Abraham,Minnesota,2
Abrahams,Minnesota,1
Abrahamsville,Minnesota,1
Abram,Minnesota,1
Abrams,Minnesota,2
Absalom,Minnesota,1
Absaraka,Minnesota,1
Absarokee,Minnesota,1
Absecon,Minnesota,1
Absher,Minnesota,2
Abshers,Minnesota,1
Abuelo,Minnesota,1
Abydel,Minnesota,1
Academia,Minnesota,2
Academie,Minnesota,1
Academy,Minnesota,6
Academy Park,Minnesota,4
Academyville,Minnesota,1
Acadia,Minnesota,2
Acadiana,Minnesota,1
Acala,Minnesota,1
Acampo,Minnesota,2
Acapesket,Minnesota,1
Acapulco,Minnesota,1
Acasto,Minnesota,1
