Place Name,State,Frequency
Aaron,Nebraska,4
Aarons,Nebraska,1
Aaronsburg,Nebraska,2
Aasu,Nebraska,1
Abadyl,Nebraska,1
Abanaka,Nebraska,1
Abanda,Nebraska,1
Abarr,Nebraska,1
Abattis,Nebraska,1
Abba,Nebraska,1
Abbato,Nebraska,1
Abbeville,Nebraska,5
Abbey,Nebraska,1
Abbeyville,Nebraska,2
Abbot,Nebraska,1
Abbotsford,Nebraska,1
Abbott,Nebraska,10
Abbotts,Nebraska,1
Abbottsburg,Nebraska,1
Abbottsford,Nebraska,2
Abbottstown,Nebraska,1
Abbottsville,Nebraska,1
Abbyville,Nebraska,1
Abco,Nebraska,1
Abdan,Nebraska,1
Abdera,Nebraska,1
Abe,Nebraska,2
Abecrumby,Nebraska,1
Abel,Nebraska,1
Abeles,Nebraska,1
Abell,Nebraska,3
Aben,Nebraska,1
Abercrombie,Nebraska,3
Aberdeen,Nebraska,18
Aberdeen Junction,Nebraska,3
Aberfoil,Nebraska,1
Aberfoyle,Nebraska,1
Abernant,Nebraska,1
Abernathy,Nebraska,4
Abert,Nebraska,1
Abertown,Nebraska,1
Abesville,Nebraska,1
Abeyta,Nebraska,1
Abeytas,Nebraska,1
Abiff,Nebraska,1
Abigail,Nebraska,1
Abihka,Nebraska,1
Abilene,Nebraska,5
Abingdon,Nebraska,6
Abington,Nebraska,7
Abiquiu,Nebraska,1
Able,Nebraska,1
Abledell,Nebraska,1
Abner,Nebraska,4
Abney,Nebraska,2
Abo,Nebraska,2
Aboite,Nebraska,1
Abra,Nebraska,1
Abraham,Nebraska,2
Abrahams,Nebraska,1
Abrahamsville,Nebraska,1
Abram,Nebraska,1
Abrams,Nebraska,2
Absalom,Nebraska,1
Absaraka,Nebraska,1
Absarokee,Nebraska,1
Absecon,Nebraska,1
Absher,Nebraska,2
Abshers,Nebraska,1
Abuelo,Nebraska,1
Abydel,Nebraska,1
Academia,Nebraska,2
Academie,Nebraska,1
Academy,Nebraska,6
Academy Park,Nebraska,4
Academyville,Nebraska,1
Acadia,Nebraska,2
Acadiana,Nebraska,1
Acala,Nebraska,1
Acampo,Nebraska,2
Acapesket,Nebraska,1
Acapulco,Nebraska,1
Acasto,Nebraska,1
Acca,Nebraska,1
Access,Nebraska,1
Accident,Nebraska,2
Accokeek,Nebraska,1
Accola,Nebraska,1
Accomac,Nebraska,2
Accord,Nebraska,2
Accotink,Nebraska,1
Accoville,Nebraska,1
Ace,Nebraska,1
Acebedo,Nebraska,1
Aceitunas,Nebraska,1
Acequia,Nebraska,2
Acevedo,Nebraska,1
Achackwaithle,Nebraska,1
Achan,Nebraska,1
Achash,Nebraska,1
Achenbach,Nebraska,1
Acheson,Nebraska,1
Achi,Nebraska,1
Achille,Nebraska,1
Achilles,Nebraska,2
Achor,Nebraska,1
Achord,Nebraska,1
Acidalia,Nebraska,1
Acipcoville,Nebraska,1
Acker,Nebraska,2
Ackerly,Nebraska,1
Ackerman,Nebraska,2
Ackermanville,Nebraska,1
Ackerson,Nebraska,1
Ackerville,Nebraska,2
Acklena,Nebraska,1
Ackley,Nebraska,1
Acklocknayke,Nebraska,1
Ackworth,Nebraska,2
Acline,Nebraska,1
Acmar,Nebraska,1
Acme,Nebraska,18
Acmetonia,Nebraska,1
Acoaxet,Nebraska,1
