Place Name,State,Frequency
Aaron,New Jersey,4
Aarons,New Jersey,1
Aaronsburg,New Jersey,2
Aasu,New Jersey,1
Abadyl,New Jersey,1
Abanaka,New Jersey,1
Abanda,New Jersey,1
Abarr,New Jersey,1
Abattis,New Jersey,1
Abba,New Jersey,1
Abbato,New Jersey,1
Abbeville,New Jersey,5
Abbey,New Jersey,1
Abbeyville,New Jersey,2
Abbot,New Jersey,1
Abbotsford,New Jersey,1
Abbott,New Jersey,11
Abbotts,New Jersey,1
Abbottsburg,New Jersey,1
Abbottsford,New Jersey,2
Abbottstown,New Jersey,1
Abbottsville,New Jersey,1
Abbyville,New Jersey,1
Abco,New Jersey,1
Abdal,New Jersey,1
Abdan,New Jersey,1
Abdera,New Jersey,1
Abe,New Jersey,2
Abecrumby,New Jersey,1
Abel,New Jersey,2
Abeles,New Jersey,1
Abell,New Jersey,3
Aben,New Jersey,1
Abercrombie,New Jersey,3
Aberdeen,New Jersey,18
Aberdeen Junction,New Jersey,3
Aberfoil,New Jersey,1
Aberfoyle,New Jersey,1
Abernant,New Jersey,1
Abernathy,New Jersey,4
Abert,New Jersey,1
Abesville,New Jersey,1
Abeyta,New Jersey,1
Abeytas,New Jersey,1
Abie,New Jersey,1
Abiff,New Jersey,1
Abigail,New Jersey,1
Abihka,New Jersey,1
Abilene,New Jersey,5
Abingdon,New Jersey,6
Abington,New Jersey,7
Abiquiu,New Jersey,1
Able,New Jersey,1
Abledell,New Jersey,1
Abner,New Jersey,4
Abney,New Jersey,2
Abo,New Jersey,2
Aboite,New Jersey,1
Abra,New Jersey,1
Abraham,New Jersey,2
Abrahams,New Jersey,1
Abrahamsville,New Jersey,1
Abram,New Jersey,1
Abrams,New Jersey,2
Absalom,New Jersey,1
Absaraka,New Jersey,1
Absarokee,New Jersey,1
Absher,New Jersey,2
Abshers,New Jersey,1
Abuelo,New Jersey,1
Abydel,New Jersey,1
Academia,New Jersey,2
Academie,New Jersey,1
Academy,New Jersey,6
Academy Park,New Jersey,4
Academyville,New Jersey,1
Acadia,New Jersey,2
Acadiana,New Jersey,1
Acala,New Jersey,1
Acampo,New Jersey,2
Acapesket,New Jersey,1
Acapulco,New Jersey,1
Acasto,New Jersey,1
Acca,New Jersey,1
Access,New Jersey,1
Accident,New Jersey,2
Accokeek,New Jersey,1
Accola,New Jersey,1
Accomac,New Jersey,2
Accord,New Jersey,2
Accotink,New Jersey,1
Accoville,New Jersey,1
Ace,New Jersey,1
Acebedo,New Jersey,1
Aceitunas,New Jersey,1
Acequia,New Jersey,2
Acevedo,New Jersey,1
Achackwaithle,New Jersey,1
Achan,New Jersey,1
Achash,New Jersey,1
Achenbach,New Jersey,1
Acheson,New Jersey,1
Achi,New Jersey,1
Achille,New Jersey,1
Achilles,New Jersey,2
Achor,New Jersey,1
Achord,New Jersey,1
Acidalia,New Jersey,1
Acipcoville,New Jersey,1
Acker,New Jersey,2
Ackerly,New Jersey,1
Ackerman,New Jersey,2
Ackermanville,New Jersey,1
Ackerville,New Jersey,2
Acklena,New Jersey,1
Ackley,New Jersey,1
Acklocknayke,New Jersey,1
Ackworth,New Jersey,2
Acline,New Jersey,1
Acmar,New Jersey,1
Acme,New Jersey,18
Acmetonia,New Jersey,1
Acoaxet,New Jersey,1
Acodale,New Jersey,1
Acolita,New Jersey,1
Acoma,New Jersey,1
Acomita,New Jersey,1
Acona,New Jersey,1
Acorn,New Jersey,6
Acorn Acres,New Jersey,3
Acosta,New Jersey,1
Acquidaneck,New Jersey,1
Acra,New Jersey,1
Acredale,New Jersey,2
Acree,New Jersey,1
Acresville,New Jersey,1
Acropolis,New Jersey,1
Actis,New Jersey,1
Active,New Jersey,1
Acuff,New Jersey,2
Acup,New Jersey,2
Acushnet,New Jersey,1
Acworth,New Jersey,3
Acy,New Jersey,1
Ada,New Jersey,13
Adabelle,New Jersey,1
Adaburg,New Jersey,1
Adacao,New Jersey,1
Adah,New Jersey,1
Adair,New Jersey,11
Adairsville,New Jersey,1
Adairville,New Jersey,1
Adak,New Jersey,1
Adako,New Jersey,1
Adaland,New Jersey,1
Adaline,New Jersey,2
Adam,New Jersey,2
Adamana,New Jersey,1
Adamant,New Jersey,1
Adamdell,New Jersey,1
Adams Corner,New Jersey,4
Adams Crossroads,New Jersey,4
Adams Landing,New Jersey,3
Adams Park,New Jersey,3
Adamsboro,New Jersey,1
Adamsburg,New Jersey,3
Adamsdale,New Jersey,2
Adamson,New Jersey,3
Adamstown,New Jersey,2
Adamsville,New Jersey,20
Adario,New Jersey,1
Adasburg,New Jersey,1
Adaton,New Jersey,2
Adaven,New Jersey,1
Adaville,New Jersey,1
Adaza,New Jersey,1
Adco,New Jersey,1
Addicks,New Jersey,1
Addie,New Jersey,4
Addielee,New Jersey,1
Addielou,New Jersey,1
Addieville,New Jersey,1
Addingham,New Jersey,1
Addington,New Jersey,2
Addis,New Jersey,1
Addison,New Jersey,14
Addor,New Jersey,1
Addran,New Jersey,1
Addy,New Jersey,1
Addyston,New Jersey,1
Ade,New Jersey,1
Adel,New Jersey,8
Adela,New Jersey,1
Adelaida,New Jersey,1
Adelaide,New Jersey,7
Adelanto,New Jersey,1
Adelbert,New Jersey,1
Adele,New Jersey,2
Adelia,New Jersey,1
Adelina,New Jersey,1
Adeline,New Jersey,3
Adelino,New Jersey,1
Adell,New Jersey,2
Adelle,New Jersey,1
Adelphi,New Jersey,5
Adelup,New Jersey,1
Aden,New Jersey,6
