Place Name,State,Frequency
Aaron,New York,4
Aarons,New York,1
Aaronsburg,New York,2
Aasu,New York,1
Abadyl,New York,1
Abanaka,New York,1
Abanda,New York,1
Abarr,New York,1
Abattis,New York,1
Abba,New York,1
Abbato,New York,1
Abbeville,New York,5
Abbey,New York,1
Abbeyville,New York,2
Abbot,New York,1
Abbotsford,New York,1
Abbott,New York,11
Abbottsburg,New York,1
Abbottsford,New York,2
Abbottstown,New York,1
Abbottsville,New York,1
Abbyville,New York,1
Abco,New York,1
Abdal,New York,1
Abdan,New York,1
Abdera,New York,1
Abe,New York,2
Abecrumby,New York,1
Abel,New York,2
Abeles,New York,1
Abell,New York,3
Aben,New York,1
Abercrombie,New York,3
Aberdeen,New York,18
Aberdeen Junction,New York,3
Aberfoil,New York,1
Aberfoyle,New York,1
Abernant,New York,1
Abernathy,New York,4
Abert,New York,1
Abertown,New York,1
Abesville,New York,1
Abeyta,New York,1
Abeytas,New York,1
Abie,New York,1
Abiff,New York,1
Abigail,New York,1
Abihka,New York,1
Abilene,New York,5
Abingdon,New York,6
Abington,New York,7
Abiquiu,New York,1
Able,New York,1
Abledell,New York,1
Abner,New York,4
Abney,New York,2
Abo,New York,2
Aboite,New York,1
Abra,New York,1
Abraham,New York,2
Abrahams,New York,1
Abrahamsville,New York,1
Abram,New York,1
Abrams,New York,2
Absalom,New York,1
Absaraka,New York,1
Absarokee,New York,1
Absecon,New York,1
Absher,New York,2
Abshers,New York,1
Abuelo,New York,1
Abydel,New York,1
Academia,New York,2
Academie,New York,1
Academy,New York,6
Academy Park,New York,4
Academyville,New York,1
Acadia,New York,2
Acadiana,New York,1
Acala,New York,1
Acampo,New York,2
Acapesket,New York,1
Acapulco,New York,1
Acasto,New York,1
Acca,New York,1
Access,New York,1
Accident,New York,2
Accokeek,New York,1
Accola,New York,1
Accomac,New York,2
Accord,New York,1
Accotink,New York,1
Accoville,New York,1
Ace,New York,1
Acebedo,New York,1
Aceitunas,New York,1
Acequia,New York,2
Acevedo,New York,1
Achackwaithle,New York,1
Achan,New York,1
Achash,New York,1
Achenbach,New York,1
Acheson,New York,1
Achi,New York,1
Achille,New York,1
Achilles,New York,2
Achor,New York,1
Achord,New York,1
Acipcoville,New York,1
Acker,New York,2
Ackerly,New York,1
Ackerman,New York,2
Ackermanville,New York,1
Ackerson,New York,1
Ackerville,New York,2
Acklena,New York,1
Ackley,New York,1
Acklocknayke,New York,1
Ackworth,New York,2
Acline,New York,1
Acmar,New York,1
Acme,New York,18
Acmetonia,New York,1
Acoaxet,New York,1
Acodale,New York,1
Acolita,New York,1
Acoma,New York,1
Acomita,New York,1
Acona,New York,1
Acorn,New York,6
Acorn Acres,New York,3
Acosta,New York,1
Acquidaneck,New York,1
Acredale,New York,2
Acree,New York,1
Acresville,New York,1
Acropolis,New York,1
Actis,New York,1
Active,New York,1
Acton,New York,13
Acuff,New York,2
Acup,New York,2
Acushnet,New York,1
Acworth,New York,3
Acy,New York,1
Ada,New York,13
Adabelle,New York,1
Adaburg,New York,1
Adacao,New York,1
Adah,New York,1
Adair,New York,11
Adairsville,New York,1
Adairville,New York,1
Adak,New York,1
Adako,New York,1
Adaland,New York,1
Adaline,New York,2
Adam,New York,2
Adamana,New York,1
Adamant,New York,1
Adamdell,New York,1
Adams,New York,24
Adams Corner,New York,3
Adams Crossroads,New York,4
Adams Landing,New York,3
Adams Park,New York,3
Adamsboro,New York,1
Adamsburg,New York,3
Adamsdale,New York,2
Adamson,New York,3
Adamston,New York,2
Adamstown,New York,2
Adamsville,New York,19
Adario,New York,1
Adasburg,New York,1
Adaton,New York,2
Adaven,New York,1
Adaville,New York,1
Adaza,New York,1
Adco,New York,1
Addicks,New York,1
Addie,New York,4
Addielee,New York,1
Addielou,New York,1
Addieville,New York,1
Addingham,New York,1
Addington,New York,2
Addis,New York,1
Addison,New York,13
Addor,New York,1
Addran,New York,1
Addy,New York,1
Addyston,New York,1
Ade,New York,1
Adel,New York,8
Adela,New York,1
Adelaida,New York,1
Adelaide,New York,7
Adelanto,New York,1
Adelbert,New York,1
Adele,New York,2
Adelia,New York,1
Adelina,New York,1
Adeline,New York,3
Adelino,New York,1
Adell,New York,2
Adelle,New York,1
Adelphi,New York,4
Adelphia,New York,1
Adelup,New York,1
Aden,New York,5
Adena,New York,2
Adenmoor,New York,1
Adgateville,New York,1
Adger,New York,2
Adial,New York,1
Adin,New York,1
Adina,New York,1
Adjett,New York,1
Adjuntas,New York,1
Adkins,New York,2
Adlai,New York,1
Adler,New York,1
Adley,New York,1
Adma,New York,1
Admah,New York,1
Admiral,New York,3
Admire,New York,2
Adna,New York,2
Adner,New York,2
Adobe,New York,2
Adobes,New York,1
Adois,New York,1
Adolph,New York,2
Adolphus,New York,2
Adon,New York,1
Adona,New York,1
Adonijah,New York,1
Adonis,New York,2
Adria,New York,1
Adrian,New York,14
Adsit,New York,1
Adsul,New York,1
Advance,New York,11
Advent,New York,1
Adventure,New York,1
Adverse,New York,1
Adville,New York,1
Adwolf,New York,1
Ady,New York,2
Adyeville,New York,1
Aeneas,New York,1
Aerial,New York,1
Aethra,New York,1
Aetna,New York,5
Aetnaville,New York,2
Afami,New York,1
Afao,New York,1
Afeman,New York,1
Afetna,New York,1
Affinity,New York,1
Affton,New York,1
Aflex,New York,1
Afognak,New York,1
Afolkey,New York,1
Afredton,New York,1
Africa,New York,3
Afton,New York,19
Afulei,New York,1
Aganoa,New York,1
Agar,New York,1
Agat,New York,1
Agate,New York,6
Agatha,New York,1
Agawam,New York,4
Agee,New York,1
Agency,New York,3
Agenda,New York,1
Ager,New York,1
Ages,New York,1
Aggregates,New York,1
Agner,New York,1
Agnes,New York,4
Agness,New York,1
Agnew,New York,6
Agnewville,New York,1
Agnos,New York,1
Agoura,New York,1
Agra,New York,3
Agreeable,New York,1
Agricola,New York,7
Agua,New York,1
Agua Fria,New York,3
Aguacate,New York,1
Aguada,New York,1
Aguadilla,New York,1
Aguanga,New York,1
Agudo,New York,1
Agugulu,New York,1
Aguikchuk,New York,1
Aguila,New York,1
Aguilar,New York,1
Aguilares,New York,1
Aguilita,New York,1
Ah-gwah-ching,New York,1
Ahaluna,New York,1
Ahern,New York,1
Ahgosatown,New York,1
Ahles,New York,1
