Place Name,State,Frequency
Aaron,North Dakota,4
Aarons,North Dakota,1
Aaronsburg,North Dakota,2
Aasu,North Dakota,1
Abadyl,North Dakota,1
Abanaka,North Dakota,1
Abanda,North Dakota,1
Abarr,North Dakota,1
Abattis,North Dakota,1
Abba,North Dakota,1
Abbato,North Dakota,1
Abbeville,North Dakota,5
Abbey,North Dakota,1
Abbeyville,North Dakota,2
Abbot,North Dakota,1
Abbotsford,North Dakota,1
Abbott,North Dakota,11
Abbotts,North Dakota,1
Abbottsburg,North Dakota,1
Abbottsford,North Dakota,2
Abbottstown,North Dakota,1
Abbottsville,North Dakota,1
Abbyville,North Dakota,1
Abco,North Dakota,1
Abdal,North Dakota,1
Abdan,North Dakota,1
Abdera,North Dakota,1
Abe,North Dakota,2
Abecrumby,North Dakota,1
Abel,North Dakota,2
Abeles,North Dakota,1
Abell,North Dakota,3
Aben,North Dakota,1
Aberdeen,North Dakota,18
Aberdeen Junction,North Dakota,3
Aberfoil,North Dakota,1
Aberfoyle,North Dakota,1
Abernant,North Dakota,1
Abernathy,North Dakota,4
Abert,North Dakota,1
Abertown,North Dakota,1
Abesville,North Dakota,1
Abeyta,North Dakota,1
Abeytas,North Dakota,1
Abie,North Dakota,1
Abiff,North Dakota,1
Abigail,North Dakota,1
Abihka,North Dakota,1
Abilene,North Dakota,5
Abingdon,North Dakota,6
Abington,North Dakota,7
Abiquiu,North Dakota,1
Able,North Dakota,1
Abledell,North Dakota,1
Abner,North Dakota,4
Abney,North Dakota,2
Abo,North Dakota,2
Aboite,North Dakota,1
Abra,North Dakota,1
Abraham,North Dakota,2
Abrahams,North Dakota,1
Abrahamsville,North Dakota,1
Abram,North Dakota,1
Abrams,North Dakota,2
Absalom,North Dakota,1
Absarokee,North Dakota,1
Absecon,North Dakota,1
Absher,North Dakota,2
Abshers,North Dakota,1
Abuelo,North Dakota,1
Abydel,North Dakota,1
Academia,North Dakota,2
Academie,North Dakota,1
Academy,North Dakota,6
Academy Park,North Dakota,4
Academyville,North Dakota,1
Acadia,North Dakota,2
Acadiana,North Dakota,1
Acala,North Dakota,1
Acampo,North Dakota,2
Acapesket,North Dakota,1
Acapulco,North Dakota,1
Acasto,North Dakota,1
Acca,North Dakota,1
Access,North Dakota,1
Accident,North Dakota,2
Accokeek,North Dakota,1
Accola,North Dakota,1
Accomac,North Dakota,2
Accord,North Dakota,2
Accotink,North Dakota,1
Accoville,North Dakota,1
Ace,North Dakota,1
Acebedo,North Dakota,1
Aceitunas,North Dakota,1
Acequia,North Dakota,2
