Place Name,State,Frequency
Aaron,Ohio,4
Aarons,Ohio,1
Aasu,Ohio,1
Abadyl,Ohio,1
Abanda,Ohio,1
Abarr,Ohio,1
Abattis,Ohio,1
Abba,Ohio,1
Abbato,Ohio,1
Abbeville,Ohio,5
Abbey,Ohio,1
Abbot,Ohio,1
Abbotsford,Ohio,1
Abbott,Ohio,11
Abbotts,Ohio,1
Abbottsburg,Ohio,1
Abbottsford,Ohio,2
Abbottstown,Ohio,1
Abbyville,Ohio,1
Abco,Ohio,1
Abdal,Ohio,1
Abdan,Ohio,1
Abdera,Ohio,1
Abecrumby,Ohio,1
Abel,Ohio,2
Abeles,Ohio,1
Abell,Ohio,3
Aben,Ohio,1
Abercrombie,Ohio,3
Aberdeen Junction,Ohio,3
Aberfoil,Ohio,1
Aberfoyle,Ohio,1
Abernant,Ohio,1
Abernathy,Ohio,4
Abert,Ohio,1
Abertown,Ohio,1
Abesville,Ohio,1
Abeyta,Ohio,1
Abeytas,Ohio,1
Abie,Ohio,1
Abiff,Ohio,1
Abigail,Ohio,1
Abihka,Ohio,1
Abilene,Ohio,5
Abingdon,Ohio,6
Abington,Ohio,7
Abiquiu,Ohio,1
Able,Ohio,1
Abner,Ohio,4
Abney,Ohio,2
Abo,Ohio,2
Aboite,Ohio,1
Abra,Ohio,1
Abraham,Ohio,2
Abrahams,Ohio,1
Abrahamsville,Ohio,1
Abram,Ohio,1
Abrams,Ohio,2
Absalom,Ohio,1
Absaraka,Ohio,1
Absarokee,Ohio,1
Absecon,Ohio,1
Absher,Ohio,2
Abshers,Ohio,1
Abuelo,Ohio,1
Abydel,Ohio,1
Academie,Ohio,1
Academy,Ohio,6
Academy Park,Ohio,4
Academyville,Ohio,1
Acadia,Ohio,2
Acadiana,Ohio,1
Acala,Ohio,1
Acampo,Ohio,2
Acapesket,Ohio,1
Acapulco,Ohio,1
Acasto,Ohio,1
Acca,Ohio,1
Access,Ohio,1
Accident,Ohio,2
Accokeek,Ohio,1
Accola,Ohio,1
Accomac,Ohio,2
Accord,Ohio,2
Accotink,Ohio,1
Accoville,Ohio,1
Ace,Ohio,1
Acebedo,Ohio,1
Aceitunas,Ohio,1
Acequia,Ohio,2
Acevedo,Ohio,1
Achackwaithle,Ohio,1
Achan,Ohio,1
Achash,Ohio,1
Achenbach,Ohio,1
Acheson,Ohio,1
Achi,Ohio,1
Achille,Ohio,1
Achilles,Ohio,2
Achord,Ohio,1
Acidalia,Ohio,1
Acipcoville,Ohio,1
Acker,Ohio,2
Ackerly,Ohio,1
Ackerman,Ohio,2
Ackermanville,Ohio,1
Ackerson,Ohio,1
Ackerville,Ohio,2
Acklena,Ohio,1
Ackley,Ohio,1
Acklocknayke,Ohio,1
Ackworth,Ohio,2
Acline,Ohio,1
Acmar,Ohio,1
Acmetonia,Ohio,1
Acoaxet,Ohio,1
Acodale,Ohio,1
Acolita,Ohio,1
Acoma,Ohio,1
Acomita,Ohio,1
Acona,Ohio,1
Acorn,Ohio,6
Acorn Acres,Ohio,3
Acosta,Ohio,1
Acquidaneck,Ohio,1
Acra,Ohio,1
Acredale,Ohio,2
Acree,Ohio,1
Acresville,Ohio,1
Acropolis,Ohio,1
Actis,Ohio,1
Active,Ohio,1
Acton,Ohio,13
Acuff,Ohio,2
Acup,Ohio,2
Acushnet,Ohio,1
Acworth,Ohio,3
Acy,Ohio,1
Adabelle,Ohio,1
Adaburg,Ohio,1
Adacao,Ohio,1
Adah,Ohio,1
Adairsville,Ohio,1
Adairville,Ohio,1
Adak,Ohio,1
Adako,Ohio,1
Adaland,Ohio,1
Adaline,Ohio,2
Adam,Ohio,2
Adamana,Ohio,1
Adamant,Ohio,1
Adamdell,Ohio,1
Adams,Ohio,25
Adams Corner,Ohio,4
Adams Crossroads,Ohio,4
Adams Landing,Ohio,3
Adams Park,Ohio,3
Adamsboro,Ohio,1
Adamsburg,Ohio,3
Adamsdale,Ohio,2
Adamson,Ohio,3
Adamston,Ohio,2
Adamstown,Ohio,2
Adasburg,Ohio,1
Adaton,Ohio,2
Adaven,Ohio,1
Adaville,Ohio,1
Adaza,Ohio,1
Adco,Ohio,1
Addicks,Ohio,1
Addie,Ohio,4
Addielee,Ohio,1
Addielou,Ohio,1
Addieville,Ohio,1
Addingham,Ohio,1
Addington,Ohio,2
Addis,Ohio,1
Addor,Ohio,1
Addran,Ohio,1
Addy,Ohio,1
Ade,Ohio,1
Adel,Ohio,8
Adela,Ohio,1
Adelaida,Ohio,1
Adelaide,Ohio,7
Adelanto,Ohio,1
Adelbert,Ohio,1
Adele,Ohio,2
Adelia,Ohio,1
Adelina,Ohio,1
Adeline,Ohio,3
Adelino,Ohio,1
Adell,Ohio,2
Adelle,Ohio,1
Adelphia,Ohio,1
Adelup,Ohio,1
Aden,Ohio,6
Adenmoor,Ohio,1
Adgateville,Ohio,1
Adger,Ohio,2
Adial,Ohio,1
Adin,Ohio,1
Adina,Ohio,1
Adirondack,Ohio,1
Adjett,Ohio,1
Adjuntas,Ohio,1
Adkins,Ohio,2
Adlai,Ohio,1
Adler,Ohio,1
Adley,Ohio,1
Adma,Ohio,1
Admah,Ohio,1
Admiral,Ohio,3
Admire,Ohio,2
Adna,Ohio,2
Adner,Ohio,2
Adobe,Ohio,2
Adobes,Ohio,1
Adois,Ohio,1
Adolph,Ohio,2
Adolphus,Ohio,2
Adon,Ohio,1
Adona,Ohio,1
Adonijah,Ohio,1
Adonis,Ohio,2
Adria,Ohio,1
Adsit,Ohio,1
Adsul,Ohio,1
Advent,Ohio,1
Adventure,Ohio,1
Adverse,Ohio,1
Adville,Ohio,1
Adwolf,Ohio,1
Ady,Ohio,2
Adyeville,Ohio,1
Aeneas,Ohio,1
Aerial,Ohio,1
Aethra,Ohio,1
Aetna,Ohio,5
Afami,Ohio,1
Afao,Ohio,1
Afeman,Ohio,1
Afetna,Ohio,1
Affinity,Ohio,1
Affton,Ohio,1
Aflex,Ohio,1
Afognak,Ohio,1
Afolkey,Ohio,1
Afredton,Ohio,1
Afulei,Ohio,1
Aganoa,Ohio,1
Agar,Ohio,1
Agat,Ohio,1
Agate,Ohio,6
Agatha,Ohio,1
Agawam,Ohio,4
Agee,Ohio,1
Agency,Ohio,3
Agenda,Ohio,1
Ager,Ohio,1
Ages,Ohio,1
Aggregates,Ohio,1
Agner,Ohio,1
Agnes,Ohio,4
Agness,Ohio,1
Agnew,Ohio,6
Agnewville,Ohio,1
Agnos,Ohio,1
Agoura,Ohio,1
Agra,Ohio,3
Agreeable,Ohio,1
Agricola,Ohio,7
Agua,Ohio,1
Agua Fria,Ohio,3
