Place Name,State,Frequency
Aaron,Oklahoma,4
Aarons,Oklahoma,1
Aaronsburg,Oklahoma,2
Aasu,Oklahoma,1
Abadyl,Oklahoma,1
Abanaka,Oklahoma,1
Abanda,Oklahoma,1
Abarr,Oklahoma,1
Abattis,Oklahoma,1
Abba,Oklahoma,1
Abbato,Oklahoma,1
Abbeville,Oklahoma,5
Abbey,Oklahoma,1
Abbeyville,Oklahoma,2
Abbot,Oklahoma,1
Abbotsford,Oklahoma,1
Abbott,Oklahoma,11
Abbotts,Oklahoma,1
Abbottsburg,Oklahoma,1
Abbottsford,Oklahoma,2
Abbottstown,Oklahoma,1
Abbottsville,Oklahoma,1
Abbyville,Oklahoma,1
Abco,Oklahoma,1
Abdal,Oklahoma,1
Abdan,Oklahoma,1
Abdera,Oklahoma,1
Abe,Oklahoma,2
Abecrumby,Oklahoma,1
Abel,Oklahoma,2
Abeles,Oklahoma,1
Abell,Oklahoma,3
Aben,Oklahoma,1
Abercrombie,Oklahoma,3
Aberdeen,Oklahoma,18
Aberdeen Junction,Oklahoma,3
Aberfoil,Oklahoma,1
Aberfoyle,Oklahoma,1
Abernant,Oklahoma,1
Abernathy,Oklahoma,4
Abert,Oklahoma,1
Abertown,Oklahoma,1
Abesville,Oklahoma,1
Abeyta,Oklahoma,1
Abeytas,Oklahoma,1
Abie,Oklahoma,1
Abiff,Oklahoma,1
Abigail,Oklahoma,1
Abihka,Oklahoma,1
Abilene,Oklahoma,5
Abingdon,Oklahoma,6
Abington,Oklahoma,7
Abiquiu,Oklahoma,1
Able,Oklahoma,1
Abledell,Oklahoma,1
Abner,Oklahoma,4
Abney,Oklahoma,2
Abo,Oklahoma,2
Aboite,Oklahoma,1
Abra,Oklahoma,1
Abraham,Oklahoma,2
Abrahams,Oklahoma,1
Abrahamsville,Oklahoma,1
Abram,Oklahoma,1
Abrams,Oklahoma,2
Absalom,Oklahoma,1
Absaraka,Oklahoma,1
Absarokee,Oklahoma,1
Absecon,Oklahoma,1
Absher,Oklahoma,2
Abshers,Oklahoma,1
Abuelo,Oklahoma,1
Abydel,Oklahoma,1
Academia,Oklahoma,2
Academie,Oklahoma,1
Academy,Oklahoma,6
Academy Park,Oklahoma,4
Academyville,Oklahoma,1
Acadia,Oklahoma,2
Acadiana,Oklahoma,1
Acala,Oklahoma,1
Acampo,Oklahoma,2
Acapesket,Oklahoma,1
Acapulco,Oklahoma,1
Acasto,Oklahoma,1
Acca,Oklahoma,1
Access,Oklahoma,1
Accident,Oklahoma,2
Accokeek,Oklahoma,1
Accola,Oklahoma,1
