Place Name,State,Frequency
Aaron,Oregon,4
Aarons,Oregon,1
Aaronsburg,Oregon,2
Aasu,Oregon,1
Abadyl,Oregon,1
Abanaka,Oregon,1
Abanda,Oregon,1
Abarr,Oregon,1
Abattis,Oregon,1
Abba,Oregon,1
Abbato,Oregon,1
Abbeville,Oregon,5
Abbey,Oregon,1
Abbeyville,Oregon,2
Abbot,Oregon,1
Abbotsford,Oregon,1
Abbott,Oregon,11
Abbotts,Oregon,1
Abbottsburg,Oregon,1
Abbottsford,Oregon,2
Abbottstown,Oregon,1
Abbottsville,Oregon,1
Abbyville,Oregon,1
Abco,Oregon,1
Abdal,Oregon,1
Abdan,Oregon,1
Abdera,Oregon,1
Abe,Oregon,2
Abecrumby,Oregon,1
Abel,Oregon,2
Abeles,Oregon,1
Abell,Oregon,3
Aben,Oregon,1
Abercrombie,Oregon,3
Aberdeen,Oregon,18
Aberdeen Junction,Oregon,3
Aberfoil,Oregon,1
Aberfoyle,Oregon,1
Abernant,Oregon,1
Abernathy,Oregon,4
Abert,Oregon,1
Abertown,Oregon,1
Abesville,Oregon,1
Abeyta,Oregon,1
Abeytas,Oregon,1
Abie,Oregon,1
Abiff,Oregon,1
Abigail,Oregon,1
Abihka,Oregon,1
Abilene,Oregon,5
Abingdon,Oregon,6
Abington,Oregon,7
Abiquiu,Oregon,1
Able,Oregon,1
Abledell,Oregon,1
Abner,Oregon,4
Abney,Oregon,2
Abo,Oregon,2
Aboite,Oregon,1
Abra,Oregon,1
Abraham,Oregon,2
Abrahams,Oregon,1
Abrahamsville,Oregon,1
Abram,Oregon,1
Abrams,Oregon,2
Absalom,Oregon,1
Absaraka,Oregon,1
Absarokee,Oregon,1
Absecon,Oregon,1
Absher,Oregon,2
Abshers,Oregon,1
Abuelo,Oregon,1
Abydel,Oregon,1
Academia,Oregon,2
Academie,Oregon,1
Academy,Oregon,6
Academy Park,Oregon,4
Academyville,Oregon,1
Acadia,Oregon,2
Acadiana,Oregon,1
Acala,Oregon,1
Acampo,Oregon,2
Acapesket,Oregon,1
Acapulco,Oregon,1
Acasto,Oregon,1
Acca,Oregon,1
Access,Oregon,1
Accident,Oregon,2
Accokeek,Oregon,1
Accola,Oregon,1
Accomac,Oregon,2
Accord,Oregon,2
Accotink,Oregon,1
Accoville,Oregon,1
Ace,Oregon,1
Acebedo,Oregon,1
Aceitunas,Oregon,1
Acequia,Oregon,2
Acevedo,Oregon,1
Achackwaithle,Oregon,1
Achan,Oregon,1
Achash,Oregon,1
Achenbach,Oregon,1
Acheson,Oregon,1
Achi,Oregon,1
Achille,Oregon,1
Achilles,Oregon,2
Achor,Oregon,1
Achord,Oregon,1
Acidalia,Oregon,1
Acipcoville,Oregon,1
Acker,Oregon,2
Ackerly,Oregon,1
Ackerman,Oregon,2
Ackermanville,Oregon,1
Ackerson,Oregon,1
Ackerville,Oregon,2
Acklena,Oregon,1
Ackley,Oregon,1
Acklocknayke,Oregon,1
Ackworth,Oregon,2
Acline,Oregon,1
Acmar,Oregon,1
Acmetonia,Oregon,1
Acoaxet,Oregon,1
Acodale,Oregon,1
Acolita,Oregon,1
Acoma,Oregon,1
Acomita,Oregon,1
Acona,Oregon,1
Acorn,Oregon,6
Acorn Acres,Oregon,3
Acosta,Oregon,1
Acquidaneck,Oregon,1
Acra,Oregon,1
Acredale,Oregon,2
Acree,Oregon,1
Acresville,Oregon,1
Acropolis,Oregon,1
Actis,Oregon,1
Active,Oregon,1
Acton,Oregon,13
Acuff,Oregon,2
Acup,Oregon,2
Acushnet,Oregon,1
Acworth,Oregon,3
Acy,Oregon,1
Ada,Oregon,13
Adabelle,Oregon,1
Adaburg,Oregon,1
Adacao,Oregon,1
Adah,Oregon,1
Adair,Oregon,11
Adairsville,Oregon,1
Adairville,Oregon,1
Adak,Oregon,1
Adako,Oregon,1
Adaland,Oregon,1
Adaline,Oregon,2
Adam,Oregon,2
Adamana,Oregon,1
Adamant,Oregon,1
Adamdell,Oregon,1
Adams Corner,Oregon,4
Adams Crossroads,Oregon,4
Adams Landing,Oregon,3
Adams Park,Oregon,3
Adamsboro,Oregon,1
Adamsburg,Oregon,3
Adamsdale,Oregon,2
Adamson,Oregon,3
Adamston,Oregon,2
Adamstown,Oregon,2
Adamsville,Oregon,20
Adario,Oregon,1
Adasburg,Oregon,1
Adaton,Oregon,2
Adaven,Oregon,1
Adaville,Oregon,1
Adaza,Oregon,1
Adco,Oregon,1
Addicks,Oregon,1
Addie,Oregon,4
Addielee,Oregon,1
Addielou,Oregon,1
Addieville,Oregon,1
Addingham,Oregon,1
Addington,Oregon,2
Addis,Oregon,1
Addison,Oregon,14
Addor,Oregon,1
Addran,Oregon,1
Addy,Oregon,1
Addyston,Oregon,1
Ade,Oregon,1
Adela,Oregon,1
Adelaida,Oregon,1
Adelaide,Oregon,7
Adelanto,Oregon,1
Adelbert,Oregon,1
Adele,Oregon,2
Adelia,Oregon,1
Adelina,Oregon,1
Adeline,Oregon,3
Adelino,Oregon,1
Adell,Oregon,2
Adelle,Oregon,1
Adelphi,Oregon,5
Adelphia,Oregon,1
Adelup,Oregon,1
Aden,Oregon,6
Adena,Oregon,2
Adenmoor,Oregon,1
Adgateville,Oregon,1
Adger,Oregon,2
Adial,Oregon,1
Adin,Oregon,1
Adina,Oregon,1
Adirondack,Oregon,1
Adjett,Oregon,1
Adjuntas,Oregon,1
Adkins,Oregon,2
Adlai,Oregon,1
Adler,Oregon,1
Adley,Oregon,1
Adma,Oregon,1
Admah,Oregon,1
Admiral,Oregon,3
Admire,Oregon,2
Adna,Oregon,2
Adner,Oregon,2
Adobe,Oregon,2
Adobes,Oregon,1
Adois,Oregon,1
Adolph,Oregon,2
Adolphus,Oregon,2
Adon,Oregon,1
Adona,Oregon,1
Adonijah,Oregon,1
Adonis,Oregon,2
Adria,Oregon,1
Adsit,Oregon,1
Adsul,Oregon,1
Advance,Oregon,11
Advent,Oregon,1
Adventure,Oregon,1
Adverse,Oregon,1
Adville,Oregon,1
Adwolf,Oregon,1
Ady,Oregon,2
Adyeville,Oregon,1
Aeneas,Oregon,1
Aerial,Oregon,1
Aethra,Oregon,1
Aetna,Oregon,5
Aetnaville,Oregon,2
Afami,Oregon,1
Afao,Oregon,1
Afeman,Oregon,1
Afetna,Oregon,1
Affinity,Oregon,1
Affton,Oregon,1
Aflex,Oregon,1
Afognak,Oregon,1
Afolkey,Oregon,1
Afredton,Oregon,1
Africa,Oregon,3
Afton,Oregon,20
Afulei,Oregon,1
Aganoa,Oregon,1
Agar,Oregon,1
Agat,Oregon,1
Agate,Oregon,6
Agatha,Oregon,1
Agawam,Oregon,4
Agee,Oregon,1
Agency,Oregon,3
Agenda,Oregon,1
Ager,Oregon,1
Ages,Oregon,1
Aggregates,Oregon,1
Agner,Oregon,1
Agnes,Oregon,4
Agnew,Oregon,6
Agnewville,Oregon,1
Agnos,Oregon,1
Agoura,Oregon,1
Agra,Oregon,3
Agreeable,Oregon,1
Agricola,Oregon,7
Agua,Oregon,1
Agua Fria,Oregon,3
Aguacate,Oregon,1
Aguada,Oregon,1
Aguadilla,Oregon,1
Aguanga,Oregon,1
Agudo,Oregon,1
Agugulu,Oregon,1
Aguikchuk,Oregon,1
Aguila,Oregon,1
Aguilar,Oregon,1
Aguilares,Oregon,1
Aguilita,Oregon,1
Ah-gwah-ching,Oregon,1
Ahaluna,Oregon,1
Ahern,Oregon,1
Ahgosatown,Oregon,1
Ahles,Oregon,1
Ahloso,Oregon,1
Ahmeek,Oregon,1
Ahnberg,Oregon,1
Aho,Oregon,1
Aholt,Oregon,1
Ahoskie,Oregon,1
Ahosulga,Oregon,1
Ahrensville,Oregon,1
Ahsahka,Oregon,1
Ahtanum,Oregon,1
Ahwahnee,Oregon,1
Ahwatukee,Oregon,1
Ahwin,Oregon,1
Ai,Oregon,4
Aiaktalik,Oregon,1
Aibonito,Oregon,1
Aid,Oregon,2
Aievak,Oregon,1
Aiken,Oregon,6
Aikenton,Oregon,1
Aikin,Oregon,1
Aikins,Oregon,1
Aikinsville,Oregon,1
Aikman,Oregon,2
Ailey,Oregon,1
Ailor,Oregon,1
Ailsa,Oregon,1
Ailston,Oregon,1
Aily,Oregon,1
Aimar,Oregon,1
Aimwell,Oregon,2
Ain,Oregon,1
Ainger,Oregon,2
Ainslie,Oregon,1
Ainsworth,Oregon,4
Airboro,Oregon,1
Airedale,Oregon,1
Airedele,Oregon,1
Airey,Oregon,2
Airhill,Oregon,1
Airington,Oregon,1
Airlee,Oregon,1
Airmont,Oregon,2
Airpoint,Oregon,1
