Place Name,State,Frequency
Aaron,Pennsylvania,4
Aarons,Pennsylvania,1
Aasu,Pennsylvania,1
Abadyl,Pennsylvania,1
Abanaka,Pennsylvania,1
Abanda,Pennsylvania,1
Abarr,Pennsylvania,1
Abattis,Pennsylvania,1
Abba,Pennsylvania,1
Abbato,Pennsylvania,1
Abbeville,Pennsylvania,5
Abbey,Pennsylvania,1
Abbeyville,Pennsylvania,2
Abbot,Pennsylvania,1
Abbotsford,Pennsylvania,1
Abbotts,Pennsylvania,1
Abbottsburg,Pennsylvania,1
Abbottsford,Pennsylvania,2
Abbottsville,Pennsylvania,1
Abbyville,Pennsylvania,1
Abco,Pennsylvania,1
Abdal,Pennsylvania,1
Abdan,Pennsylvania,1
Abe,Pennsylvania,2
Abecrumby,Pennsylvania,1
Abel,Pennsylvania,2
Abeles,Pennsylvania,1
Abell,Pennsylvania,3
Aben,Pennsylvania,1
Abercrombie,Pennsylvania,3
Aberdeen Junction,Pennsylvania,3
Aberfoil,Pennsylvania,1
Aberfoyle,Pennsylvania,1
Abernant,Pennsylvania,1
Abernathy,Pennsylvania,4
Abert,Pennsylvania,1
Abertown,Pennsylvania,1
Abesville,Pennsylvania,1
Abeyta,Pennsylvania,1
Abeytas,Pennsylvania,1
Abie,Pennsylvania,1
Abiff,Pennsylvania,1
Abigail,Pennsylvania,1
Abihka,Pennsylvania,1
Abilene,Pennsylvania,5
Abingdon,Pennsylvania,6
Abiquiu,Pennsylvania,1
Able,Pennsylvania,1
Abledell,Pennsylvania,1
Abner,Pennsylvania,4
Abney,Pennsylvania,2
Abo,Pennsylvania,2
Aboite,Pennsylvania,1
Abra,Pennsylvania,1
Abraham,Pennsylvania,2
Abram,Pennsylvania,1
Abrams,Pennsylvania,2
Absalom,Pennsylvania,1
Absaraka,Pennsylvania,1
Absarokee,Pennsylvania,1
Absecon,Pennsylvania,1
Absher,Pennsylvania,2
Abshers,Pennsylvania,1
Abuelo,Pennsylvania,1
Abydel,Pennsylvania,1
Academie,Pennsylvania,1
Academy Park,Pennsylvania,4
Acadia,Pennsylvania,2
Acadiana,Pennsylvania,1
Acala,Pennsylvania,1
Acampo,Pennsylvania,2
Acapesket,Pennsylvania,1
Acapulco,Pennsylvania,1
Acasto,Pennsylvania,1
Acca,Pennsylvania,1
Access,Pennsylvania,1
Accident,Pennsylvania,2
Accokeek,Pennsylvania,1
Accola,Pennsylvania,1
Accord,Pennsylvania,2
Accotink,Pennsylvania,1
Accoville,Pennsylvania,1
Ace,Pennsylvania,1
Acebedo,Pennsylvania,1
Aceitunas,Pennsylvania,1
Acequia,Pennsylvania,2
Acevedo,Pennsylvania,1
Achackwaithle,Pennsylvania,1
Achan,Pennsylvania,1
Achash,Pennsylvania,1
Achenbach,Pennsylvania,1
Achi,Pennsylvania,1
Achille,Pennsylvania,1
Achilles,Pennsylvania,2
Achor,Pennsylvania,1
Achord,Pennsylvania,1
Acidalia,Pennsylvania,1
Acipcoville,Pennsylvania,1
Ackerly,Pennsylvania,1
Ackerman,Pennsylvania,2
Ackerson,Pennsylvania,1
Ackerville,Pennsylvania,2
Acklena,Pennsylvania,1
Ackley,Pennsylvania,1
Acklocknayke,Pennsylvania,1
Acline,Pennsylvania,1
Acmar,Pennsylvania,1
Acoaxet,Pennsylvania,1
Acodale,Pennsylvania,1
Acolita,Pennsylvania,1
Acoma,Pennsylvania,1
Acomita,Pennsylvania,1
Acona,Pennsylvania,1
Acorn Acres,Pennsylvania,3
Acquidaneck,Pennsylvania,1
Acra,Pennsylvania,1
Acredale,Pennsylvania,2
Acree,Pennsylvania,1
Acresville,Pennsylvania,1
Acropolis,Pennsylvania,1
Actis,Pennsylvania,1
Active,Pennsylvania,1
Acton,Pennsylvania,13
Acuff,Pennsylvania,2
Acup,Pennsylvania,2
Acushnet,Pennsylvania,1
Acworth,Pennsylvania,3
Acy,Pennsylvania,1
Ada,Pennsylvania,13
Adabelle,Pennsylvania,1
Adaburg,Pennsylvania,1
Adacao,Pennsylvania,1
Adair,Pennsylvania,11
Adairsville,Pennsylvania,1
Adairville,Pennsylvania,1
Adak,Pennsylvania,1
Adako,Pennsylvania,1
Adaland,Pennsylvania,1
Adaline,Pennsylvania,2
Adam,Pennsylvania,2
Adamana,Pennsylvania,1
Adamant,Pennsylvania,1
Adamdell,Pennsylvania,1
Adams Corner,Pennsylvania,4
Adams Crossroads,Pennsylvania,4
Adams Landing,Pennsylvania,3
Adams Park,Pennsylvania,3
Adamsboro,Pennsylvania,1
Adamson,Pennsylvania,3
Adamston,Pennsylvania,2
Adario,Pennsylvania,1
Adasburg,Pennsylvania,1
Adaton,Pennsylvania,2
Adaven,Pennsylvania,1
Adaville,Pennsylvania,1
Adaza,Pennsylvania,1
Adco,Pennsylvania,1
Addicks,Pennsylvania,1
Addie,Pennsylvania,4
Addielee,Pennsylvania,1
Addielou,Pennsylvania,1
Addieville,Pennsylvania,1
Addington,Pennsylvania,2
Addis,Pennsylvania,1
Addor,Pennsylvania,1
Addran,Pennsylvania,1
Addy,Pennsylvania,1
Addyston,Pennsylvania,1
Ade,Pennsylvania,1
Adel,Pennsylvania,8
Adela,Pennsylvania,1
Adelaida,Pennsylvania,1
Adelanto,Pennsylvania,1
Adelbert,Pennsylvania,1
Adelia,Pennsylvania,1
Adelina,Pennsylvania,1
Adeline,Pennsylvania,3
Adelino,Pennsylvania,1
Adell,Pennsylvania,2
Adelle,Pennsylvania,1
Adelphi,Pennsylvania,5
Adelphia,Pennsylvania,1
Adelup,Pennsylvania,1
Aden,Pennsylvania,6
Adena,Pennsylvania,2
Adenmoor,Pennsylvania,1
Adgateville,Pennsylvania,1
Adger,Pennsylvania,2
Adial,Pennsylvania,1
Adin,Pennsylvania,1
Adina,Pennsylvania,1
Adirondack,Pennsylvania,1
Adjett,Pennsylvania,1
Adjuntas,Pennsylvania,1
Adkins,Pennsylvania,2
Adlai,Pennsylvania,1
Adler,Pennsylvania,1
Adley,Pennsylvania,1
Adma,Pennsylvania,1
Admah,Pennsylvania,1
Admiral,Pennsylvania,3
Adna,Pennsylvania,2
Adner,Pennsylvania,2
Adobe,Pennsylvania,2
Adobes,Pennsylvania,1
Adois,Pennsylvania,1
Adolph,Pennsylvania,2
Adolphus,Pennsylvania,2
Adon,Pennsylvania,1
Adona,Pennsylvania,1
Adonijah,Pennsylvania,1
Adonis,Pennsylvania,2
Adria,Pennsylvania,1
Adsit,Pennsylvania,1
Adsul,Pennsylvania,1
Advent,Pennsylvania,1
Adventure,Pennsylvania,1
Adverse,Pennsylvania,1
Adville,Pennsylvania,1
Adwolf,Pennsylvania,1
Ady,Pennsylvania,2
Adyeville,Pennsylvania,1
Aeneas,Pennsylvania,1
Aerial,Pennsylvania,1
Aethra,Pennsylvania,1
Aetna,Pennsylvania,5
Aetnaville,Pennsylvania,2
Afami,Pennsylvania,1
Afao,Pennsylvania,1
Afeman,Pennsylvania,1
Afetna,Pennsylvania,1
Affinity,Pennsylvania,1
Affton,Pennsylvania,1
Aflex,Pennsylvania,1
Afognak,Pennsylvania,1
Afolkey,Pennsylvania,1
Afredton,Pennsylvania,1
Africa,Pennsylvania,3
Afton,Pennsylvania,20
Afulei,Pennsylvania,1
Aganoa,Pennsylvania,1
Agar,Pennsylvania,1
Agat,Pennsylvania,1
Agate,Pennsylvania,6
Agatha,Pennsylvania,1
Agawam,Pennsylvania,4
Agee,Pennsylvania,1
Agency,Pennsylvania,3
Agenda,Pennsylvania,1
Ager,Pennsylvania,1
Ages,Pennsylvania,1
Aggregates,Pennsylvania,1
Agner,Pennsylvania,1
Agnes,Pennsylvania,4
Agness,Pennsylvania,1
Agnew,Pennsylvania,6
Agnewville,Pennsylvania,1
Agnos,Pennsylvania,1
Agoura,Pennsylvania,1
Agra,Pennsylvania,3
Agreeable,Pennsylvania,1
Agricola,Pennsylvania,7
Agua,Pennsylvania,1
Agua Fria,Pennsylvania,3
Aguacate,Pennsylvania,1
Aguada,Pennsylvania,1
Aguadilla,Pennsylvania,1
Aguanga,Pennsylvania,1
Agudo,Pennsylvania,1
Agugulu,Pennsylvania,1
Aguikchuk,Pennsylvania,1
Aguila,Pennsylvania,1
Aguilar,Pennsylvania,1
Aguilares,Pennsylvania,1
Aguilita,Pennsylvania,1
Ah-gwah-ching,Pennsylvania,1
Ahaluna,Pennsylvania,1
Ahern,Pennsylvania,1
Ahgosatown,Pennsylvania,1
Ahles,Pennsylvania,1
Ahloso,Pennsylvania,1
Ahmeek,Pennsylvania,1
Ahnberg,Pennsylvania,1
Aho,Pennsylvania,1
Aholt,Pennsylvania,1
Ahoskie,Pennsylvania,1
Ahosulga,Pennsylvania,1
Ahsahka,Pennsylvania,1
Ahtanum,Pennsylvania,1
Ahwahnee,Pennsylvania,1
Ahwatukee,Pennsylvania,1
Ahwin,Pennsylvania,1
Ai,Pennsylvania,4
Aiaktalik,Pennsylvania,1
Aibonito,Pennsylvania,1
Aid,Pennsylvania,2
Aievak,Pennsylvania,1
Aikenton,Pennsylvania,1
Aikin,Pennsylvania,1
Aikins,Pennsylvania,1
Aikinsville,Pennsylvania,1
Aikman,Pennsylvania,2
Ailey,Pennsylvania,1
Ailor,Pennsylvania,1
Ailsa,Pennsylvania,1
Aily,Pennsylvania,1
Aimar,Pennsylvania,1
Aims,Pennsylvania,1
Aimwell,Pennsylvania,2
Ain,Pennsylvania,1
Ainger,Pennsylvania,2
Ainslie,Pennsylvania,1
Ainsworth,Pennsylvania,4
Airboro,Pennsylvania,1
Airedale,Pennsylvania,1
Airedele,Pennsylvania,1
Airey,Pennsylvania,2
Airhill,Pennsylvania,1
Airington,Pennsylvania,1
Airlee,Pennsylvania,1
Airlie,Pennsylvania,4
Airmont,Pennsylvania,2
Airpoint,Pennsylvania,1
Airport Village,Pennsylvania,4
Airstream,Pennsylvania,1
Aitkin,Pennsylvania,1
Aix,Pennsylvania,2
Ajlune,Pennsylvania,1
Ajo,Pennsylvania,1
Akaska,Pennsylvania,1
Akela,Pennsylvania,1
Akers,Pennsylvania,3
Akerville,Pennsylvania,1
Akes,Pennsylvania,1
Akhiok,Pennsylvania,1
Akiachak,Pennsylvania,1
Akiak,Pennsylvania,1
Akin,Pennsylvania,3
Akins,Pennsylvania,2
Akinsville,Pennsylvania,1
Akka,Pennsylvania,1
Aklut,Pennsylvania,1
Akmiut,Pennsylvania,1
Akokpak,Pennsylvania,1
Akona,Pennsylvania,1
Akpaliut,Pennsylvania,1
Akra,Pennsylvania,1
Akridge,Pennsylvania,1
Akshadak,Pennsylvania,1
Akulga,Pennsylvania,1
Akuliukpak,Pennsylvania,1
Akulivikchuk,Pennsylvania,1
Akulurak,Pennsylvania,1
Akumsuk,Pennsylvania,1
Akupu,Pennsylvania,1
Akutan,Pennsylvania,1
Al-Mar,Pennsylvania,1
Alabam,Pennsylvania,1
Alabama,Pennsylvania,2
Alabama Hill,Pennsylvania,3
Alabaster,Pennsylvania,2
Alachua,Pennsylvania,1
Alaculsy,Pennsylvania,1
Alafaya,Pennsylvania,1
Alaga,Pennsylvania,1
Alaganik,Pennsylvania,1
Alakanuk,Pennsylvania,1
Alamana,Pennsylvania,1
Alamance,Pennsylvania,1
Alamando,Pennsylvania,1
Alamar,Pennsylvania,1
Alameda,Pennsylvania,6
Alamillo,Pennsylvania,1
Alamito,Pennsylvania,1
Alamitos,Pennsylvania,1
Alamo,Pennsylvania,11
Alamode,Pennsylvania,1
Alamogordo,Pennsylvania,1
Alamorio,Pennsylvania,1
Alamorosa,Pennsylvania,1
Alamosa,Pennsylvania,1
Alamota,Pennsylvania,1
Alamucha,Pennsylvania,1
Alandale,Pennsylvania,3
Alander,Pennsylvania,1
Alanreed,Pennsylvania,1
Alanson,Pennsylvania,1
Alanthus,Pennsylvania,2
Alanton,Pennsylvania,1
Alao,Pennsylvania,1
Alapaha,Pennsylvania,2
Alapocas,Pennsylvania,1
Alarka,Pennsylvania,1
Alatna,Pennsylvania,1
Alaufau,Pennsylvania,1
Alavista,Pennsylvania,1
Alazan,Pennsylvania,1
Alazon,Pennsylvania,1
Alban,Pennsylvania,1
Albano,Pennsylvania,1
Albantown,Pennsylvania,1
Albaton,Pennsylvania,1
Albatross,Pennsylvania,1
Albaugh,Pennsylvania,1
Albee,Pennsylvania,2
Albeison,Pennsylvania,1
Albemarle,Pennsylvania,2
Alberene,Pennsylvania,1
