Place Name,State,Frequency
Aaron,Puerto Rico,4
Aarons,Puerto Rico,1
Aaronsburg,Puerto Rico,2
Aasu,Puerto Rico,1
Abadyl,Puerto Rico,1
Abanaka,Puerto Rico,1
Abanda,Puerto Rico,1
Abarr,Puerto Rico,1
Abattis,Puerto Rico,1
Abba,Puerto Rico,1
Abbato,Puerto Rico,1
Abbeville,Puerto Rico,5
Abbey,Puerto Rico,1
Abbeyville,Puerto Rico,2
Abbot,Puerto Rico,1
Abbotsford,Puerto Rico,1
Abbott,Puerto Rico,11
Abbotts,Puerto Rico,1
Abbottsburg,Puerto Rico,1
Abbottsford,Puerto Rico,2
Abbottstown,Puerto Rico,1
Abbottsville,Puerto Rico,1
Abbyville,Puerto Rico,1
Abco,Puerto Rico,1
Abdal,Puerto Rico,1
Abdan,Puerto Rico,1
Abdera,Puerto Rico,1
Abe,Puerto Rico,2
Abecrumby,Puerto Rico,1
Abel,Puerto Rico,2
Abeles,Puerto Rico,1
Abell,Puerto Rico,3
Aben,Puerto Rico,1
Abercrombie,Puerto Rico,3
Aberdeen,Puerto Rico,18
Aberdeen Junction,Puerto Rico,3
Aberfoil,Puerto Rico,1
Aberfoyle,Puerto Rico,1
Abernant,Puerto Rico,1
Abernathy,Puerto Rico,4
Abert,Puerto Rico,1
Abertown,Puerto Rico,1
Abesville,Puerto Rico,1
Abeyta,Puerto Rico,1
Abeytas,Puerto Rico,1
Abie,Puerto Rico,1
Abiff,Puerto Rico,1
Abigail,Puerto Rico,1
Abihka,Puerto Rico,1
Abilene,Puerto Rico,5
Abingdon,Puerto Rico,6
Abington,Puerto Rico,7
Abiquiu,Puerto Rico,1
Able,Puerto Rico,1
Abledell,Puerto Rico,1
Abner,Puerto Rico,4
Abney,Puerto Rico,2
Abo,Puerto Rico,2
Aboite,Puerto Rico,1
Abra,Puerto Rico,1
Abraham,Puerto Rico,2
Abrahams,Puerto Rico,1
Abrahamsville,Puerto Rico,1
Abram,Puerto Rico,1
Abrams,Puerto Rico,2
Absalom,Puerto Rico,1
Absaraka,Puerto Rico,1
Absarokee,Puerto Rico,1
Absecon,Puerto Rico,1
Absher,Puerto Rico,2
Abshers,Puerto Rico,1
Abuelo,Puerto Rico,1
Abydel,Puerto Rico,1
Academia,Puerto Rico,2
Academie,Puerto Rico,1
Academy,Puerto Rico,6
Academy Park,Puerto Rico,4
Academyville,Puerto Rico,1
Acadia,Puerto Rico,2
Acadiana,Puerto Rico,1
Acala,Puerto Rico,1
Acampo,Puerto Rico,2
Acapesket,Puerto Rico,1
Acapulco,Puerto Rico,1
Acasto,Puerto Rico,1
Acca,Puerto Rico,1
Access,Puerto Rico,1
Accident,Puerto Rico,2
Accokeek,Puerto Rico,1
Accola,Puerto Rico,1
Accomac,Puerto Rico,2
Accord,Puerto Rico,2
Accotink,Puerto Rico,1
Accoville,Puerto Rico,1
Ace,Puerto Rico,1
Acebedo,Puerto Rico,1
Acequia,Puerto Rico,2
Achackwaithle,Puerto Rico,1
Achan,Puerto Rico,1
Achash,Puerto Rico,1
Achenbach,Puerto Rico,1
Acheson,Puerto Rico,1
Achi,Puerto Rico,1
Achille,Puerto Rico,1
Achilles,Puerto Rico,2
Achor,Puerto Rico,1
Achord,Puerto Rico,1
Acidalia,Puerto Rico,1
Acipcoville,Puerto Rico,1
Acker,Puerto Rico,2
Ackerly,Puerto Rico,1
Ackerman,Puerto Rico,2
Ackermanville,Puerto Rico,1
Ackerson,Puerto Rico,1
Ackerville,Puerto Rico,2
Acklena,Puerto Rico,1
Ackley,Puerto Rico,1
Acklocknayke,Puerto Rico,1
Ackworth,Puerto Rico,2
Acline,Puerto Rico,1
Acmar,Puerto Rico,1
Acme,Puerto Rico,18
Acmetonia,Puerto Rico,1
Acoaxet,Puerto Rico,1
Acodale,Puerto Rico,1
Acolita,Puerto Rico,1
Acoma,Puerto Rico,1
Acomita,Puerto Rico,1
Acona,Puerto Rico,1
Acorn,Puerto Rico,6
Acorn Acres,Puerto Rico,3
Acosta,Puerto Rico,1
Acquidaneck,Puerto Rico,1
Acra,Puerto Rico,1
Acredale,Puerto Rico,2
Acree,Puerto Rico,1
Acresville,Puerto Rico,1
Acropolis,Puerto Rico,1
Actis,Puerto Rico,1
Active,Puerto Rico,1
Acton,Puerto Rico,13
