Place Name,State,Frequency
Aaron,Rhode Island,4
Aarons,Rhode Island,1
Aaronsburg,Rhode Island,2
Aasu,Rhode Island,1
Abadyl,Rhode Island,1
Abanaka,Rhode Island,1
Abanda,Rhode Island,1
Abarr,Rhode Island,1
Abattis,Rhode Island,1
Abba,Rhode Island,1
Abbato,Rhode Island,1
Abbeville,Rhode Island,5
Abbey,Rhode Island,1
Abbeyville,Rhode Island,2
Abbot,Rhode Island,1
Abbotsford,Rhode Island,1
Abbott,Rhode Island,11
Abbotts,Rhode Island,1
Abbottsburg,Rhode Island,1
Abbottsford,Rhode Island,2
Abbottstown,Rhode Island,1
Abbottsville,Rhode Island,1
Abbyville,Rhode Island,1
Abco,Rhode Island,1
Abdal,Rhode Island,1
Abdan,Rhode Island,1
Abdera,Rhode Island,1
Abe,Rhode Island,2
Abecrumby,Rhode Island,1
Abel,Rhode Island,2
Abeles,Rhode Island,1
Abell,Rhode Island,3
Aben,Rhode Island,1
Abercrombie,Rhode Island,3
Aberdeen,Rhode Island,18
Aberdeen Junction,Rhode Island,3
Aberfoil,Rhode Island,1
Aberfoyle,Rhode Island,1
Abernant,Rhode Island,1
Abernathy,Rhode Island,4
Abert,Rhode Island,1
Abertown,Rhode Island,1
Abesville,Rhode Island,1
Abeyta,Rhode Island,1
Abeytas,Rhode Island,1
Abie,Rhode Island,1
Abiff,Rhode Island,1
Abigail,Rhode Island,1
Abihka,Rhode Island,1
Abilene,Rhode Island,5
Abingdon,Rhode Island,6
Abington,Rhode Island,7
Abiquiu,Rhode Island,1
Able,Rhode Island,1
Abledell,Rhode Island,1
Abner,Rhode Island,4
Abney,Rhode Island,2
Abo,Rhode Island,2
Aboite,Rhode Island,1
Abra,Rhode Island,1
Abraham,Rhode Island,2
Abrahams,Rhode Island,1
Abrahamsville,Rhode Island,1
Abram,Rhode Island,1
Abrams,Rhode Island,2
Absalom,Rhode Island,1
Absaraka,Rhode Island,1
Absarokee,Rhode Island,1
Absecon,Rhode Island,1
Absher,Rhode Island,2
Abshers,Rhode Island,1
Abuelo,Rhode Island,1
Abydel,Rhode Island,1
