Place Name,State,Frequency
Aaron,South Carolina,4
Aarons,South Carolina,1
Aaronsburg,South Carolina,2
Aasu,South Carolina,1
Abadyl,South Carolina,1
Abanaka,South Carolina,1
Abanda,South Carolina,1
Abarr,South Carolina,1
Abattis,South Carolina,1
Abba,South Carolina,1
Abbato,South Carolina,1
Abbey,South Carolina,1
Abbeyville,South Carolina,2
Abbot,South Carolina,1
Abbotsford,South Carolina,1
Abbott,South Carolina,11
Abbotts,South Carolina,1
Abbottsburg,South Carolina,1
Abbottsford,South Carolina,2
Abbottstown,South Carolina,1
Abbottsville,South Carolina,1
Abbyville,South Carolina,1
Abco,South Carolina,1
Abdal,South Carolina,1
Abdan,South Carolina,1
Abdera,South Carolina,1
Abe,South Carolina,2
Abecrumby,South Carolina,1
Abel,South Carolina,2
Abeles,South Carolina,1
Abell,South Carolina,3
Aben,South Carolina,1
Abercrombie,South Carolina,3
Aberdeen,South Carolina,18
Aberdeen Junction,South Carolina,3
Aberfoil,South Carolina,1
Aberfoyle,South Carolina,1
Abernant,South Carolina,1
Abernathy,South Carolina,4
Abert,South Carolina,1
Abertown,South Carolina,1
Abesville,South Carolina,1
Abeyta,South Carolina,1
Abeytas,South Carolina,1
Abie,South Carolina,1
Abiff,South Carolina,1
Abigail,South Carolina,1
Abihka,South Carolina,1
Abilene,South Carolina,5
Abington,South Carolina,7
Abiquiu,South Carolina,1
Able,South Carolina,1
Abledell,South Carolina,1
Abner,South Carolina,4
Abney,South Carolina,2
Abo,South Carolina,2
Aboite,South Carolina,1
Abra,South Carolina,1
Abraham,South Carolina,2
Abrahams,South Carolina,1
Abrahamsville,South Carolina,1
Abram,South Carolina,1
Abrams,South Carolina,2
Absalom,South Carolina,1
Absaraka,South Carolina,1
Absarokee,South Carolina,1
Absecon,South Carolina,1
Absher,South Carolina,2
Abshers,South Carolina,1
Abuelo,South Carolina,1
Abydel,South Carolina,1
Academia,South Carolina,2
Academie,South Carolina,1
Academy,South Carolina,6
Academy Park,South Carolina,4
Academyville,South Carolina,1
Acadia,South Carolina,2
Acadiana,South Carolina,1
Acala,South Carolina,1
Acampo,South Carolina,2
Acapesket,South Carolina,1
Acasto,South Carolina,1
Acca,South Carolina,1
Access,South Carolina,1
Accident,South Carolina,2
Accokeek,South Carolina,1
Accola,South Carolina,1
Accomac,South Carolina,2
Accord,South Carolina,2
Accotink,South Carolina,1
Accoville,South Carolina,1
Ace,South Carolina,1
Acebedo,South Carolina,1
Aceitunas,South Carolina,1
Acequia,South Carolina,2
Acevedo,South Carolina,1
Achackwaithle,South Carolina,1
Achan,South Carolina,1
Achash,South Carolina,1
Achenbach,South Carolina,1
Acheson,South Carolina,1
Achi,South Carolina,1
Achille,South Carolina,1
Achilles,South Carolina,2
Achor,South Carolina,1
Achord,South Carolina,1
Acidalia,South Carolina,1
Acipcoville,South Carolina,1
Acker,South Carolina,2
Ackerly,South Carolina,1
Ackerman,South Carolina,2
Ackermanville,South Carolina,1
Ackerson,South Carolina,1
Ackerville,South Carolina,2
