Place Name,State,Frequency
Aaron,South Dakota,4
Aarons,South Dakota,1
Aaronsburg,South Dakota,2
Aasu,South Dakota,1
Abadyl,South Dakota,1
Abanaka,South Dakota,1
Abanda,South Dakota,1
Abarr,South Dakota,1
Abattis,South Dakota,1
Abba,South Dakota,1
Abbato,South Dakota,1
Abbeville,South Dakota,5
Abbey,South Dakota,1
Abbeyville,South Dakota,2
Abbot,South Dakota,1
Abbotsford,South Dakota,1
Abbott,South Dakota,11
Abbotts,South Dakota,1
Abbottsburg,South Dakota,1
Abbottsford,South Dakota,2
Abbottstown,South Dakota,1
Abbottsville,South Dakota,1
Abbyville,South Dakota,1
Abco,South Dakota,1
Abdal,South Dakota,1
Abdan,South Dakota,1
Abdera,South Dakota,1
Abe,South Dakota,2
Abecrumby,South Dakota,1
Abel,South Dakota,2
Abeles,South Dakota,1
Abell,South Dakota,3
Aben,South Dakota,1
Abercrombie,South Dakota,3
Aberdeen Junction,South Dakota,3
Aberfoil,South Dakota,1
Aberfoyle,South Dakota,1
Abernant,South Dakota,1
Abernathy,South Dakota,4
Abert,South Dakota,1
Abertown,South Dakota,1
Abesville,South Dakota,1
Abeyta,South Dakota,1
Abeytas,South Dakota,1
Abie,South Dakota,1
Abiff,South Dakota,1
Abigail,South Dakota,1
Abihka,South Dakota,1
Abilene,South Dakota,5
Abingdon,South Dakota,6
Abington,South Dakota,7
Abiquiu,South Dakota,1
Able,South Dakota,1
Abledell,South Dakota,1
Abner,South Dakota,4
Abney,South Dakota,2
Abo,South Dakota,2
Aboite,South Dakota,1
Abra,South Dakota,1
Abraham,South Dakota,2
Abrahams,South Dakota,1
Abrahamsville,South Dakota,1
Abram,South Dakota,1
Abrams,South Dakota,2
Absalom,South Dakota,1
Absaraka,South Dakota,1
Absarokee,South Dakota,1
Absecon,South Dakota,1
Absher,South Dakota,2
Abshers,South Dakota,1
Abuelo,South Dakota,1
Abydel,South Dakota,1
Academia,South Dakota,2
Academie,South Dakota,1
Academy Park,South Dakota,4
Academyville,South Dakota,1
Acadia,South Dakota,2
Acadiana,South Dakota,1
Acala,South Dakota,1
Acampo,South Dakota,2
Acapesket,South Dakota,1
Acapulco,South Dakota,1
Acasto,South Dakota,1
Acca,South Dakota,1
Access,South Dakota,1
Accident,South Dakota,2
Accokeek,South Dakota,1
Accola,South Dakota,1
Accomac,South Dakota,2
Accord,South Dakota,2
Accotink,South Dakota,1
Accoville,South Dakota,1
Ace,South Dakota,1
Acebedo,South Dakota,1
Aceitunas,South Dakota,1
Acequia,South Dakota,2
Acevedo,South Dakota,1
Achackwaithle,South Dakota,1
Achan,South Dakota,1
Achash,South Dakota,1
Achenbach,South Dakota,1
Acheson,South Dakota,1
Achi,South Dakota,1
Achille,South Dakota,1
Achilles,South Dakota,2
Achor,South Dakota,1
Achord,South Dakota,1
Acidalia,South Dakota,1
Acipcoville,South Dakota,1
Acker,South Dakota,2
Ackerly,South Dakota,1
Ackerman,South Dakota,2
Ackermanville,South Dakota,1
Ackerson,South Dakota,1
Ackerville,South Dakota,2
Acklena,South Dakota,1
Ackley,South Dakota,1
Acklocknayke,South Dakota,1
Ackworth,South Dakota,2
Acline,South Dakota,1
Acmar,South Dakota,1
Acme,South Dakota,18
Acmetonia,South Dakota,1
Acoaxet,South Dakota,1
Acodale,South Dakota,1
Acolita,South Dakota,1
Acoma,South Dakota,1
Acomita,South Dakota,1
Acona,South Dakota,1
Acorn,South Dakota,6
Acorn Acres,South Dakota,3
Acosta,South Dakota,1
Acquidaneck,South Dakota,1
Acra,South Dakota,1
Acredale,South Dakota,2
Acree,South Dakota,1
Acresville,South Dakota,1
Acropolis,South Dakota,1
Actis,South Dakota,1
Active,South Dakota,1
Acton,South Dakota,13
Acuff,South Dakota,2
Acup,South Dakota,2
Acushnet,South Dakota,1
Acworth,South Dakota,3
Acy,South Dakota,1
Ada,South Dakota,13
Adabelle,South Dakota,1
Adaburg,South Dakota,1
Adacao,South Dakota,1
Adah,South Dakota,1
Adair,South Dakota,11
Adairsville,South Dakota,1
Adairville,South Dakota,1
Adak,South Dakota,1
Adako,South Dakota,1
Adaland,South Dakota,1
Adaline,South Dakota,2
Adam,South Dakota,2
Adamana,South Dakota,1
Adamant,South Dakota,1
