Place Name,State,Frequency
Aaron,Tennessee,4
Aarons,Tennessee,1
Aaronsburg,Tennessee,2
Aasu,Tennessee,1
Abadyl,Tennessee,1
Abanaka,Tennessee,1
Abanda,Tennessee,1
Abarr,Tennessee,1
Abattis,Tennessee,1
Abba,Tennessee,1
Abbato,Tennessee,1
Abbeville,Tennessee,5
Abbey,Tennessee,1
Abbeyville,Tennessee,2
Abbot,Tennessee,1
Abbotsford,Tennessee,1
Abbott,Tennessee,11
Abbotts,Tennessee,1
Abbottsburg,Tennessee,1
Abbottsford,Tennessee,2
Abbottstown,Tennessee,1
Abbottsville,Tennessee,1
Abbyville,Tennessee,1
Abco,Tennessee,1
Abdal,Tennessee,1
Abdan,Tennessee,1
Abdera,Tennessee,1
Abe,Tennessee,2
Abecrumby,Tennessee,1
Abel,Tennessee,2
Abeles,Tennessee,1
Abell,Tennessee,3
Aben,Tennessee,1
Abercrombie,Tennessee,3
Aberdeen,Tennessee,18
Aberdeen Junction,Tennessee,3
Aberfoil,Tennessee,1
Aberfoyle,Tennessee,1
Abernant,Tennessee,1
Abernathy,Tennessee,3
Abert,Tennessee,1
Abertown,Tennessee,1
Abesville,Tennessee,1
Abeyta,Tennessee,1
Abeytas,Tennessee,1
Abie,Tennessee,1
Abigail,Tennessee,1
Abihka,Tennessee,1
Abilene,Tennessee,5
Abingdon,Tennessee,6
Abington,Tennessee,7
Abiquiu,Tennessee,1
Able,Tennessee,1
Abledell,Tennessee,1
Abner,Tennessee,4
Abney,Tennessee,2
Abo,Tennessee,2
Aboite,Tennessee,1
Abra,Tennessee,1
Abraham,Tennessee,2
Abrahams,Tennessee,1
Abrahamsville,Tennessee,1
Abram,Tennessee,1
Abrams,Tennessee,2
Absalom,Tennessee,1
Absaraka,Tennessee,1
Absarokee,Tennessee,1
Absecon,Tennessee,1
Absher,Tennessee,2
Abshers,Tennessee,1
Abuelo,Tennessee,1
Abydel,Tennessee,1
Academia,Tennessee,2
Academie,Tennessee,1
Academy,Tennessee,6
Academy Park,Tennessee,4
Academyville,Tennessee,1
Acadia,Tennessee,2
Acadiana,Tennessee,1
Acala,Tennessee,1
Acampo,Tennessee,2
Acapesket,Tennessee,1
Acapulco,Tennessee,1
Acasto,Tennessee,1
Acca,Tennessee,1
Access,Tennessee,1
Accident,Tennessee,2
Accokeek,Tennessee,1
Accola,Tennessee,1
Accomac,Tennessee,2
Accord,Tennessee,2
Accotink,Tennessee,1
Accoville,Tennessee,1
Ace,Tennessee,1
Acebedo,Tennessee,1
Aceitunas,Tennessee,1
Acequia,Tennessee,2
Acevedo,Tennessee,1
Achackwaithle,Tennessee,1
Achan,Tennessee,1
Achash,Tennessee,1
Achenbach,Tennessee,1
Acheson,Tennessee,1
Achi,Tennessee,1
Achille,Tennessee,1
