Place Name,State,Frequency
Aaron,Texas,4
Aarons,Texas,1
Aaronsburg,Texas,2
Aasu,Texas,1
Abadyl,Texas,1
Abanaka,Texas,1
Abanda,Texas,1
Abarr,Texas,1
Abattis,Texas,1
Abba,Texas,1
Abbato,Texas,1
Abbeville,Texas,5
Abbey,Texas,1
Abbeyville,Texas,2
Abbot,Texas,1
Abbotsford,Texas,1
Abbott,Texas,10
Abbotts,Texas,1
Abbottsburg,Texas,1
Abbottsford,Texas,2
Abbottstown,Texas,1
Abbottsville,Texas,1
Abbyville,Texas,1
Abco,Texas,1
Abdal,Texas,1
Abdan,Texas,1
Abdera,Texas,1
Abe,Texas,2
Abecrumby,Texas,1
Abel,Texas,2
Abeles,Texas,1
Abell,Texas,2
Aben,Texas,1
Abercrombie,Texas,2
Aberdeen,Texas,17
Aberdeen Junction,Texas,3
Aberfoil,Texas,1
Abernant,Texas,1
Abernathy,Texas,3
Abert,Texas,1
Abertown,Texas,1
Abesville,Texas,1
Abeyta,Texas,1
Abeytas,Texas,1
Abie,Texas,1
Abiff,Texas,1
Abigail,Texas,1
Abihka,Texas,1
Abilene,Texas,4
Abingdon,Texas,6
Abington,Texas,6
Abiquiu,Texas,1
Able,Texas,1
Abledell,Texas,1
Abner,Texas,3
Abney,Texas,2
Abo,Texas,2
Aboite,Texas,1
Abra,Texas,1
Abraham,Texas,2
Abrahams,Texas,1
Abrahamsville,Texas,1
Abrams,Texas,2
Absalom,Texas,1
Absaraka,Texas,1
Absarokee,Texas,1
Absecon,Texas,1
Absher,Texas,2
Abshers,Texas,1
Abuelo,Texas,1
Abydel,Texas,1
Academia,Texas,2
Academie,Texas,1
Academy,Texas,5
Academy Park,Texas,4
Academyville,Texas,1
Acadia,Texas,2
Acadiana,Texas,1
Acampo,Texas,1
Acapesket,Texas,1
Acapulco,Texas,1
Acasto,Texas,1
Acca,Texas,1
Access,Texas,1
Accident,Texas,2
Accokeek,Texas,1
Accola,Texas,1
Accomac,Texas,2
Accord,Texas,2
Accotink,Texas,1
Accoville,Texas,1
Acebedo,Texas,1
Aceitunas,Texas,1
Acequia,Texas,2
Acevedo,Texas,1
Achackwaithle,Texas,1
Achan,Texas,1
Achash,Texas,1
Achenbach,Texas,1
Acheson,Texas,1
Achi,Texas,1
Achille,Texas,1
Achilles,Texas,2
Achor,Texas,1
Achord,Texas,1
Acidalia,Texas,1
Acipcoville,Texas,1
Acker,Texas,2
Ackerman,Texas,2
Ackermanville,Texas,1
Ackerson,Texas,1
Ackerville,Texas,2
Acklena,Texas,1
Ackley,Texas,1
Acklocknayke,Texas,1
Ackworth,Texas,2
Acline,Texas,1
Acmar,Texas,1
Acme,Texas,17
Acmetonia,Texas,1
Acoaxet,Texas,1
Acodale,Texas,1
Acolita,Texas,1
Acoma,Texas,1
Acomita,Texas,1
Acona,Texas,1
Acorn,Texas,6
Acorn Acres,Texas,3
Acosta,Texas,1
Acquidaneck,Texas,1
Acra,Texas,1
Acredale,Texas,2
Acree,Texas,1
Acresville,Texas,1
Acropolis,Texas,1
Actis,Texas,1
Active,Texas,1
Acton,Texas,12
Acuff,Texas,1
Acup,Texas,2
Acushnet,Texas,1
Acworth,Texas,2
Acy,Texas,1
Ada,Texas,12
Adabelle,Texas,1
Adaburg,Texas,1
Adacao,Texas,1
Adah,Texas,1
Adair,Texas,10
Adairsville,Texas,1
Adairville,Texas,1
Adak,Texas,1
Adako,Texas,1
Adaland,Texas,1
Adaline,Texas,2
Adam,Texas,2
Adamana,Texas,1
Adamant,Texas,1
Adamdell,Texas,1
Adams,Texas,24
Adams Corner,Texas,4
Adams Crossroads,Texas,4
Adams Landing,Texas,3
Adams Park,Texas,3
Adamsboro,Texas,1
Adamsburg,Texas,3
Adamsdale,Texas,2
Adamson,Texas,3
Adamston,Texas,2
Adamstown,Texas,2
Adamsville,Texas,19
Adario,Texas,1
Adasburg,Texas,1
Adaton,Texas,2
Adaven,Texas,1
Adaville,Texas,1
Adaza,Texas,1
Adco,Texas,1
Addie,Texas,4
Addielee,Texas,1
Addieville,Texas,1
Addingham,Texas,1
Addington,Texas,2
Addis,Texas,1
Addison,Texas,13
Addor,Texas,1
Addy,Texas,1
Addyston,Texas,1
Ade,Texas,1
Adel,Texas,7
Adela,Texas,1
Adelaida,Texas,1
Adelaide,Texas,7
Adelanto,Texas,1
Adelbert,Texas,1
Adele,Texas,2
Adelia,Texas,1
Adelina,Texas,1
Adeline,Texas,3
Adelino,Texas,1
Adell,Texas,1
Adelle,Texas,1
Adelphi,Texas,5
Adelphia,Texas,1
Adelup,Texas,1
Aden,Texas,6
Adena,Texas,2
Adenmoor,Texas,1
Adgateville,Texas,1
Adger,Texas,2
Adial,Texas,1
Adin,Texas,1
Adirondack,Texas,1
Adjett,Texas,1
Adjuntas,Texas,1
Adkins,Texas,1
Adlai,Texas,1
Adler,Texas,1
Adley,Texas,1
Adma,Texas,1
Admah,Texas,1
Admiral,Texas,2
Admire,Texas,2
Adna,Texas,2
Adner,Texas,2
Adobe,Texas,2
Adois,Texas,1
Adolph,Texas,2
Adolphus,Texas,2
Adon,Texas,1
Adona,Texas,1
Adonijah,Texas,1
Adonis,Texas,2
Adria,Texas,1
Adrian,Texas,14
Adsit,Texas,1
Advance,Texas,10
Advent,Texas,1
Adventure,Texas,1
Adverse,Texas,1
Adville,Texas,1
