Place Name,State,Frequency
Aaron,Utah,4
Aarons,Utah,1
Aaronsburg,Utah,2
Aasu,Utah,1
Abadyl,Utah,1
Abanaka,Utah,1
Abanda,Utah,1
Abarr,Utah,1
Abattis,Utah,1
Abba,Utah,1
Abbato,Utah,1
Abbeville,Utah,5
Abbey,Utah,1
Abbeyville,Utah,2
Abbot,Utah,1
Abbotsford,Utah,1
Abbott,Utah,11
Abbotts,Utah,1
Abbottsburg,Utah,1
Abbottsford,Utah,2
Abbottstown,Utah,1
Abbottsville,Utah,1
Abbyville,Utah,1
Abco,Utah,1
Abdal,Utah,1
Abdan,Utah,1
Abdera,Utah,1
Abe,Utah,2
Abecrumby,Utah,1
Abel,Utah,2
Abeles,Utah,1
Abell,Utah,3
Aben,Utah,1
Abercrombie,Utah,3
Aberdeen,Utah,18
Aberdeen Junction,Utah,3
Aberfoil,Utah,1
Aberfoyle,Utah,1
Abernant,Utah,1
Abernathy,Utah,4
Abert,Utah,1
Abertown,Utah,1
Abesville,Utah,1
Abeyta,Utah,1
Abeytas,Utah,1
Abie,Utah,1
Abiff,Utah,1
Abigail,Utah,1
Abihka,Utah,1
Abilene,Utah,5
Abingdon,Utah,6
Abington,Utah,7
Abiquiu,Utah,1
Able,Utah,1
Abledell,Utah,1
Abner,Utah,4
Abney,Utah,2
Abo,Utah,2
Aboite,Utah,1
Abra,Utah,1
Abrahams,Utah,1
Abrahamsville,Utah,1
Abram,Utah,1
Abrams,Utah,2
Absalom,Utah,1
Absaraka,Utah,1
Absarokee,Utah,1
Absecon,Utah,1
Absher,Utah,2
Abshers,Utah,1
Abuelo,Utah,1
Abydel,Utah,1
Academia,Utah,2
Academie,Utah,1
Academy,Utah,6
Academyville,Utah,1
Acadia,Utah,2
Acadiana,Utah,1
Acala,Utah,1
Acampo,Utah,2
Acapesket,Utah,1
Acapulco,Utah,1
Acasto,Utah,1
Acca,Utah,1
Access,Utah,1
Accident,Utah,2
Accokeek,Utah,1
Accola,Utah,1
Accomac,Utah,2
Accord,Utah,2
Accotink,Utah,1
Accoville,Utah,1
Ace,Utah,1
Acebedo,Utah,1
Aceitunas,Utah,1
Acequia,Utah,2
Acevedo,Utah,1
Achackwaithle,Utah,1
Achan,Utah,1
Achash,Utah,1
Achenbach,Utah,1
Acheson,Utah,1
Achi,Utah,1
Achille,Utah,1
Achilles,Utah,2
Achor,Utah,1
Achord,Utah,1
Acidalia,Utah,1
Acipcoville,Utah,1
Acker,Utah,2
Ackerly,Utah,1
Ackerman,Utah,2
Ackermanville,Utah,1
Ackerson,Utah,1
Ackerville,Utah,2
Acklena,Utah,1
Ackley,Utah,1
Acklocknayke,Utah,1
Ackworth,Utah,2
Acline,Utah,1
Acmar,Utah,1
Acme,Utah,18
Acmetonia,Utah,1
Acoaxet,Utah,1
Acodale,Utah,1
Acolita,Utah,1
Acoma,Utah,1
Acomita,Utah,1
Acona,Utah,1
Acorn,Utah,6
Acorn Acres,Utah,3
Acosta,Utah,1
Acquidaneck,Utah,1
Acra,Utah,1
Acredale,Utah,2
Acree,Utah,1
Acresville,Utah,1
Acropolis,Utah,1
Actis,Utah,1
Active,Utah,1
Acton,Utah,13
Acuff,Utah,2
Acup,Utah,2
Acushnet,Utah,1
Acworth,Utah,3
Acy,Utah,1
Ada,Utah,13
Adabelle,Utah,1
Adaburg,Utah,1
Adacao,Utah,1
Adah,Utah,1
Adair,Utah,11
Adairsville,Utah,1
Adairville,Utah,1
Adak,Utah,1
Adako,Utah,1
Adaland,Utah,1
Adaline,Utah,2
Adam,Utah,2
Adamana,Utah,1
Adamant,Utah,1
Adams,Utah,25
Adams Corner,Utah,4
Adams Crossroads,Utah,4
Adams Landing,Utah,3
Adamsboro,Utah,1
Adamsburg,Utah,3
Adamsdale,Utah,2
Adamson,Utah,3
Adamston,Utah,2
Adamstown,Utah,2
Adario,Utah,1
Adasburg,Utah,1
Adaton,Utah,2
Adaven,Utah,1
Adaville,Utah,1
Adaza,Utah,1
Adco,Utah,1
Addicks,Utah,1
Addie,Utah,4
Addielee,Utah,1
Addielou,Utah,1
Addieville,Utah,1
Addingham,Utah,1
Addington,Utah,2
Addis,Utah,1
Addison,Utah,14
Addor,Utah,1
Addran,Utah,1
Addy,Utah,1
Addyston,Utah,1
Ade,Utah,1
Adel,Utah,8
Adela,Utah,1
Adelaida,Utah,1
Adelaide,Utah,7
Adelanto,Utah,1
Adelbert,Utah,1
Adele,Utah,2
Adelia,Utah,1
Adelina,Utah,1
Adeline,Utah,3
Adelino,Utah,1
Adell,Utah,2
Adelle,Utah,1
Adelphi,Utah,5
Adelphia,Utah,1
Adelup,Utah,1
Aden,Utah,6
Adena,Utah,2
Adenmoor,Utah,1
Adgateville,Utah,1
Adger,Utah,2
Adial,Utah,1
Adin,Utah,1
Adina,Utah,1
Adirondack,Utah,1
Adjett,Utah,1
Adjuntas,Utah,1
Adkins,Utah,2
Adlai,Utah,1
Adler,Utah,1
Adley,Utah,1
Adma,Utah,1
Admah,Utah,1
Admiral,Utah,3
Admire,Utah,2
Adna,Utah,2
Adner,Utah,2
Adobe,Utah,2
Adobes,Utah,1
Adois,Utah,1
Adolph,Utah,2
Adolphus,Utah,2
Adon,Utah,1
