Place Name,State,Frequency
Aaron,Virginia,4
Aarons,Virginia,1
Aaronsburg,Virginia,2
Aasu,Virginia,1
Abadyl,Virginia,1
Abanaka,Virginia,1
Abanda,Virginia,1
Abarr,Virginia,1
Abattis,Virginia,1
Abba,Virginia,1
Abbato,Virginia,1
Abbeville,Virginia,5
Abbey,Virginia,1
Abbeyville,Virginia,2
Abbot,Virginia,1
Abbotsford,Virginia,1
Abbott,Virginia,10
Abbotts,Virginia,1
Abbottsburg,Virginia,1
Abbottsford,Virginia,2
Abbottstown,Virginia,1
Abbottsville,Virginia,1
Abbyville,Virginia,1
Abco,Virginia,1
Abdal,Virginia,1
Abdan,Virginia,1
Abdera,Virginia,1
Abe,Virginia,2
Abecrumby,Virginia,1
Abel,Virginia,2
Abeles,Virginia,1
Abell,Virginia,2
Aben,Virginia,1
Abercrombie,Virginia,3
Aberdeen,Virginia,18
Aberdeen Junction,Virginia,3
Aberfoil,Virginia,1
Aberfoyle,Virginia,1
Abernant,Virginia,1
Abernathy,Virginia,4
Abertown,Virginia,1
Abesville,Virginia,1
Abeyta,Virginia,1
Abeytas,Virginia,1
Abie,Virginia,1
Abiff,Virginia,1
Abigail,Virginia,1
Abihka,Virginia,1
Abilene,Virginia,4
Abingdon,Virginia,5
Abington,Virginia,7
Abiquiu,Virginia,1
Able,Virginia,1
Abledell,Virginia,1
Abner,Virginia,4
Abney,Virginia,2
Abo,Virginia,2
Aboite,Virginia,1
Abra,Virginia,1
Abraham,Virginia,2
Abrahams,Virginia,1
Abrahamsville,Virginia,1
Abram,Virginia,1
Abrams,Virginia,2
Absalom,Virginia,1
Absaraka,Virginia,1
Absarokee,Virginia,1
Absecon,Virginia,1
Absher,Virginia,2
Abshers,Virginia,1
Abuelo,Virginia,1
Abydel,Virginia,1
Academia,Virginia,2
Academie,Virginia,1
Academy,Virginia,5
Academy Park,Virginia,3
Academyville,Virginia,1
Acadia,Virginia,2
Acadiana,Virginia,1
Acala,Virginia,1
Acampo,Virginia,2
Acapesket,Virginia,1
Acapulco,Virginia,1
Acasto,Virginia,1
Access,Virginia,1
Accident,Virginia,2
Accokeek,Virginia,1
Accola,Virginia,1
Accomac,Virginia,1
Accord,Virginia,2
Accoville,Virginia,1
Ace,Virginia,1
Acebedo,Virginia,1
Aceitunas,Virginia,1
Acequia,Virginia,2
Acevedo,Virginia,1
Achackwaithle,Virginia,1
Achan,Virginia,1
Achenbach,Virginia,1
Acheson,Virginia,1
Achi,Virginia,1
Achille,Virginia,1
Achilles,Virginia,1
Achor,Virginia,1
Achord,Virginia,1
Acidalia,Virginia,1
Acipcoville,Virginia,1
Acker,Virginia,2
Ackerly,Virginia,1
Ackerman,Virginia,2
Ackermanville,Virginia,1
Ackerson,Virginia,1
Ackerville,Virginia,2
Acklena,Virginia,1
Ackley,Virginia,1
Acklocknayke,Virginia,1
