Place Name,State,Frequency
Aaron,Washington,4
Aarons,Washington,1
Aaronsburg,Washington,2
Aasu,Washington,1
Abadyl,Washington,1
Abanaka,Washington,1
Abanda,Washington,1
Abarr,Washington,1
Abattis,Washington,1
Abba,Washington,1
Abbato,Washington,1
Abbeville,Washington,5
Abbey,Washington,1
Abbeyville,Washington,2
Abbot,Washington,1
Abbotsford,Washington,1
Abbott,Washington,11
Abbotts,Washington,1
Abbottsburg,Washington,1
Abbottsford,Washington,2
Abbottstown,Washington,1
Abbottsville,Washington,1
Abbyville,Washington,1
Abco,Washington,1
Abdal,Washington,1
Abdan,Washington,1
Abdera,Washington,1
Abe,Washington,2
Abecrumby,Washington,1
Abel,Washington,2
Abeles,Washington,1
Abell,Washington,3
Aben,Washington,1
Abercrombie,Washington,3
Aberfoil,Washington,1
Aberfoyle,Washington,1
Abernant,Washington,1
Abernathy,Washington,4
Abert,Washington,1
Abertown,Washington,1
Abesville,Washington,1
Abeyta,Washington,1
Abeytas,Washington,1
Abie,Washington,1
Abiff,Washington,1
Abigail,Washington,1
Abihka,Washington,1
Abilene,Washington,5
Abingdon,Washington,6
Abington,Washington,7
Abiquiu,Washington,1
Able,Washington,1
Abledell,Washington,1
Abner,Washington,4
Abney,Washington,2
Abo,Washington,2
Aboite,Washington,1
Abra,Washington,1
Abraham,Washington,2
Abrahams,Washington,1
Abrahamsville,Washington,1
Abram,Washington,1
Abrams,Washington,2
Absalom,Washington,1
Absaraka,Washington,1
Absarokee,Washington,1
Absecon,Washington,1
Absher,Washington,2
Abshers,Washington,1
Abuelo,Washington,1
Abydel,Washington,1
Academia,Washington,2
Academie,Washington,1
Academy,Washington,6
Academy Park,Washington,4
Academyville,Washington,1
Acadia,Washington,2
Acadiana,Washington,1
Acala,Washington,1
Acampo,Washington,2
Acapesket,Washington,1
Acapulco,Washington,1
Acasto,Washington,1
Acca,Washington,1
Access,Washington,1
Accident,Washington,2
Accokeek,Washington,1
Accola,Washington,1
Accomac,Washington,2
Accord,Washington,2
Accotink,Washington,1
Accoville,Washington,1
Ace,Washington,1
Acebedo,Washington,1
Aceitunas,Washington,1
Acequia,Washington,2
Acevedo,Washington,1
Achackwaithle,Washington,1
Achan,Washington,1
Achash,Washington,1
Achenbach,Washington,1
Acheson,Washington,1
