Place Name,State,Frequency
Aaron,West Virginia,4
Aaronsburg,West Virginia,2
Aasu,West Virginia,1
Abadyl,West Virginia,1
Abanaka,West Virginia,1
Abanda,West Virginia,1
Abarr,West Virginia,1
Abattis,West Virginia,1
Abba,West Virginia,1
Abbato,West Virginia,1
Abbeville,West Virginia,5
Abbey,West Virginia,1
Abbeyville,West Virginia,2
Abbot,West Virginia,1
Abbotsford,West Virginia,1
Abbott,West Virginia,10
Abbotts,West Virginia,1
Abbottsburg,West Virginia,1
Abbottsford,West Virginia,2
Abbottstown,West Virginia,1
Abbottsville,West Virginia,1
Abbyville,West Virginia,1
Abco,West Virginia,1
Abdal,West Virginia,1
Abdan,West Virginia,1
Abdera,West Virginia,1
Abe,West Virginia,2
Abecrumby,West Virginia,1
Abel,West Virginia,2
Abeles,West Virginia,1
Abell,West Virginia,3
Aben,West Virginia,1
Abercrombie,West Virginia,3
Aberdeen,West Virginia,17
Aberdeen Junction,West Virginia,3
Aberfoil,West Virginia,1
Aberfoyle,West Virginia,1
Abernant,West Virginia,1
Abernathy,West Virginia,4
Abert,West Virginia,1
Abertown,West Virginia,1
Abesville,West Virginia,1
Abeyta,West Virginia,1
Abeytas,West Virginia,1
Abie,West Virginia,1
Abiff,West Virginia,1
Abigail,West Virginia,1
Abihka,West Virginia,1
Abilene,West Virginia,5
Abingdon,West Virginia,6
Abington,West Virginia,7
Abiquiu,West Virginia,1
Able,West Virginia,1
Abledell,West Virginia,1
Abner,West Virginia,4
Abney,West Virginia,1
Abo,West Virginia,2
Aboite,West Virginia,1
Abra,West Virginia,1
Abraham,West Virginia,1
Abrahams,West Virginia,1
Abrahamsville,West Virginia,1
Abram,West Virginia,1
Abrams,West Virginia,2
Absalom,West Virginia,1
Absaraka,West Virginia,1
Absarokee,West Virginia,1
Absecon,West Virginia,1
Absher,West Virginia,2
Abshers,West Virginia,1
Abuelo,West Virginia,1
Abydel,West Virginia,1
Academia,West Virginia,2
Academie,West Virginia,1
Academy,West Virginia,6
Academy Park,West Virginia,4
Academyville,West Virginia,1
Acadia,West Virginia,2
Acadiana,West Virginia,1
Acala,West Virginia,1
Acampo,West Virginia,2
Acapesket,West Virginia,1
Acapulco,West Virginia,1
Acasto,West Virginia,1
Acca,West Virginia,1
Access,West Virginia,1
Accident,West Virginia,2
Accokeek,West Virginia,1
Accola,West Virginia,1
Accomac,West Virginia,2
Accord,West Virginia,2
Accotink,West Virginia,1
Ace,West Virginia,1
Acebedo,West Virginia,1
Aceitunas,West Virginia,1
Acequia,West Virginia,2
Acevedo,West Virginia,1
Achackwaithle,West Virginia,1
Achan,West Virginia,1
Achash,West Virginia,1
Achenbach,West Virginia,1
Acheson,West Virginia,1
Achi,West Virginia,1
Achille,West Virginia,1
Achilles,West Virginia,2
Achor,West Virginia,1
Achord,West Virginia,1
Acidalia,West Virginia,1
Acipcoville,West Virginia,1
Acker,West Virginia,2
Ackerly,West Virginia,1
Ackerman,West Virginia,1
Ackermanville,West Virginia,1
Ackerson,West Virginia,1
Ackerville,West Virginia,2
Acklena,West Virginia,1
Ackley,West Virginia,1
Acklocknayke,West Virginia,1
Ackworth,West Virginia,2
Acline,West Virginia,1
Acmar,West Virginia,1
Acme,West Virginia,17
Acmetonia,West Virginia,1
Acoaxet,West Virginia,1
Acodale,West Virginia,1
Acolita,West Virginia,1
Acoma,West Virginia,1
Acomita,West Virginia,1
Acona,West Virginia,1
Acorn,West Virginia,6
Acorn Acres,West Virginia,3
Acosta,West Virginia,1
Acquidaneck,West Virginia,1
Acra,West Virginia,1
Acredale,West Virginia,2
Acree,West Virginia,1
Acresville,West Virginia,1
Acropolis,West Virginia,1
Actis,West Virginia,1
Active,West Virginia,1
Acton,West Virginia,13
Acuff,West Virginia,2
Acup,West Virginia,1
Acushnet,West Virginia,1
Acworth,West Virginia,3
Acy,West Virginia,1
Ada,West Virginia,12
Adabelle,West Virginia,1
Adaburg,West Virginia,1
